char,kangxi_form,kangxi_stroke
㕮,㕮,7
㘎,㘚,23
㤘,㥮,14
㬊,㬊,13
㬎,㬎,14
㭎,棡,12
㮾,㮾,15
㳇,㳇,8
㶲,㶲,9
㸆,㸆,19
㺄,㺄,13
㽏,㽏,14
䁖,瞜,16
䂮,䂮,11
䅟,穇,16
䎖,䎖,18
䏝,膞,17
䐃,䐃,14
䓖,藭,21
䓛,䓛,14
䓨,罃,16
䓫,䓫,14
䗪,䗪,17
䗴,䗴,19
䜣,訢,11
䥽,鏺,20
䦃,鐯,21
䲟,鮣,16
䲠,鰆,20
䲢,鰧,21
䴓,鳾,15
䴔,鵁,17
䴕,鴷,17
䴖,鶄,19
䴗,鶪,20
䴘,鷉,21
䴙,鸊,24
䶮,龑,20
一,一,1
丁,丁,2
七,七,2
万,萬,15
丈,丈,3
三,三,3
上,上,3
下,下,3
不,不,4
与,與,14
丐,丐,4
丑,醜,17
专,專,11
且,且,5
丕,丕,5
世,世,5
丘,丘,5
丙,丙,5
业,業,13
丛,叢,18
东,東,8
丝,絲,12
丞,丞,6
丢,丟,6
两,兩,8
严,嚴,20
丧,喪,12
个,個,10
丫,丫,3
中,中,4
丰,豐,18
串,串,7
临,臨,17
丸,丸,3
丹,丹,4
为,爲,12
主,主,5
丽,麗,19
举,舉,16
乃,乃,2
久,久,3
么,麽,14
义,義,13
之,之,4
乌,烏,10
乍,乍,5
乎,乎,5
乏,乏,5
乐,樂,15
乒,乒,6
乓,乓,6
乔,喬,12
乖,乖,8
乘,乘,10
乙,乙,1
乜,乜,2
九,九,2
乞,乞,3
也,也,3
习,習,11
乡,鄉,16
书,書,10
乩,乩,6
买,買,12
乱,亂,13
乳,乳,8
乸,乸,8
乾,乾,11
了,瞭,17
予,予,4
争,爭,8
事,事,8
二,二,2
亍,亍,3
于,於,8
亏,虧,17
云,雲,12
互,互,4
亓,亓,4
五,五,4
井,井,4
亘,亘,6
亚,亞,8
些,些,7
亟,亟,8
亡,亡,3
亢,亢,4
交,交,6
亥,亥,6
亦,亦,6
产,產,11
亨,亨,7
亩,畝,10
享,享,8
京,京,8
亭,亭,9
亮,亮,9
亲,親,16
亳,亳,10
亵,褻,17
亶,亶,13
人,人,2
亿,億,15
什,什,4
仁,仁,4
仂,仂,4
仃,仃,4
仄,仄,4
仅,僅,13
仆,僕,14
仇,仇,4
仉,仉,4
今,今,4
介,介,4
仍,仍,4
从,從,11
仑,侖,8
仓,倉,10
仔,仔,5
仕,仕,5
他,他,5
仗,仗,5
付,付,5
仙,仙,5
仝,仝,5
仞,仞,5
仟,仟,5
仡,仡,5
代,代,5
令,令,5
以,以,5
仨,仨,5
仪,儀,15
仫,仫,5
们,們,10
仰,仰,6
仲,仲,6
仳,仳,6
仵,仵,6
件,件,6
价,價,15
任,任,6
份,份,6
仿,仿,6
企,企,6
伉,伉,6
伊,伊,6
伍,伍,6
伎,伎,6
伏,伏,6
伐,伐,6
休,休,6
众,衆,12
优,優,17
伙,夥,14
会,會,13
伛,傴,13
伞,傘,12
伟,偉,11
传,傳,13
伢,伢,6
伤,傷,13
伥,倀,10
伦,倫,10
伧,傖,12
伪,僞,14
伫,佇,7
伭,伭,7
伯,伯,7
估,估,7
伲,伲,7
伴,伴,7
伶,伶,7
伸,伸,7
伺,伺,7
似,似,7
伽,伽,7
伾,伾,7
佁,佁,7
佃,佃,7
但,但,7
位,位,7
低,低,7
住,住,7
佐,佐,7
佑,佑,7
体,體,23
何,何,7
佗,佗,7
佘,佘,7
余,餘,16
佚,佚,7
佛,佛,7
作,作,7
佝,佝,7
佞,佞,7
佟,佟,7
你,你,7
佣,傭,13
佤,佤,7
佥,僉,13
佩,佩,8
佬,佬,8
佯,佯,8
佰,佰,8
佳,佳,8
佴,佴,8
佶,佶,8
佻,佻,8
佼,佼,8
佽,佽,8
佾,佾,8
使,使,8
侁,侁,8
侃,侃,8
侄,侄,8
侈,侈,8
侉,侉,8
例,例,8
侍,侍,8
侏,侏,8
侑,侑,8
侔,侔,8
侗,侗,8
侘,侘,8
供,供,8
依,依,8
侠,俠,9
侣,侶,9
侥,僥,14
侦,偵,11
侧,側,11
侨,僑,14
侩,儈,15
侪,儕,16
侬,儂,15
侮,侮,9
侯,侯,9
侵,侵,9
便,便,9
促,促,9
俄,俄,9
俅,俅,9
俊,俊,9
俎,俎,9
俏,俏,9
俐,俐,9
俑,俑,9
俗,俗,9
俘,俘,9
俚,俚,9
俜,俜,9
保,保,9
俞,俞,9
俟,俟,9
信,信,9
俣,俁,9
俦,儔,16
俨,儼,22
俩,倆,10
俪,儷,21
俭,儉,15
修,修,10
俯,俯,10
俱,俱,10
俳,俳,10
俵,俵,10
俶,俶,10
俸,俸,10
俺,俺,10
俾,俾,10
倌,倌,10
倍,倍,10
倏,倏,10
倒,倒,10
倔,倔,10
倘,倘,10
候,候,10
倚,倚,10
倜,倜,10
借,藉,20
倡,倡,10
倥,倥,10
倦,倦,10
倨,倨,10
倩,倩,10
倪,倪,10
倬,倬,10
倭,倭,10
倮,倮,10
倴,倴,10
债,債,13
值,值,10
倾,傾,13
偁,偁,11
偃,偃,11
假,假,11
偈,偈,11
偌,偌,11
偎,偎,11
偏,偏,11
偓,偓,11
偕,偕,11
做,做,11
停,停,11
健,健,11
偬,傯,13
偰,偰,11
偲,偲,11
偶,偶,11
偷,偷,11
偻,僂,13
偾,僨,14
偿,償,17
傀,傀,12
傅,傅,12
傈,傈,12
傍,傍,12
傒,傒,12
傣,傣,12
傥,儻,22
傧,儐,16
储,儲,18
傩,儺,21
催,催,13
傲,傲,13
傺,傺,13
傻,傻,13
像,像,14
僔,僔,14
僖,僖,14
僚,僚,14
僦,僦,14
僧,僧,14
僬,僬,14
僭,僭,14
僮,僮,14
僰,僰,14
僳,僳,14
僵,僵,15
僻,僻,15
儆,儆,15
儇,儇,15
儋,儋,15
儒,儒,16
儡,儡,17
儿,兒,8
兀,兀,3
允,允,4
元,元,4
兄,兄,5
充,充,6
兆,兆,6
先,先,6
光,光,6
克,剋,9
免,免,7
兑,兌,7
兔,兔,8
兕,兕,8
兖,兗,9
党,黨,20
兜,兜,11
兢,兢,14
入,入,2
全,全,6
八,八,2
公,公,4
六,六,4
兮,兮,4
兰,蘭,23
共,共,6
关,關,19
兴,興,15
兵,兵,7
其,其,8
具,具,8
典,典,8
兹,茲,12
养,養,15
兼,兼,10
兽,獸,19
冀,冀,16
冁,囅,22
内,內,4
冈,岡,8
冉,冉,5
册,冊,5
再,再,6
冒,冒,9
冕,冕,11
冗,冗,4
写,寫,15
军,軍,9
农,農,13
冠,冠,9
冢,冢,10
冤,冤,10
冥,冥,10
冬,鼕,18
冮,冮,5
冯,馮,12
冰,冰,6
冱,冱,6
冲,衝,15
决,決,8
况,況,9
冶,冶,7
冷,冷,7
冻,凍,10
冼,冼,8
冽,冽,8
净,凈,10
凄,凄,10
准,準,14
凇,凇,10
凉,涼,12
凋,凋,10
凌,凌,10
减,減,13
凑,湊,13
凓,凓,12
凘,凘,14
凛,凜,15
凝,凝,16
几,幾,12
凡,凡,3
凤,鳳,14
凫,鳧,13
凭,憑,16
凯,凱,12
凰,凰,11
凳,凳,14
凶,凶,4
凸,凸,5
凹,凹,5
出,齣,20
击,擊,17
凼,凼,6
函,函,8
凿,鑿,27
刀,刀,2
刁,刁,2
刃,刃,3
分,分,4
切,切,4
刈,刈,4
刊,刊,5
刍,芻,10
刎,刎,6
刑,刑,6
划,劃,14
