char,frequency,pinyin,radical,stroke,wuxing,tone
一,common,yī,一,1,土,1
乙,common,yǐ,乛,1,木,3
二,common,èr,二,2,火,4
十,common,shí,十,2,金,2
丁,common,"dīng,zhēng",一,2,火,1
厂,common,"chǎng,ān",厂,2,金,3
七,common,qī,一,2,金,1
卜,common,"bǔ,bo,pú",卜,2,水,3
八,common,bā,八,2,水,1
人,common,rén,人,2,金,2
入,common,rù,入,2,金,4
儿,common,ér,儿,2,金,2
匕,common,bǐ,匕,2,金,3
几,common,"jǐ,jī",几,2,木,3
九,common,jiǔ,丿,2,木,3
刁,common,diāo,乛,2,火,1
了,common,"le,liǎo",乛,2,火,5
刀,common,dāo,刀,2,金,1
力,common,lì,力,2,火,4
乃,common,nǎi,乛,2,火,3
又,common,yòu,又,2,土,4
三,common,sān,一,3,金,1
干,common,"gàn,gān",干,3,木,1
于,common,yú,一,3,土,2
亏,common,kuī,一,3,木,1
工,common,gōng,工,3,木,1
土,common,tǔ,土,3,土,3
士,common,shì,士,3,金,4
才,common,cái,一,3,金,2
下,common,xià,一,3,水,4
寸,common,cùn,寸,3,金,4
大,common,"dà,dài",大,3,火,4
丈,common,zhàng,一,3,火,4
与,common,"yǔ,yù,yú",一,3,土,3
万,common,"wàn,mò",一,3,水,4
上,common,"shàng,shǎng,shang",⺊,3,金,4
小,common,xiǎo,小,3,金,3
口,common,kǒu,口,3,木,3
山,common,shān,山,3,土,1
巾,common,jīn,巾,3,木,1
千,common,qiān,丿,3,金,1
乞,common,qǐ,乛,3,木,3
川,common,chuān,丿,3,金,1
亿,common,yì,亻,3,土,4
个,common,"gè,gě",人,3,土,4
夕,common,xī,夕,3,金,1
久,common,jiǔ,丿,3,木,3
么,common,"me,mó,yāo,ma",丿,3,水,5
勺,common,sháo,勹,3,火,2
凡,common,fán,几,3,水,2
丸,common,wán,丿,3,土,2
及,common,jí,丿,3,木,2
广,common,"guǎng,ān",广,3,木,3
亡,common,"wáng,wú",亠,3,水,2
门,common,mén,门,3,水,2
丫,common,yā,丷,3,土,1
义,common,yì,丶,3,木,4
之,common,zhī,丶,3,火,1
尸,common,shī,尸,3,金,1
己,common,jǐ,己,3,土,3
已,common,yǐ,已,3,木,3
巳,common,sì,巳,3,火,4
弓,common,gōng,弓,3,木,1
