surname,pinyin,plain_pinyin,baijiaxing_index,aliases
赵,zhào,zhao,1,"chao,chew"
钱,qián,qian,2,"chien,chin"
孙,sūn,sun,3,"soon,suen"
李,lǐ,li,4,"lee,lai,lie"
周,zhōu,zhou,5,"chow,chou"
吴,wú,wu,6,"ng,goh,woo,ngu"
郑,zhèng,zheng,7,"tay,tee,cheng"
王,wáng,wang,8,"wong,wat"
冯,féng,feng,9,"fung,pang"
陈,chén,chen,10,"chan,chin,tan"
褚,chǔ,chu,11,
卫,wèi,wei,12,
蒋,jiǎng,jiang,13,"chiang,cheong"
沈,shěn,shen,14,"sim,shim"
韩,hán,han,15,
杨,yáng,yang,16,"yeung,yeoh,young"
朱,zhū,zhu,17,"chu,choo"
秦,qín,qin,18,"chin,tsin"
尤,yóu,you,19,
许,xǔ,xu,20,"koh,khoo,hui"
何,hé,he,21,"ho,hoe"
吕,lǚ,lv,22,"lyu,lui"
施,shī,shi,23,
张,zhāng,zhang,24,"cheung,chang,teo,chong"
孔,kǒng,kong,25,"khong,kung"
曹,cáo,cao,26,"cho,tsao"
严,yán,yan,27,"ng,yim"
华,huà,hua,28,
金,jīn,jin,29,"king,kim,gim"
魏,wèi,wei,30,"ngai,gui"
陶,táo,tao,31,"to,tou"
姜,jiāng,jiang,32,"keung,chiang"
戚,qī,qi,33,
谢,xiè,xie,34,"tse,cheah,chia"
邹,zōu,zou,35,"chow,tseu"
喻,yù,yu,36,
柏,bǎi,bai,37,
水,shuǐ,shui,38,
窦,dòu,dou,39,
章,zhāng,zhang,40,
云,yún,yun,41,
苏,sū,su,42,"so,soo"
潘,pān,pan,43,"poon,pun"
葛,gě,ge,44,
奚,xī,xi,45,
范,fàn,fan,46,"fam"
彭,péng,peng,47,"pang,phang"
郎,láng,lang,48,
鲁,lǔ,lu,49,
韦,wéi,wei,50,"wai,bi"
昌,chāng,chang,51,
马,mǎ,ma,52,"mah,mar"
苗,miáo,miao,53,
凤,fèng,feng,54,
花,huā,hua,55,
方,fāng,fang,56,"pong,hong,fong"
俞,yú,yu,57,
任,rèn,ren,58,"yum,yam,yeong"
袁,yuán,yuan,59,"yuen,wan"
柳,liǔ,liu,60,
酆,fēng,feng,61,
鲍,bào,bao,62,
史,shǐ,shi,63,"shee,su"
唐,táng,tang,64,"tong,thong"
费,fèi,fei,65,
廉,lián,lian,66,
岑,cén,cen,67,
薛,xuē,xue,68,"sit"
雷,léi,lei,69,"lui"
贺,hè,he,70,"ho,hor"
倪,ní,ni,71,
汤,tāng,tang,72,"thong,tong"
滕,téng,teng,73,
殷,yīn,yin,74,
罗,luó,luo,75,"law,lo,loh"
毕,bì,bi,76,
郝,hǎo,hao,77,"kok,hok"
邬,wū,wu,78,
安,ān,an,79,
常,cháng,chang,80,"sheong,siong"
乐,yuè,yue,81,
于,yú,yu,82,"ee"
时,shí,shi,83,
傅,fù,fu,84,"foo,poh"
皮,pí,pi,85,
卞,biàn,bian,86,
齐,qí,qi,87,
康,kāng,kang,88,
伍,wǔ,wu,89,
余,yú,yu,90,"yee,ee"
元,yuán,yuan,91,
卜,bǔ,bu,92,
顾,gù,gu,93,"ku,koo"
孟,mèng,meng,94,"mang"
平,píng,ping,95,
黄,huáng,huang,96,"ng,wong,wee"
和,hé,he,97,
穆,mù,mu,98,
萧,xiāo,xiao,99,
尹,yǐn,yin,100,"wan,un"
姚,yáo,yao,101,"yiu"
邵,shào,shao,102,"shaw,sio"
湛,zhàn,zhan,103,
汪,wāng,wang,104,"wong"
祁,qí,qi,105,
毛,máo,mao,106,"mo,mou"
禹,yǔ,yu,107,
狄,dí,di,108,
米,mǐ,mi,109,
贝,bèi,bei,110,
明,míng,ming,111,
臧,zāng,zang,112,
计,jì,ji,113,
伏,fú,fu,114,
成,chéng,cheng,115,
戴,dài,dai,116,"tai,tay"
谈,tán,tan,117,
宋,sòng,song,118,"sung,soong"
茅,máo,mao,119,
庞,páng,pang,120,
熊,xióng,xiong,121,"hung"
纪,jì,ji,122,
舒,shū,shu,123,
屈,qū,qu,124,
项,xiàng,xiang,125,
祝,zhù,zhu,126,
董,dǒng,dong,127,"tung,toong"
梁,liáng,liang,128,"leung,neo"
杜,dù,du,129,"to,too,tu"
阮,ruǎn,ruan,130,
蓝,lán,lan,131,
闵,mǐn,min,132,
席,xí,xi,133,
季,jì,ji,134,
麻,má,ma,135,
强,qiáng,qiang,136,
贾,jiǎ,jia,137,"chia,ka"
路,lù,lu,138,
娄,lóu,lou,139,
危,wēi,wei,140,
江,jiāng,jiang,141,"kong,kang"
童,tóng,tong,142,
颜,yán,yan,143,
郭,guō,guo,144,"kwok,kuo,kok"
梅,méi,mei,145,
盛,shèng,sheng,146,
林,lín,lin,147,"lim,lam"
刁,diāo,diao,148,
钟,zhōng,zhong,149,"chung,cheong"
徐,xú,xu,150,"hsu,tsui"
邱,qiū,qiu,151,"yau,khu"
骆,luò,luo,152,
高,gāo,gao,153,"ko,kao"
夏,xià,xia,154,"ha,hah"
蔡,cài,cai,155,"choy,tsai,chai"
田,tián,tian,156,"tin,tien"
樊,fán,fan,157,
胡,hú,hu,158,"foo,woo"
凌,líng,ling,159,
霍,huò,huo,160,
虞,yú,yu,161,
万,wàn,wan,162,"ban"
支,zhī,zhi,163,
柯,kē,ke,164,
昝,zǎn,zan,165,
管,guǎn,guan,166,
卢,lú,lu,167,"loo,lo"
莫,mò,mo,168,
经,jīng,jing,169,
房,fáng,fang,170,
裘,qiú,qiu,171,
缪,miào,miao,172,
干,gān,gan,173,
解,xiè,xie,174,
应,yīng,ying,175,
宗,zōng,zong,176,
丁,dīng,ding,177,"ting"
宣,xuān,xuan,178,
贲,bēn,ben,179,
邓,dèng,deng,180,"tang,teng"
郁,yù,yu,181,
单,shàn,shan,182,
杭,háng,hang,183,
洪,hóng,hong,184,
包,bāo,bao,185,
诸,zhū,zhu,186,
左,zuǒ,zuo,187,
石,shí,shi,188,"shek,sak"
崔,cuī,cui,189,"choi,tsui"
吉,jí,ji,190,
钮,niǔ,niu,191,
龚,gōng,gong,192,
程,chéng,cheng,193,"thia"
嵇,jī,ji,194,
邢,xíng,xing,195,
滑,huá,hua,196,
裴,péi,pei,197,
陆,lù,lu,198,"lok,luk"
荣,róng,rong,199,
翁,wēng,weng,200,
荀,xún,xun,201,
羊,yáng,yang,202,
於,yū,yu,203,
惠,huì,hui,204,
甄,zhēn,zhen,205,
曲,qū,qu,206,
家,jiā,jia,207,
封,fēng,feng,208,
芮,ruì,rui,209,
羿,yì,yi,210,
储,chǔ,chu,211,
靳,jìn,jin,212,
汲,jí,ji,213,
邴,bǐng,bing,214,
糜,mí,mi,215,
松,sōng,song,216,
井,jǐng,jing,217,
段,duàn,duan,218,"toon"
富,fù,fu,219,
巫,wū,wu,220,
乌,wū,wu,221,
焦,jiāo,jiao,222,
巴,bā,ba,223,
弓,gōng,gong,224,
牧,mù,mu,225,
隗,kuí,kui,226,
山,shān,shan,227,
谷,gǔ,gu,228,
车,chē,che,229,
侯,hóu,hou,230,"hau,hoo"
宓,mì,mi,231,
蓬,péng,peng,232,
全,quán,quan,233,
郗,xī,xi,234,
班,bān,ban,235,
仰,yǎng,yang,236,
秋,qiū,qiu,237,
仲,zhòng,zhong,238,
伊,yī,yi,239,
宫,gōng,gong,240,
宁,nìng,ning,241,
仇,qiú,qiu,242,
栾,luán,luan,243,
暴,bào,bao,244,
甘,gān,gan,245,
钭,tǒu,tou,246,
厉,lì,li,247,
戎,róng,rong,248,
祖,zǔ,zu,249,
