char,unihan_stroke,unihan_form,form_source,radical_no,residual,unicode_version
㑇,12,㑳,unihan:kTraditionalVariant[17.0.0],9,10,17.0.0
㑊,8,㑊,unihan:identity,9,6,17.0.0
㕮,7,㕮,unihan:identity,30,4,17.0.0
㘎,23,㘚,unihan:kTraditionalVariant[17.0.0],30,20,17.0.0
㙍,11,㙍,unihan:identity,32,8,17.0.0
㙘,12,㙘,unihan:identity,32,9,17.0.0
㙦,14,㙦,unihan:identity,32,11,17.0.0
㛃,9,㛃,unihan:identity,38,6,17.0.0
㛚,10,㛚,unihan:identity,38,7,17.0.0
㛹,12,㛹,unihan:identity,38,9,17.0.0
㟃,8,㟃,unihan:identity,46,5,17.0.0
㠇,15,㠇,unihan:identity,46,12,17.0.0
㠓,16,㠓,unihan:identity,46,13,17.0.0
㤘,14,㥮,unihan:kTraditionalVariant[17.0.0],61,10,17.0.0
㥄,12,㥄,unihan:identity,61,8,17.0.0
㧐,22,㩳,unihan:kTraditionalVariant[17.0.0],64,18,17.0.0
㧑,16,撝,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
㧟,17,擓,unihan:kTraditionalVariant[17.0.0],64,13,17.0.0
㫰,11,㫰,unihan:identity,72,7,17.0.0
㬊,13,㬊,unihan:identity,72,9,17.0.0
㬎,14,㬎,unihan:identity,72,10,17.0.0
㬚,16,㬚,unihan:identity,72,12,17.0.0
㭎,12,棡,unihan:kTraditionalVariant[17.0.0],75,8,17.0.0
㭕,9,㭕,unihan:identity,75,5,17.0.0
㮾,15,㮾,unihan:identity,75,11,17.0.0
㰀,19,㰀,unihan:identity,75,15,17.0.0
㳇,8,㳇,unihan:identity,85,4,17.0.0
㳘,10,㳘,unihan:identity,85,6,17.0.0
㳚,10,㳚,unihan:identity,85,6,17.0.0
㴔,13,㴔,unihan:identity,85,9,17.0.0
㵐,16,㵐,unihan:identity,85,12,17.0.0
㶲,9,㶲,unihan:identity,86,5,17.0.0
㸆,19,㸆,unihan:identity,86,15,17.0.0
㸌,20,㸌,unihan:identity,86,16,17.0.0
㺄,13,㺄,unihan:identity,94,9,17.0.0
㻬,16,㻬,unihan:identity,96,11,17.0.0
㽏,14,㽏,unihan:identity,99,9,17.0.0
㿠,11,㿠,unihan:identity,106,6,17.0.0
䁖,16,瞜,unihan:kTraditionalVariant[17.0.0],109,11,17.0.0
䂮,11,䂮,unihan:identity,112,6,17.0.0
䃅,17,磾,char-table:preferred-traditional+unihan:kTraditionalVariant,112,12,17.0.0
䃎,14,䃎,unihan:identity,112,9,17.0.0
䅟,16,穇,char-table:preferred-traditional+unihan:kTraditionalVariant,115,11,17.0.0
䌹,11,絅,char-table:preferred-traditional+unihan:kTraditionalVariant,120,5,17.0.0
䎃,11,䎃,unihan:identity,124,5,17.0.0
䎖,18,䎖,unihan:identity,124,12,17.0.0
䏝,17,膞,unihan:kTraditionalVariant[17.0.0],130,11,17.0.0
䏡,11,䏡,unihan:identity,130,5,17.0.0
䏲,13,䏲,unihan:identity,130,7,17.0.0
䐃,14,䐃,unihan:identity,130,8,17.0.0
䓖,21,藭,char-table:preferred-traditional+unihan:kTraditionalVariant,140,15,17.0.0
䓛,14,䓛,unihan:identity,140,8,17.0.0
䓨,16,罃,char-table:preferred-traditional+unihan:kTraditionalVariant,121,10,17.0.0
䓫,14,䓫,unihan:identity,140,8,17.0.0
䓬,14,䓬,unihan:identity,140,8,17.0.0
䗖,17,螮,char-table:preferred-traditional+unihan:kTraditionalVariant,142,11,17.0.0
䗛,16,䗛,unihan:identity,142,10,17.0.0
䗪,17,䗪,unihan:identity,142,11,17.0.0
䗴,19,䗴,unihan:identity,142,13,17.0.0
䜣,11,訢,unihan:kTraditionalVariant[17.0.0],149,4,17.0.0
䝙,18,貙,char-table:preferred-traditional+unihan:kTraditionalVariant,153,11,17.0.0
䢺,12,䢺,unihan:identity,163,5,17.0.0
䢼,13,䢼,unihan:identity,163,6,17.0.0
䣘,18,䣘,unihan:identity,163,11,17.0.0
䥽,20,鏺,unihan:kTraditionalVariant[17.0.0],167,12,17.0.0
䦃,21,鐯,unihan:kTraditionalVariant[17.0.0],167,13,17.0.0
䲟,16,鮣,char-table:preferred-traditional+unihan:kTraditionalVariant,195,5,17.0.0
䲠,20,鰆,char-table:preferred-traditional+unihan:kTraditionalVariant,195,9,17.0.0
䲢,21,鰧,char-table:preferred-traditional+unihan:kTraditionalVariant,195,10,17.0.0
䴓,15,鳾,unihan:kTraditionalVariant[17.0.0],196,4,17.0.0
䴔,17,鵁,char-table:preferred-traditional+unihan:kTraditionalVariant,196,6,17.0.0
䴕,17,鴷,char-table:preferred-traditional+unihan:kTraditionalVariant,196,6,17.0.0
