id,事件,换运首年,流年干忌神,流年支忌神,岁运并临,天克地冲日柱,三刑流年,流年干合日干,结论,依据,经典原文,流年神煞驿马,流年神煞华盖,流年神煞天乙贵人,流年日主长生,流年日主帝旺
ys_101,流年事业阻,,1,,,,,,忌神透干之年——事业受阻/压力,流年忌神透干 → 忌神攻身，事业多阻（《子平真诠》忌神攻身）,《子平真诠》忌神攻身,,,,,
ys_102,流年事业变,,,,,1,,,天克地冲日柱——事业大变动年（转工/动荡）,流年天克地冲日柱 → 本命大变动，事业动荡（《三命通会》天克地冲）,《三命通会》天克地冲,,,,,
ys_103,流年事业变,1,,,,,,,换运首年——事业/环境大变动（新阶段开始）,大运交接首年主变 → 事业环境更替（《三命通会》换运主大变动）,《三命通会》换运,,,,,
ys_104,流年事业变,,,,1,,,,岁运并临——事业大变动候选,岁运并临（流年=大运）→ 大变动之年，事业起伏（《渊海子平》岁运并临）,《渊海子平》岁运并临,,,,,
ys_105,流年事业动,,,,,,,1,流年干合日主——事业人际/合作变动,流年天干合入日主 → 外部人事合入（合作/人际变动，《三命通会》天干五合）,《三命通会》天干五合,,,,,
ys_106,流年事业非,,,,,,1,,三刑流年——是非/官非/刑伤，事业受阻,三刑成立 → 是非官非刑伤之年（yingqi 同构；《三命通会》三刑）,《三命通会》三刑,,,,,
ys_205,流年事业动,,,,,,,,流年驿马——事业变动/奔波/异地发展,服务端流年神煞（bazi.liunian）→ 《三命通会》驿马主动,《三命通会》驿马主动,1,,,,
ys_206,流年事业助,,,,,,,,流年天乙贵人——贵人相助/逢凶化吉（求事有援，事业机遇）,流年天乙贵人主遇难有救、贵人扶持（《三命通会》天乙贵人为吉神第一）,《三命通会》天乙贵人,,,1,,
ys_207,流年事业静,,,,,,,,流年华盖——偏静思/技艺深耕（事业或转独立、技术/玄学方向，才华沉淀）,流年华盖主孤高玄学、内敛深耕（《三命通会》华盖）,《三命通会》华盖,,1,,,
ys_208,流年事业阻,,,1,,,,,流年支为忌神——地支方向压力（下半年/家宅合作多阻，忌神攻身之年）,流年支忌神攻身（《子平真诠》忌神攻身；与流年干忌神 ys_101 同构——干主外显、支主内实）,《子平真诠》忌神攻身,,,,,
ys_209,流年事业新,,,,,,,,日主逢长生——新生起步之年（事业/学业新起点，精力旺宜开拓）,日主流年临长生主新生、起步（《渊海子平》十二长生：长生主生发；身旺任事）,《渊海子平》十二长生,,,,1,
ys_210,流年事业进,,,,,,,,日主逢帝旺——身旺气足之年（行动力强，事业进取/担当重任）,日主流年临帝旺主旺极宜进（《渊海子平》十二长生：帝旺主旺盛；旺极宜进不宜退）,《渊海子平》十二长生,,,,,1
