id,事件,结论,依据,经典原文,地支三合寅午戌,地支三合巳酉丑,地支三合申子辰,地支三合亥卯未,地支三会寅卯辰,地支三会巳午未,地支三会申酉戌,地支三会亥子丑,枭神夺食,羊刃驾杀,伤官见官,食神制杀,财官双美,天干五合甲己,天干五合乙庚,天干五合丙辛,天干五合丁壬,天干五合戊癸,地支六合子丑,地支六合寅亥,地支六合卯戌,地支六合辰酉,地支六合巳申,地支六合午未,地支六冲子午,地支六冲丑未,地支六冲寅申,地支六冲卯酉,地支六冲辰戌,地支六冲巳亥,地支六害子未,地支六害丑午,地支六害寅巳,地支六害卯辰,地支六害申亥,地支六害酉戌,地支相刑寅巳申,地支相刑丑戌未,地支相刑子卯
jk_311,健康,三合成局（寅午戌火局）→ 火极旺，心/小肠/血脉亢盛（旺极转忌，防宿疾）,三合局成=该五行聚气旺极（app/health.md 过旺阈值：三合局/三会方→旺极转忌）；三合火局主心火亢（hehui.md）,《滴天髓》旺极转忌,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_312,健康,三合成局（巳酉丑金局）→ 金极旺，肺/鼻/皮毛亢盛（旺极转忌，防宿疾）,三合局成=该五行聚气旺极（app/health.md 过旺阈值）；三合金局主肺金燥（hehui.md）,《滴天髓》旺极转忌,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_313,健康,三合成局（申子辰水局）→ 水极旺，肾/膀胱/耳亢盛（旺极转忌，防宿疾）,三合局成=该五行聚气旺极（app/health.md 过旺阈值）；三合水局主肾水泛（hehui.md）,《滴天髓》旺极转忌,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_314,健康,三合成局（亥卯未木局）→ 木极旺，肝/胆/筋骨亢盛（旺极转忌，防宿疾）,三合局成=该五行聚气旺极（app/health.md 过旺阈值）；三合木局主肝木盛（hehui.md）,《滴天髓》旺极转忌,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_315,健康,三会成方（寅卯辰木方）→ 木极旺，肝/胆/筋亢盛（旺极转忌，防宿疾）,三会方成=该五行一方聚气旺极（app/health.md 过旺阈值）；三会木方主肝木亢（hehui.md）,《滴天髓》旺极转忌,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_316,健康,三会成方（巳午未火方）→ 火极旺，心/小肠/血脉亢盛（旺极转忌，防宿疾）,三会方成=该五行一方聚气旺极（app/health.md 过旺阈值）；三会火方主心火亢（hehui.md）,《滴天髓》旺极转忌,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_317,健康,三会成方（申酉戌金方）→ 金极旺，肺/鼻/皮毛亢盛（旺极转忌，防宿疾）,三会方成=该五行一方聚气旺极（app/health.md 过旺阈值）；三会金方主肺金燥（hehui.md）,《滴天髓》旺极转忌,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk_318,健康,三会成方（亥子丑水方）→ 水极旺，肾/膀胱/耳亢盛（旺极转忌，防宿疾）,三会方成=该五行一方聚气旺极（app/health.md 过旺阈值）；三会水方主肾水泛（hehui.md）,《滴天髓》旺极转忌,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_101,十神组合,枭神夺食：有福难享，健康/子女隐忧,偏印夺食神（食神为福寿之源）→ 福气被夺（《三命通会》枭神夺食，非食在柱干）,《三命通会》枭神夺食，非食在柱干）,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_102,十神组合,羊刃驾杀：杀刃相济，掌权/武贵，性格刚毅,七杀得羊刃制化 → 杀刃相济，武职掌权（《渊海子平》羊刃驾杀）,《渊海子平》羊刃驾杀）,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
