id,事件,结论,依据,经典原文,流年配偶星克,流年配偶星冲,流年配偶星透,流年配偶星值宫,流年配偶星换运首年,流年配偶星大运窗口,流年配偶星合会,流年母星透,流年子女星透,流年子女星克,流年子女星合会
yliu_101,流年六亲灾,配偶星受克——亲密关系/家庭灾候选,流年配偶星克 → 配偶或亲密关系受损，连带家庭动荡（《滴天髓》六亲星受克）,《滴天髓》六亲星受克,1,,,,,,,,,,
yliu_102,流年六亲动,配偶宫位冲——家庭变动候选,流年配偶星冲引动配偶宫 → 家庭/亲密关系变动候选（《三命通会》冲主变动）,《三命通会》冲,,1,,,,,,,,,
yliu_103,流年六亲凶,配偶星现而被克——凶应,流年配偶星透干且受克 → 凶应（配偶现而受克，同构 hun 婚变）,《滴天髓》,1,,1,,,,,,,,
ymar_101,流年婚动,流年婚动强——配偶星透干且值夫妻宫，成婚一级候选,流年配偶星透干 + 值夫妻宫（配偶星实至宫位）→ 成婚实据（《渊海子平》配偶星透干方为妻星得地；MingLi-Bench 应期题）,《渊海子平》配偶星透干,,,1,1,,,,,,,
ymar_102,流年婚动,换运首年 + 配偶星透干——一级成婚候选,大运交接首年主变 + 配偶星透干 → 成婚一级候选（《三命通会》换运主大变动；考时准则 3）,《三命通会》换运,,,1,,1,,,,,,
ymar_103,流年婚动,大运配偶星窗口内透干——成婚候选,大运为配偶星运且流年透配偶星 → 成婚候选（《渊海子平》大运财星引动婚）,《渊海子平》大运配偶星,,,1,,,1,,,,,
ymar_104,流年婚动,流年配偶星合会 + 配偶星透干——婚动/成婚候选,流年地支合会引动夫妻宫 + 配偶星透 → 婚缘聚合（《三命通会》合会主婚动；0063 合会+透）,《三命通会》合会,,,1,,,,1,,,,
ymar_105,流年婚动,流年婚动强——配偶星值宫,流年配偶星值夫妻宫 → 婚动强信号（0068/0076 值宫）,《渊海子平》配偶星得地,,,,1,,,,,,,
ymar_106,流年婚恋,流年配偶星合会——婚恋/感情引动（恋爱≠成婚，须配偶星实引动）,流年地支合会主感情聚合（《三命通会》合会主婚动）——单纯合会为恋爱引动，成婚须配偶星透/值宫/换运等实据（考时准则 1）,《三命通会》合会,,,,,,,1,,,,
ymar_106b,流年婚动,配偶星大运窗口内星动（配偶星未透/未值宫）——婚动弱候选,配偶星大运窗口引动（无透无合会值宫）→ 婚动弱（原 ying_106）,《渊海子平》流年论：流年引动大运配偶星主婚动,,,1,0,,1,0,,,,
ymar_107,流年婚动,流年配偶星冲夫妻宫——婚动（手续/仪式/法律变动，签纸登记）,六冲夫妻宫主手续/仪式/法律变动（《三命通会》冲主变动；考时准则 2——选项含签纸/登记语义时指认）,《三命通会》冲,,1,,,,,,,,,
ymar_108,流年婚变,流年配偶星受克——婚变/感情受损候选,流年克配偶星 → 婚变候选（《滴天髓》配偶星受克主婚缘损）,《滴天髓》配偶星受克,1,,,,,,,,,,
ymar_109,流年婚变,流年配偶星冲+克——婚变凶应期,流年冲夫妻宫且配偶星受克 → 婚变凶应（ying_107 同构；MingLi-Bench 离婚题）,《三命通会》冲克,1,1,,,,,,,,,
ymar_110b,流年婚动,流年配偶星冲 + 配偶星透——婚动（变动叠加）,流年冲夫妻宫 + 配偶星透 → 婚动（原 ying_110b）,《三命通会》论冲合：冲夫妻宫而配偶星透干主婚动（冲主变动）,,1,1,,,,,,,,
yx_206,流年学业引,流年母星透（印星）——学业引动/升学/考试吉应,流年母星透干：学籍/文书动，考试升学应期（《子平真诠》印主文书学籍）,《子平真诠》印主文书,,,,,,,,1,,,
yz_101,流年生育,子女星透干——生育信号（得子候选）,流年子女星透干 → 子女星显（生育候选；《渊海子平》子女星透）,《渊海子平》子女星,,,,,,,,,1,,
yz_102,流年子女凶,子女星受克——孕产凶险/子女灾,流年克子女星 → 孕产凶险/子女灾候选（《滴天髓》子女星受克；考时补则1：凶险≠否定得子）,《滴天髓》子女星受克,,,,,,,,,,1,
yz_103,流年生育,子女星合会引动——得子候选,流年地支合会子女星 → 生育引动（《三命通会》合会引动）,《三命通会》合会,,,,,,,,,,,1
ying_107,凶事,凶事应期（配偶星受克+配偶宫冲）,流年配偶星克 + 流年配偶星冲 → 凶应（婚变/感情破败）,《三命通会》论冲：配偶星被克而宫位逢冲主凶事应期,1,1,,,,,,,,,
ying_108,凶事,凶事应期（配偶星受克）,流年干支克配偶星五行 → 配偶星受克主凶（婚变/感情受损）,《滴天髓》忌神论：配偶星（用神）受克主凶事应期,1,,,,,,,,,,
