id,事件,结论,依据,经典原文,流年干忌神,流年官杀换运首年,三刑流年,流年配偶星透,流年财坏印,本命伤官克官,本命比劫夺财,本命夫妻宫破,流年财星克,流年财星透,流年财星合会,日犯岁君,空亡填实,本命食伤旺
ys_103,流年事业变,换运首年——事业/环境大变动（新阶段开始）,大运交接首年主变 → 事业环境更替（《三命通会》换运主大变动）,《三命通会》换运,,1,,,,,,,,,,,,
yliu_104,流年母星受克,财坏印——母星受克（母灾候选）,财坏印：印星（母）被财克 → 母灾候选（《子平真诠》财坏印；0013 财坏印母灾）,《子平真诠》财坏印,,,,,1,,,,,,,,,
ymar_110-1,流年婚变,忌神年 + 本命伤官克官——婚变候选,流年忌神透干 + 本命伤官克官 → 婚变候选（忌神攻身之年感情受损）,《子平真诠》忌神攻身,1,,,,,1,,,,,,,,
ymar_110-2,流年婚变,忌神年 + 本命比劫夺财——婚变候选,流年忌神透干 + 本命比劫夺财 → 婚变候选（忌神攻身之年感情受损）,《子平真诠》忌神攻身,1,,,,,,1,,,,,,,
ymar_110-3,流年婚变,忌神年 + 本命宫破——婚变候选,流年忌神透干 + 本命宫破 → 婚变候选（忌神攻身之年感情受损）,《子平真诠》忌神攻身,1,,,,,,,1,,,,,,
ymar_111,流年婚变,本命伤官克官——女命婚变候选,女命伤官克官（夫星受制）→ 婚变候选（《女命赋》食伤重者克夫）,《女命赋》,,,,,,1,,,,,,,,
yx_102,流年学业挫,财坏印——印星（学术）受损，考试失利,财坏印：印星（学术/文书）被财克 → 学业受损（《子平真诠》财坏印；学籍看印）,《子平真诠》财坏印,,,,,1,,,,,,,,,
ycai_101,流年破财,流年财星受克——破财候选,流年财星克 → 破财候选（《滴天髓》财星受克论）,《滴天髓》财星受克论,,,,,,,,,1,,,,,
ycai_103,流年得财,财星透干——进财/得财机会,流年财星透干 → 财星显（进财机会；得财与否看身强任财）,《渊海子平》财星透干,,,,,,,,,,1,,,,
ycai_104,流年得财,流年财星合会——得财/合作得财候选,流年地支合会财星 → 得财候选（合会引动财星）,《三命通会》合会,,,,,,,,,,,1,,,
ycai_105,流年破财,财坏印——破财损名声,财坏印：财克印 → 破财损名（《子平真诠》财坏印）,《子平真诠》财坏印,,,,,1,,,,,,,,,
yj_103,流年精神损,财坏印——精神/心理受损（印主精神）,财坏印：印星（精神）被财克 → 心绪受损（《子平真诠》财坏印；0001 财坏抑郁）,《子平真诠》财坏印,,,,,1,,,,,,,,,
ying_112,健康,健康/精神凶年（财坏印）,流年干为印星、支为财星且财克印 → 印星主精神被财坏，心绪受损（《子平真诠》财星坏印；0001 1996 丙子）,《子平真诠》财星坏印,,,,,1,,,,,,,,,
ying_114,凶事,凶事年（忌神透+财坏印）,忌神透干且财坏印 → 双凶叠加（0001 1996 丙子 抑郁）,《滴天髓》忌神论 + 《渊海子平》财坏印：忌神透而财坏印主凶年,1,,,,1,,,,,,,,,
ying_h07,应期,日犯岁君（日干克流年干）→ 凶年（身弱更甚；五行有救反得财）,日犯岁君主凶（古籍明断 H07/H08，参考 mingli-skills step8）,《三命通会》论日犯岁君：日干克流年天干主凶（古籍明断）,,,,,,,,,,,,1,,
ying_h15,应期,空亡填实 → 应吉凶之年（忌神填实应凶/用神填实应吉）,空亡填实主应事（古籍硬标注 H15/H16，参考 mingli-skills step8）,《三命通会》论空亡：空亡被流年填实主应吉凶,,,,,,,,,,,,,1,
ying_h18,凶事,流年三刑 + 女命食伤重——损胎/子息损（《渊海子平》女命食伤逢冲刑主损胎；0019 2016 堕胎）,《渊海子平》女命食伤逢冲刑主损胎,《渊海子平》女命食伤逢冲刑主损胎,,,1,,,,,,,,,,,1
ying_h19,婚变,流年夫/妻星透干 + 三刑 + 食伤重克官——婚变年（《三命通会》夫星透而流年刑冲主婚变；0018 2013 离婚）,《三命通会》夫星透干而流年刑冲主婚变——0018 2013 癸巳夫星透+三刑+食伤重,《三命通会》夫星透干流年刑冲主婚变,,,1,1,,,,,,,,,,1
