id,事件,结论,依据,经典原文,天克地冲日柱,岁运并临,流年干合日干,三刑流年,伏吟流年,年柱干伏吟
ys_102,流年事业变,天克地冲日柱——事业大变动年（转工/动荡）,流年天克地冲日柱 → 本命大变动，事业动荡（《三命通会》天克地冲）,《三命通会》天克地冲,1,,,,,
ys_104,流年事业变,岁运并临——事业大变动候选,岁运并临（流年=大运）→ 大变动之年，事业起伏（《渊海子平》岁运并临）,《渊海子平》岁运并临,,1,,,,
ys_105,流年事业动,流年干合日主——事业人际/合作变动,流年天干合入日主 → 外部人事合入（合作/人际变动，《三命通会》天干五合）,《三命通会》天干五合,,,1,,,
ys_106,流年事业非,三刑流年——是非/官非/刑伤，事业受阻,三刑成立 → 是非官非刑伤之年（yingqi 同构；《三命通会》三刑）,《三命通会》三刑,,,,1,,
yliu_105,流年六亲大变,天克地冲——家宅/六亲大变之年,流年天克地冲日柱 → 家宅六亲大变动（按题目指认父/母/家宅）,《三命通会》天克地冲,1,,,,,
yliu_107,流年六亲应期,伏吟日柱——六亲应期候选,流年伏吟日柱 → 本命伏吟应期（按题目语义指认六亲事件）,《渊海子平》伏吟,,,,,1,
yliu_108,流年六亲刑伤,三刑流年——六亲刑伤候选,三刑成立 → 断事年（健康/是非/六亲刑伤——刑入正印丧母/偏财丧父，yingqi 同构）,《三命通会》三刑,,,,1,,
ymar_112,流年大变,天克地冲日柱——婚姻大变动年（成婚/婚变均按题目指认）,流年天克地冲日柱 → 本命大变动（《三命通会》天克地冲）——婚姻题按选项语义指认（0032/0077 天克地冲年应事）,《三命通会》天克地冲,1,,,,,
ycai_108,流年财变动,天克地冲日柱——财运大变动年,流年天克地冲日柱 → 财运大变动（破财/得财按题指认）,《三命通会》天克地冲,1,,,,,
ycai_109,流年财变动,岁运并临——财运大变动候选,岁运并临（流年=大运）→ 大变动之年（财运起伏）,《渊海子平》岁运并临,,1,,,,
yj_104,流年健康大凶,天克地冲日柱——健康大凶年,流年天克地冲日柱 → 本命大冲，健康凶应（《三命通会》天克地冲）,《三命通会》天克地冲,1,,,,,
yj_105,流年健康应,伏吟日柱——健康应期候选,流年伏吟日柱 → 本命伏吟应期（《渊海子平》伏吟）,《渊海子平》伏吟,,,,,1,
ying_h01,应期,岁运并临（流年=大运）→ 大变动之年（并临为忌/用神被冲可至重病/死亡——0060 2017 岁运并临后癌症不治）,岁运并临主大变动（古籍硬标注 H01-H03，参考 mingli-skills step8）,《三命通会》论岁运并临：流年与大运干支相同主大变动（古籍硬标注）,,1,,,,
ying_h04,应期,流年天克地冲日柱 → 婚灾/自身灾大凶之年（用神被冲更甚）,天克地冲日柱主婚灾/自身灾（古籍硬标注 H04，参考 mingli-skills step8）,《三命通会》论天克地冲：流年天克地冲日柱主婚灾/自身灾,1,,,,,
ying_h09,应期,三刑成立（丑未戌/寅巳申齐）→ 断事年（健康/是非/破财——刑入正印丧母/偏财丧父）,三刑断事（古籍硬标注 H09/H19/H20，参考 mingli-skills step8）,《三命通会》论三刑：丑未戌/寅巳申三刑成立主断事（健康/是非/破财）,,,,1,,
ying_h11,应期,伏吟日柱（流年=日柱）→ 本人或配偶有灾/破财,伏吟主灾（古籍硬标注 H11，参考 mingli-skills step8）,《三命通会》论伏吟：流年与日柱相同主本人或配偶有灾,,,,,1,
ying_h20,凶事,流年年柱干伏吟 + 三刑——父母宫动，家变/父母变动（离异/分居）（《三命通会》伏吟主变动；0119 2016 丙戌→丙申父母离异）,《三命通会》伏吟主变动——父母宫（年柱）伏吟+三刑主家变,《三命通会》伏吟主变动,,,,1,,1
