id,事件,结论,依据,经典原文,流年神煞驿马,流年神煞天乙贵人,流年神煞华盖,流年神煞红鸾,流年神煞天喜,流年神煞桃花,流年神煞大耗,流年神煞劫煞,流年神煞灾煞,流年神煞羊刃,流年神煞病符,流年神煞丧门,流年神煞吊客
ys_205,流年事业动,流年驿马——事业变动/奔波/异地发展,服务端流年神煞（bazi.liunian）→ 《三命通会》驿马主动,《三命通会》驿马主动,1,,,,,,,,,,,,
ys_206,流年事业助,流年天乙贵人——贵人相助/逢凶化吉（求事有援，事业机遇）,流年天乙贵人主遇难有救、贵人扶持（《三命通会》天乙贵人为吉神第一）,《三命通会》天乙贵人,,1,,,,,,,,,,,
ys_207,流年事业静,流年华盖——偏静思/技艺深耕（事业或转独立、技术/玄学方向，才华沉淀）,流年华盖主孤高玄学、内敛深耕（《三命通会》华盖）,《三命通会》华盖,,,1,,,,,,,,,,
ymar_115,流年婚喜,流年红鸾——婚恋/姻缘喜庆（红鸾主婚喜）,服务端流年神煞（bazi.liunian）→ 《三命通会》红鸾主婚喜,《三命通会》红鸾主婚喜,,,,1,,,,,,,,,
ymar_116,流年婚喜,流年天喜——婚庆/添丁喜,服务端流年神煞（bazi.liunian）→ 《协纪辨方书》天喜,《协纪辨方书》天喜,,,,,1,,,,,,,,
ymar_117,流年婚恋,流年桃花——异性缘/情欲引动（单身者恋爱机会；已婚者防桃花劫/感情风波）,流年桃花主异性缘动（《渊海子平》桃花主情欲：红鸾主正缘、桃花主偏缘——已婚者防感情风波）,《渊海子平》桃花,,,,,,1,,,,,,,
yx_205,流年学业变,流年驿马——学业变动/异地求学,服务端流年神煞（bazi.liunian）→ 《三命通会》驿马主动,《三命通会》驿马主动,1,,,,,,,,,,,,
ycai_110,流年破财,流年大耗——破耗之年（财来财去/意外损耗，投资宜慎）,流年大耗主破耗损耗（《协纪辨方书》大耗；与丧门/吊客同列流年凶煞，破财以谨慎应）,《协纪辨方书》大耗,,,,,,,1,,,,,,
yj_203,流年灾劫,流年劫煞——灾劫/血光/破财是非候选,服务端流年神煞（bazi.liunian）→ 《三命通会》劫煞主劫夺灾,《三命通会》劫煞主劫夺灾,,,,,,,,1,,,,,
yj_204,流年灾劫,流年灾煞——灾祸/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》灾煞主灾,《三命通会》灾煞主灾,,,,,,,,,1,,,,
yj_205,流年羊刃,流年羊刃——刚烈/血光/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》羊刃主刃伤,《三命通会》羊刃主刃伤,,,,,,,,,,1,,,
yj_209,流年病灾,值年病符临命——病灾候选（病符主病）,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》病符主病,《协纪辨方书》病符主病,,,,,,,,,,,1,,
yj_210,流年孝服,值年丧门临命——孝服/丧事候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》丧门主孝服,《协纪辨方书》丧门主孝服,,,,,,,,,,,,1,
yj_211,流年孝服,值年吊客临命——吊丧/孝服候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》吊客主吊丧,《协纪辨方书》吊客主吊丧,,,,,,,,,,,,,1
