id,事件,结论,依据,经典原文,官杀透,比劫旺,身强弱,官杀有力,官印相生,官杀为用,食伤旺,财星透有根,食伤为用,比劫为用,官杀为忌,比劫为忌,食伤为忌,印星旺,印为忌,财星旺,财星为忌,印为用,财星为用,寡宿,夫妻宫被冲,配偶星得地,配偶星为用,夫妻宫安静,配偶星为忌,大运十神类
shi_107,事业档位,官杀有力 + 官杀为用 + 非官印相生 + 非食伤旺——掌权之象,官杀有力 + 官杀为用（身强喜官杀制）+ 非官印相生 + 非食伤旺 → 掌权（S3，《滴天髓》用神为枢）；身弱官杀为忌者不掌权（0088 身弱走老板）、食伤旺者技术/老板（0050 稳定）,《滴天髓》用神为枢）,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,
shi_110,事业档位,食伤为用（泄秀）→ 以才华/技术立身，宜创意设计、专业技艺、咨询内容类,食伤为用 → 才华变现（《滴天髓》食伤泄秀）；shishen.md 伤官配印→技术/学术立身；身弱食伤泄秀（shi_103）为用则才学得展,《滴天髓》食伤泄秀,,,,,,,,,1,,,,,,,,,,,,,,,,,
shi_111,事业档位,比劫为用（帮身）→ 宜合伙协作、靠人脉/团队立足（比劫帮身抗杀，众助成事）,身弱比劫为用 → 比劫帮身抗杀（yongshen.md）；shishen.md 比劫主合伙/竞争——为用则得众力成事,《滴天髓》用神为枢,,,,,,,,,,1,,,,,,,,,,,,,,,,
shi_112,事业档位,身弱官杀为忌 → 不掌权、职场压力受制感强、易被压（回填 shi_107 依据：身弱官杀为忌者不掌权）；宜稳守求实，不宜强求晋升,身弱官杀为忌者不掌权（shi_107 依据原文；shishen.md：七杀身弱胆小怕事、正官身弱顺从压力）,《滴天髓》用神为枢,,,身弱,,,,,,,,1,,,,,,,,,,,,,,,
shi_113,事业档位,身旺比劫为忌（无官杀）→ 竞争消耗、合伙易散、劳而少获；宜独自深耕、避合伙,身旺比劫为忌——比劫帮身者当身旺已足则夺财（shishen.md：比劫身强独立竞争好胜；wealth.md 比劫大运破财）,《滴天髓》用神为枢,0,,,,,,,,,,,1,,,,,,,,,,,,,,
jk_301,健康,官杀攻身（官杀为忌）→ 外伤/手术/意外风险,官杀为忌攻身主外伤（《滴天髓》忌神为患；参考 mingli-skills phase6：官杀攻身→外伤手术意外）——官杀为用者不攻身,《滴天髓》忌神为患,,,,1,,,,,,,1,,,,,,,,,,,,,,,
jk_302,健康,食伤过旺泄身（食伤为忌）→ 精力透支、身体虚,食伤为忌泄身主虚损（《滴天髓》；参考 mingli-skills phase6：食伤过旺→泄身体虚）——食伤为用者泄秀不虚,《滴天髓》,,,,,,,1,,,,,,1,,,,,,,,,,,,,
jk_303,健康,印星过旺（印为忌）→ 代谢缓慢/肥胖/甲状腺问题,印为忌旺主代谢慢（《滴天髓》；参考 mingli-skills phase6：印星过旺→代谢缓慢/肥胖）——印为用者不生患,《滴天髓》,,,,,,,,,,,,,,1,1,,,,,,,,,,,
jk_304,健康,比劫过旺（比劫为忌）→ 冲动致外伤/争斗,比劫为忌旺主冲动外伤（《滴天髓》；参考 mingli-skills phase6）——比劫为用者帮身不伤,《滴天髓》,,1,,,,,,,,,,1,,,,,,,,,,,,,,
jk_305,健康,财星耗身（财为忌）→ 过度劳累/肾虚,财为忌耗身主劳累（《滴天髓》；参考 mingli-skills phase6：财星耗身→过度劳累/肾虚）——财为用者任财不耗,《滴天髓》,,,,,,,,,,,,,,,,1,1,,,,,,,,,
jk_306,健康,食伤旺而为用 → 泄秀得宣，精力与思想活跃（食伤为用不虚耗）,食伤为用泄秀不虚——忌者泄身虚损，用者泄秀得宣（《滴天髓》用神为枢；同 jk_302 为忌对称）,《滴天髓》,,,,,,,1,,1,,,,,,,,,,,,,,,,,
jk_307,健康,印星旺而为用 → 气机调和，滋养与思维俱足（印为用不郁结）,印为用不生患——忌者旺主代谢滞缓，用者气机调和（《滴天髓》用神为枢；同 jk_303 为忌对称）,《滴天髓》,,,,,,,,,,,,,,1,,,,1,,,,,,,,
jk_308,健康,比劫旺而为用 → 体魄强健、精力旺盛（比劫为用帮身不伤）,比劫为用帮身不伤——忌者旺主冲动外伤，用者帮身强健（《滴天髓》用神为枢；同 jk_304 为忌对称）,《滴天髓》,,1,,,,,,,,1,,,,,,,,,,,,,,,,
jk_309,健康,官杀有力而为用 → 不作攻身，反为压力化动力（官杀为用不攻身）,官杀为用不攻身——忌者攻身主外伤，用者克身有度反成约束自律（《滴天髓》用神为枢；同 jk_301 为忌对称）,《滴天髓》,,,,1,,1,,,,,,,,,,,,,,,,,,,,
jk_310,健康,财星旺而为用 → 任财不耗，财为我用不损身（财为用者不耗）,财为用任财不耗——忌者耗身主劳累，用者任财自若（《滴天髓》用神为枢；同 jk_305 为忌对称）,《滴天髓》,,,,,,,,,,,,,,,,1,,,1,,,,,,,
hun_407,婚姻质量,配偶星为用 + 得地 + 夫妻宫安静 + 无寡宿——配偶优秀且助益（寡宿主孤者婚缘迟——不判婚姻好）,星宫同参+喜忌（参考 mingli-skills phase6 6.3：配偶星为喜用+坐夫妻宫→上等婚姻；《滴天髓》用神为枢）,《滴天髓》用神为枢）,,,,,,,,,,,,,,,,,,,,0,,1,1,1,,
hun_408,婚姻质量,配偶星为忌但得地——配偶条件一般但尚稳,星宫同参（参考 mingli-skills phase6：配偶星为忌+宫位安静→中等）,《三命通会》星宫同参：配偶星为忌而夫（妻）星得地主中等婚姻,,,,,,,,,,,,,,,,,,,,,,1,,,1,
hun_409,婚姻质量,配偶星为忌 + 夫妻宫被冲——配偶不利且婚姻不稳,星宫同参（参考 mingli-skills phase6：配偶星为忌+宫位被冲→高危婚姻）,《三命通会》星宫同参：配偶星为忌而夫妻宫被冲主高危婚姻,,,,,,,,,,,,,,,,,,,,,1,,,,1,
xue_210,学历层次,印星为用（身弱喜印）→ 印绶得用，学问有根（印为「补药」非「食古不化」）,身弱印为用 → 印星得力则学历高（study.md 核心原则：印为补药；《子平真诠》印绶喜身弱）——与身强印为忌（xue_208/209 印多主愚）互斥,《子平真诠》印绶喜身弱,,,,,,,,,,,,,,,,,,1,,,,,,,,
cai_101-not1,财运,财运顺畅、有积蓄,财为用（用神体系）+ 财透有根 → 财为我用，收入稳增（《滴天髓》用神为枢；0053）,《滴天髓》用神为枢,,,,,,,,1,,,,,,,,,,,1,,,,,,,官杀
