id,事件,结论,依据,经典原文,羊刃,天乙贵人,印星旺,寡宿,性别,桃花,日支神煞类型,华盖,驿马,孤辰寡宿,文昌,将星,天德,月德,红鸾,天喜,血刃,元辰,天赦
shi_114,事业档位,羊刃入命 → 刚烈激进、竞争冲动，宜独当专精不宜合作分利（羊刃主争强）,羊刃主刚烈、争强（factors.csv 羊刃主刚烈）；career.md 羊刃冲财=经营负债——身旺羊刃主偏激竞争,《三命通会》羊刃论,1,,,,,,,,,,,,,,,,,,
jk_319,健康,羊刃入命 → 血光/手术/外伤倾向（羊刃主血刃，忌逢冲刑引动）,羊刃主血光之伤（《三命通会》羊刃论；career/dayun.md 羊刃冲刃=血光）；身强羊刃旺者主血光外伤,《三命通会》羊刃论,1,,,,,,,,,,,,,,,,,,
hun_211,婚姻状态,女命桃花（异性缘外情）、寡宿（婚姻孤独不利）——婚内外情，终至离异,女命桃花（异性缘外情）+ 寡宿（婚姻孤独不利）→ 婚内外情，终至离异（《三命通会》桃花煞主淫奔、寡宿主孤；0035 桃花+寡宿外遇离婚）,《三命通会》桃花煞主淫奔、寡宿主孤,,,,1,female,1,,,,,,,,,,,,,
hun_404,配偶特征,日支四桃花（子午卯酉）→ 配偶貌好/有能力/有魅力,四桃花日支主配偶相貌好（参考 mingli-skills phase6 6.3 配偶特征）,《三命通会》四桃花论：日支子午卯酉主配偶貌好有魅力,,,,,,,桃花,,,,,,,,,,,,
hun_405,配偶特征,日支四驿马（寅申巳亥）→ 配偶相貌中等但精明能干/善交际,四驿马日支主配偶能干（参考 mingli-skills phase6 6.3）,《三命通会》四驿马论：日支寅申巳亥主配偶精明能干,,,,,,,驿马,,,,,,,,,,,,
hun_406,配偶特征,日支四墓库（辰戌丑未）→ 配偶朴素务实/踏实肯干,四墓库日支主配偶踏实（参考 mingli-skills phase6 6.3）,《三命通会》四墓库论：日支辰戌丑未主配偶朴素务实,,,,,,,墓库,,,,,,,,,,,,
xg_301,宗教缘,华盖临命 → 有宗教/玄学/艺术缘，性喜独处、淡泊名利,华盖主孤高玄学（《三命通会》华盖）,《三命通会》华盖）,,,,,,,,1,,,,,,,,,,,
qy_101,迁移,驿马临命 → 人生多变动，有远行/搬迁/异地发展之象,驿马主动迁（《三命通会》）；0158 驿马搬迁厦门,《三命通会》）,,,,,,,,,1,,,,,,,,,,
sh_101,神煞,桃花临命：异性缘旺、风流多情（婚恋活跃）,咸池桃花主情缘风流（《渊海子平》桃花煞）,《渊海子平》桃花煞）,,,,,,1,,,,,,,,,,,,,
sh_104,神煞,羊刃临命：性格刚烈、性急胆大,羊刃主刚强暴烈、好勇（《渊海子平》羊刃）,《渊海子平》羊刃）,1,,,,,,,,,,,,,,,,,,
sh_105,神煞,孤辰寡宿：性情孤独、婚恋迟晚倾向,孤辰寡宿主孤寡（SKILL.md 禁断极端：只许断晚婚/缘迟）,《三命通会》孤辰寡宿：主性情孤独、婚恋迟晚倾向,,,,,,,,,,1,,,,,,,,,
sh_301,神煞,天乙贵人入命——遇难有救、贵人相助,天乙贵人为吉神第一，主遇难有救,《三命通会》神煞篇,,1,,,,,,,,,,,,,,,,,
sh_302,神煞,文昌入命——才学聪明、读书有利,文昌主才学，读书有利,《三命通会》神煞篇,,,,,,,,,,,1,,,,,,,,
sh_303,神煞,将星入命——权柄、统领之才,将星主权柄统领,《三命通会》神煞篇,,,,,,,,,,,,1,,,,,,,
sh_310,神煞,天德贵人入命——逢凶化吉，一生多贵人相助,天德贵人主一生无险无虑，遇事能逢凶化吉,《三命通会》天德贵人,,,,,,,,,,,,,1,,,,,,
sh_311,神煞,月德贵人入命——阴德厚重，凶险自然化解,月德贵人主阴德护佑，纵有凶煞亦可化解,《三命通会》月德贵人,,,,,,,,,,,,,,1,,,,,
sh_312,神煞,红鸾入命——婚姻喜事，正缘桃花,红鸾主婚姻喜庆，流年逢之利婚恋,《三命通会》红鸾天喜,,,,,,,,,,,,,,,1,,,,
sh_313,神煞,天喜入命——喜庆添丁，喜事临门,天喜主喜庆，添丁进口之喜,《三命通会》红鸾天喜,,,,,,,,,,,,,,,,1,,,
sh_314,神煞,血刃入命——注意血光外伤，手术之象,血刃主血光、手术、外伤，宜防意外,《三命通会》血刃,,,,,,,,,,,,,,,,,1,,
sh_315,神煞,元辰入命——耗散暗损，做事多波折,元辰主耗散暗损，做事多阻,《三命通会》元辰,,,,,,,,,,,,,,,,,,1,
sh_316,神煞,天赦入命——百事消灾，一生少牢狱之灾,天赦主赦免一切凶煞，百事消灾,《三命通会》天赦,,,,,,,,,,,,,,,,,,,1
cai_306,财运,羊刃临财/冲财 → 血光之财、财来暴破（横财必破，得之反伤身或破耗）,羊刃主刚烈、血光、破耗（career.md：羊刃冲财=经营负债）；羊刃劫财主财不由己（《渊海子平》羊刃论）,《渊海子平》羊刃论,1,,,,,,,,,,,,,,,,,,
zy_301,职业类型,孤辰寡宿 + 印重 + 华盖——殡葬/宗教/玄学类职业倾向（孤寡印重华盖主僧道殡葬之象；0138 入殓师）,孤寡+华盖+印重主玄学殡葬（《三命通会》孤寡华盖主孤高玄学）,《三命通会》孤寡华盖主孤高玄学,,,1,,,,,1,,1,,,,,,,,,
