factor_id,shushi,group_id,term_index,kind,expression,expected,basis
食伤现,bazi,1,1,condition,现[食伤],1,食伤出现（事实）——子女星判断用
食伤旺,bazi,1,1,condition,得令[食伤],1,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,2,1,condition,有根[食伤],1,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,2,2,condition,透[食伤],1,食伤旺衰从其五行月令；透干为显（《子平真诠》）
伤官旺,bazi,1,1,condition,得令[伤官],1,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,2,1,condition,有根[伤官],1,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,2,2,condition,透[伤官],1,伤官旺衰从五行月令（《子平真诠》）
食神旺,bazi,1,1,condition,得令[食神],1,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,2,1,condition,有根[食神],1,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,2,2,condition,透[食神],1,食神旺衰从五行月令（《子平真诠》）
劫财旺,bazi,1,1,condition,得令[劫财],1,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,2,1,condition,有根[劫财],1,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,2,2,condition,透[劫财],1,劫财旺衰从五行月令（《子平真诠》）
正印旺,bazi,1,1,condition,得令[正印],1,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,2,1,condition,有根[正印],1,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,2,2,condition,透[正印],1,正印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,1,1,condition,得令[偏印],1,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,2,1,condition,有根[偏印],1,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,2,2,condition,透[偏印],1,偏印旺衰从五行月令（《子平真诠》）
七杀旺,bazi,1,1,condition,得令[七杀],1,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,2,1,condition,有根[七杀],1,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,2,2,condition,透[七杀],1,七杀旺衰从五行月令（《子平真诠》）
七杀现,bazi,1,1,condition,现[七杀],1,七杀出现（事实）——制化判断用
正财旺,bazi,1,1,condition,得令[正财],1,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,2,1,condition,有根[正财],1,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,2,2,condition,透[正财],1,正财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,1,1,condition,得令[偏财],1,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,2,1,condition,有根[偏财],1,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,2,2,condition,透[偏财],1,偏财旺衰从五行月令（《子平真诠》）
比劫旺,bazi,1,1,condition,得令[比劫],1,比劫旺衰从五行月令（《子平真诠》）
比劫旺,bazi,2,1,condition,有根[比劫],1,比劫旺衰从五行月令（《子平真诠》）
比劫旺,bazi,2,2,condition,透[比劫],1,比劫旺衰从五行月令（《子平真诠》）
木旺,bazi,1,1,condition,旺[木],1,五行旺衰看月令（《滴天髓》）
火旺,bazi,1,1,condition,旺[火],1,五行旺衰看月令
土旺,bazi,1,1,condition,旺[土],1,五行旺衰看月令
金旺,bazi,1,1,condition,旺[金],1,五行旺衰看月令
水旺,bazi,1,1,condition,旺[水],1,五行旺衰看月令
木弱,bazi,1,1,condition,弱[木],1,五行休囚为弱
火弱,bazi,1,1,condition,弱[火],1,五行休囚为弱
土弱,bazi,1,1,condition,弱[土],1,五行休囚为弱
金弱,bazi,1,1,condition,弱[金],1,五行休囚为弱
水弱,bazi,1,1,condition,弱[水],1,五行休囚为弱
缺木,bazi,1,1,condition,缺[木],1,五行缺失
缺火,bazi,1,1,condition,缺[火],1,五行缺失
缺土,bazi,1,1,condition,缺[土],1,五行缺失
缺金,bazi,1,1,condition,缺[金],1,五行缺失
缺水,bazi,1,1,condition,缺[水],1,五行缺失
印星现,bazi,1,1,condition,现[印星],1,印星存在（事实）
印星旺,bazi,1,1,factor_ref,印星得令,1,印旺衰从五行月令
印星旺,bazi,2,1,factor_ref,印星透根,1,印旺衰从五行月令
印有气,bazi,1,1,condition,得令[印星],1,印星现而有月令之气或有根
印有气,bazi,1,2,condition,现[印星],1,印星现而有月令之气或有根
印有气,bazi,2,1,condition,有根[印星],1,印星现而有月令之气或有根
印有气,bazi,2,2,condition,现[印星],1,印星现而有月令之气或有根
印星透,bazi,1,1,condition,透[印星],1,印透干（事实）
官杀透,bazi,1,1,condition,透[官杀],1,官杀透干（事实）
官杀得令,bazi,1,1,condition,得令[官杀],1,官杀得月令（得令标记）
官杀有力,bazi,1,1,condition,得令[官杀],1,官杀有力=现且得令或有根（命理通论）
官杀有力,bazi,1,2,condition,现[官杀],1,官杀有力=现且得令或有根（命理通论）
官杀有力,bazi,2,1,condition,有根[官杀],1,官杀有力=现且得令或有根（命理通论）
官杀有力,bazi,2,2,condition,现[官杀],1,官杀有力=现且得令或有根（命理通论）
食伤透,bazi,1,1,condition,透[食伤],1,食伤透干（事实）
食伤泄秀,bazi,1,1,condition,现[食伤],1,身强食伤泄秀（《滴天髓》秀气流通）
