factor_id,shushi,group_id,term_index,kind,expression,expected,basis
流年配偶星透,bazi,1,1,condition,流年透[配偶星],1,流年天干透配偶星
流年配偶星值宫,bazi,1,1,condition,流年值[配偶星],1,流年支值配偶星事件宫
流年配偶星合会,bazi,1,1,condition,流年合[配偶星],1,流年与配偶星事件宫合会
流年配偶星冲,bazi,1,1,condition,流年冲[配偶星],1,流年冲配偶星事件宫
流年配偶星克,bazi,1,1,condition,流年克[配偶星],1,流年克配偶星五行
流年配偶星大运窗口,bazi,1,1,condition,大运窗口流年[配偶星],1,流年处于配偶星大运窗口
流年配偶星换运首年,bazi,1,1,condition,换运流年[配偶星],1,配偶星大运换运首年
流年财星透,bazi,1,1,condition,流年透[财星],1,流年天干透财星
流年财星合会,bazi,1,1,condition,流年合[财星],1,流年与财星事件宫合会
流年财星克,bazi,1,1,condition,流年克[财星],1,流年克财星五行
流年母星透,bazi,1,1,condition,流年透[母星],1,流年天干透母星
流年子女星透,bazi,1,1,condition,流年透[子女星],1,流年天干透子女星
流年子女星合会,bazi,1,1,condition,流年合[子女星],1,流年与子女星事件宫合会
流年子女星克,bazi,1,1,condition,流年克[子女星],1,流年克子女星五行
流年干忌神,bazi,1,1,condition,忌神干[],1,流年天干为忌神
流年支忌神,bazi,1,1,condition,忌神支[],1,流年地支为忌神
流年财坏印,bazi,1,1,condition,财坏印流年[],1,流年财星坏印
本命伤官克官,bazi,1,1,condition,引用本命[伤官克官],1,引用本命伤官克官
本命食伤旺,bazi,1,1,condition,引用本命[食伤旺],1,引用本命食伤旺
本命比劫夺财,bazi,1,1,condition,引用本命[比劫夺财],1,引用本命比劫夺财
本命夫妻宫破,bazi,1,1,condition,引用本命[夫妻宫破],1,引用本命夫妻宫破
岁运并临,bazi,1,1,condition,"干支相等[大运,流年]",1,大运与流年干支相同
天克地冲日柱,bazi,1,1,condition,"干克[流年干,日干]",1,流年天克地冲日柱
日犯岁君,bazi,1,1,condition,"干克[日干,流年干]",1,日干克流年天干
伏吟流年,bazi,1,1,condition,"干支相等[流年,日柱]",1,流年与日柱伏吟
三刑流年,bazi,1,1,condition,"三刑[流年支,日支,时支]",1,流年凑齐三刑
空亡填实,bazi,1,1,condition,"旬空[日柱,流年支]",1,流年填实空亡
流年干合日干,bazi,1,1,condition,"天干合[流年干,日干]",1,流年干合日干
年柱干伏吟,bazi,1,1,condition,年柱干伏吟[],1,流年干伏吟年柱干
流年支受克,bazi,1,1,condition,流年支受克[],1,流年支受本命旺五行所克
流年财帛宫忌,ziwei,1,1,condition,"流年宫化[财帛,忌]",1,流年财帛宫化忌
流年疾厄宫忌,ziwei,1,1,condition,"流年宫化[疾厄,忌]",1,流年疾厄宫化忌
流年子女宫忌,ziwei,1,1,condition,"流年宫化[子女,忌]",1,流年子女宫化忌
流年父母宫忌,ziwei,1,1,condition,"流年宫化[父母,忌]",1,流年父母宫化忌
流年福德宫忌,ziwei,1,1,condition,"流年宫化[福德,忌]",1,流年福德宫化忌
流年财帛宫禄,ziwei,1,1,condition,"流年宫化[财帛,禄]",1,流年财帛宫化禄
流年夫妻宫禄,ziwei,1,1,condition,"流年宫化[夫妻,禄]",1,流年夫妻宫化禄
流年官禄宫权,ziwei,1,1,condition,"流年宫化[官禄,权]",1,流年官禄宫化权
流年命宫科,ziwei,1,1,condition,"流年宫化[命宫,科]",1,流年命宫化科
流年官禄宫科,ziwei,1,1,condition,"流年宫化[官禄,科]",1,流年官禄宫化科
流年夫妻宫忌,ziwei,1,1,condition,"流年宫化[夫妻,忌]",1,流年夫妻宫化忌
流年官禄宫忌,ziwei,1,1,condition,"流年宫化[官禄,忌]",1,流年官禄宫化忌
流年命宫忌,ziwei,1,1,condition,"流年宫化[命宫,忌]",1,流年命宫化忌
流年子女宫禄,ziwei,1,1,condition,"流年宫化[子女,禄]",1,流年子女宫化禄
流年神煞红鸾,bazi,1,1,condition,流年神煞[红鸾],1,流年逢红鸾
流年神煞天喜,bazi,1,1,condition,流年神煞[天喜],1,流年逢天喜
流年神煞劫煞,bazi,1,1,condition,流年神煞[劫煞],1,流年逢劫煞
流年神煞灾煞,bazi,1,1,condition,流年神煞[灾煞],1,流年逢灾煞
流年神煞驿马,bazi,1,1,condition,流年神煞[驿马],1,流年逢驿马
