id,事件,结论,依据,经典原文,疾厄宫紫微,疾厄宫天机,疾厄宫太阳,疾厄宫武曲,疾厄宫天同,疾厄宫廉贞,疾厄宫天府,疾厄宫太阴,疾厄宫贪狼,疾厄宫巨门,疾厄宫天相,疾厄宫天梁,疾厄宫七杀,疾厄宫破军
zj_301,健康,体质尊贵，先天底子好，少大病,紫微属土为尊，坐疾厄宫主体质尊贵少病,《紫微斗数全书》疾厄宫论,1,,,,,,,,,,,,,
zj_302,健康,肝胆、神经系统，多思虑劳神,天机属木主肝胆，坐疾厄宫主神经思虑,《紫微斗数全书》疾厄宫论,,1,,,,,,,,,,,,
zj_303,健康,心脏、眼睛（火），防心火目疾,太阳属火主心，坐疾厄宫主心火目疾,《紫微斗数全书》疾厄宫论,,,1,,,,,,,,,,,
zj_304,健康,肺、呼吸道（金），防呼吸道疾病,武曲属金主肺，坐疾厄宫主呼吸道疾病,《紫微斗数全书》疾厄宫论,,,,1,,,,,,,,,,
zj_305,健康,肾、泌尿系统（水），防泌尿水肿,天同属水主肾，坐疾厄宫主泌尿疾病,《紫微斗数全书》疾厄宫论,,,,,1,,,,,,,,,
zj_306,健康,血液循环、内分泌，多暗疾,廉贞属火主血，坐疾厄宫主血液循环暗疾,《紫微斗数全书》疾厄宫论,,,,,,1,,,,,,,,
zj_307,健康,脾胃、消化（土），体质尚可,天府属土主脾胃，坐疾厄宫主体质尚可,《紫微斗数全书》疾厄宫论,,,,,,,1,,,,,,,
zj_308,健康,肾、妇科（水），防肾妇科,太阴属水主肾，坐疾厄宫主肾妇科,《紫微斗数全书》疾厄宫论,,,,,,,,1,,,,,,
zj_309,健康,肝胆、内分泌（木），防欲多耗身,贪狼属木主肝胆，坐疾厄宫主内分泌耗身,《紫微斗数全书》疾厄宫论,,,,,,,,,1,,,,,
zj_310,健康,口腔、咽喉、肠胃（土），多隐疾,巨门主口舌肠胃，坐疾厄宫主隐疾,《紫微斗数全书》疾厄宫论,,,,,,,,,,1,,,,
zj_311,健康,泌尿（水），体质平和,天相属水主泌尿，坐疾厄宫主体质平和,《紫微斗数全书》疾厄宫论,,,,,,,,,,,1,,,
zj_312,健康,脾胃（土），有惊无险逢凶化吉,天梁属土主脾胃，坐疾厄宫主有惊无险,《紫微斗数全书》疾厄宫论,,,,,,,,,,,,1,,
zj_313,健康,外伤、手术（金），体质刚健,七杀属金肃杀，坐疾厄宫主外伤手术,《紫微斗数全书》疾厄宫论,,,,,,,,,,,,,1,
zj_314,健康,内分泌、妇科（水），防变动伤身,破军属水变动，坐疾厄宫主内分泌妇科,《紫微斗数全书》疾厄宫论,,,,,,,,,,,,,,1
