id,事件,gender,结论,依据,经典原文,兄弟宫紫微,兄弟宫天机,兄弟宫太阳,兄弟宫武曲,兄弟宫天同,兄弟宫廉贞,兄弟宫天府,兄弟宫太阴,兄弟宫贪狼,兄弟宫巨门,兄弟宫天相,兄弟宫天梁,兄弟宫七杀,兄弟宫破军,仆役宫紫微,仆役宫天机,仆役宫太阳,仆役宫武曲,仆役宫天同,仆役宫廉贞,仆役宫天府,仆役宫太阴,仆役宫贪狼,仆役宫巨门,仆役宫天相,仆役宫天梁,仆役宫七杀,仆役宫破军,父母宫紫微,父母宫天机,父母宫太阳,父母宫武曲,父母宫天同,父母宫廉贞,父母宫天府,父母宫太阴,父母宫贪狼,父母宫巨门,父母宫天相,父母宫天梁,父母宫七杀,父母宫破军,父母宫左辅,父母宫右弼,父母宫文昌,父母宫文曲,父母宫天魁,父母宫天钺,父母宫禄存,父母宫天马
xd_301,兄弟,,兄弟中有贵者，但紫微孤高，兄弟缘淡,紫微帝星孤高，坐兄弟宫主兄弟贵而缘淡,《紫微斗数全书》兄弟宫论,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_302,兄弟,,兄弟聚少离多，多变动,天机多变，坐兄弟宫主兄弟聚散,《紫微斗数全书》兄弟宫论,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_303,兄弟,,兄弟开朗，手足缘好,太阳光明，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_304,兄弟,,兄弟刚强，手足缘薄,武曲刚强孤克，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_305,兄弟,,兄弟和睦，手足缘好,天同福星温和，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_306,兄弟,,兄弟缘复杂，多是非,廉贞桃花，坐兄弟宫主兄弟缘复杂,《紫微斗数全书》兄弟宫论,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_307,兄弟,,兄弟稳重，手足有靠,天府库星稳重，坐兄弟宫主手足有靠,《紫微斗数全书》兄弟宫论,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_308,兄弟,,兄弟温和，手足缘好,太阴温柔，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_309,兄弟,,兄弟多才，手足缘复杂,贪狼多才桃花，坐兄弟宫主手足缘复杂,《紫微斗数全书》兄弟宫论,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_310,兄弟,,兄弟多口舌，手足缘薄,巨门口舌，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_311,兄弟,,兄弟端正，手足和睦,天相端正，坐兄弟宫主手足和睦,《紫微斗数全书》兄弟宫论,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_312,兄弟,,兄弟有担当，手足有靠,天梁荫星，坐兄弟宫主手足有靠,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_313,兄弟,,兄弟刚烈，手足缘薄,七杀肃杀，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_314,兄弟,,兄弟多变，手足缘薄,破军变动，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_301,人际,,交友遇贵，朋友有助,紫微帝星，坐仆役宫主交友遇贵,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_302,人际,,朋友聚散多，变动,天机多变，坐仆役宫主朋友聚散,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_303,人际,,朋友开朗，朋友有助,太阳光明，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_304,人际,,朋友刚强，朋友缘薄,武曲刚强，坐仆役宫主朋友缘薄,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_305,人际,,朋友和睦，朋友有助,天同温和，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_306,人际,,朋友多是非，防损友,廉贞桃花是非，坐仆役宫主防损友,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_307,人际,,朋友稳重，朋友有靠,天府稳重，坐仆役宫主朋友有靠,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_308,人际,,朋友温和，朋友缘好,太阴温柔，坐仆役宫主朋友缘好,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_309,人际,,朋友多才，交际广,贪狼交际多才，坐仆役宫主交际广,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
py_310,人际,,朋友多口舌，防是非,巨门口舌，坐仆役宫主防是非,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
py_311,人际,,朋友端正，朋友有助,天相端正，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
