id,事件,gender,结论,依据,经典原文,天机独坐夫妻宫,贪狼化忌,夫妻宫紫微,夫妻宫天机,夫妻宫太阳,夫妻宫武曲,夫妻宫天同,夫妻宫廉贞,夫妻宫天府,夫妻宫太阴,夫妻宫贪狼,夫妻宫巨门,夫妻宫天相,夫妻宫天梁,夫妻宫七杀,夫妻宫破军,夫妻宫化禄,夫妻宫化科,夫妻宫左辅,夫妻宫右弼,夫妻宫文昌,夫妻宫文曲,夫妻宫天魁,夫妻宫天钺,夫妻宫禄存,夫妻宫天马
hun_301,婚姻状态,male,贪狼化忌（桃花星受损）——桃花受阻、婚恋多短暂难成,贪狼=桃花主星，化忌 → 桃花受阻、婚恋多短暂难成（0134/0139）,《紫微斗数全书》贪狼星：桃花主星，化忌主桃花受阻、婚恋难成,,1,,,,,,,,,,,,,,,,,,,,,,,,
hun_302,婚姻状态,,天机独坐夫妻宫——姻缘淡薄，独身之象,天机坐夫妻宫主孤克、姻缘淡薄（《紫微斗数全书》）,《紫微斗数全书》夫妻宫：天机独坐主独身/感情淡泊倾向,1,,,,,,,,,,,,,,,,,,,,,,,,,
zf_301,婚姻状态,,配偶有主见、尊贵，但紫微孤高，配偶缘淡,紫微帝星孤高，坐夫妻宫主配偶尊贵但缘淡,《紫微斗数全书》夫妻宫论,,,1,,,,,,,,,,,,,,,,,,,,,,,
zf_302,婚姻状态,,配偶聪明多智，但天机多变，感情易变,天机善变，坐夫妻宫主配偶聪明但感情多变,《紫微斗数全书》夫妻宫论,,,,1,,,,,,,,,,,,,,,,,,,,,,
zf_303,婚姻状态,,配偶开朗光明（太阳为阳，女命配偶强势）,太阳光明主配偶开朗，女命主配偶强势,《紫微斗数全书》夫妻宫论,,,,,1,,,,,,,,,,,,,,,,,,,,,
zf_304,婚姻状态,,配偶刚强果断，但武曲孤克，婚姻多波折,武曲刚强孤克，坐夫妻宫主婚姻多波折,《紫微斗数全书》夫妻宫论,,,,,,1,,,,,,,,,,,,,,,,,,,,
zf_305,婚姻状态,,配偶温和随和，感情融洽（天同福星）,天同福星温和，坐夫妻宫主感情融洽,《紫微斗数全书》夫妻宫论,,,,,,,1,,,,,,,,,,,,,,,,,,,
zf_306,婚姻状态,,配偶貌美有才，但廉贞桃花，感情多是非,廉贞桃花貌美，坐夫妻宫主感情多是非,《紫微斗数全书》夫妻宫论,,,,,,,,1,,,,,,,,,,,,,,,,,,
zf_307,婚姻状态,,配偶稳重厚道，婚姻稳定,天府库星稳重，坐夫妻宫主婚姻稳定,《紫微斗数全书》夫妻宫论,,,,,,,,,1,,,,,,,,,,,,,,,,,
zf_308,婚姻状态,,配偶温柔内敛，贤惠,太阴温柔内敛，坐夫妻宫主配偶贤惠,《紫微斗数全书》夫妻宫论,,,,,,,,,,1,,,,,,,,,,,,,,,,
zf_309,婚姻状态,,配偶多才多艺，但贪狼桃花，婚姻多波折,贪狼桃花多才，坐夫妻宫主婚姻多波折,《紫微斗数全书》夫妻宫论,,,,,,,,,,,1,,,,,,,,,,,,,,,
zf_310,婚姻状态,,配偶口才好，但巨门暗星，多口舌争执,巨门暗星口舌，坐夫妻宫主多争执,《紫微斗数全书》夫妻宫论,,,,,,,,,,,,1,,,,,,,,,,,,,,
zf_311,婚姻状态,,配偶端正稳重，婚姻和睦,天相吉星端正，坐夫妻宫主婚姻和睦,《紫微斗数全书》夫妻宫论,,,,,,,,,,,,,1,,,,,,,,,,,,,
zf_312,婚姻状态,,配偶成熟有担当，年龄差大,天梁荫星成熟，坐夫妻宫主配偶年长有担当,《紫微斗数全书》夫妻宫论,,,,,,,,,,,,,,1,,,,,,,,,,,,
zf_313,婚姻状态,,配偶刚烈有魄力，但七杀肃杀，婚姻多变动,七杀肃杀刚烈，坐夫妻宫主婚姻多变动,《紫微斗数全书》夫妻宫论,,,,,,,,,,,,,,,1,,,,,,,,,,,
zf_314,婚姻状态,,配偶冲动有冲劲，但破军变动，婚姻多变,破军变动冲动，坐夫妻宫主婚姻多变,《紫微斗数全书》夫妻宫论,,,,,,,,,,,,,,,,1,,,,,,,,,,
zf_320,婚姻状态,,化禄入夫妻宫——姻缘吉、夫妻恩爱,夫妻宫化禄主姻缘吉,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,1,,,,,,,,,
zf_321,婚姻状态,,化科入夫妻宫——配偶有才名、姻缘清贵,夫妻宫化科主配偶才名,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,1,,,,,,,,
zf_322,婚姻状态,,配偶有辅佐、得人助（左辅主助力）,左辅为贵人星坐夫妻宫，主夫妻有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,1,,,,,,,
zf_323,婚姻状态,,配偶有辅佐、得人助（右弼主辅弼）,右弼为贵人星坐夫妻宫，主夫妻有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,1,,,,,,
zf_324,婚姻状态,,配偶有才学、文雅,文昌主才学坐夫妻宫，主夫妻有才学、文雅,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,1,,,,,
zf_325,婚姻状态,,配偶有才艺、聪慧,文曲主才艺坐夫妻宫，主夫妻有才艺、聪慧,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,1,,,,
