id,事件,gender,结论,依据,经典原文,田宅宫化禄,田宅宫煞,田宅宫财星,田宅宫陷,田宅宫紫微,田宅宫天机,田宅宫太阳,田宅宫武曲,田宅宫天同,田宅宫廉贞,田宅宫天府,田宅宫太阴,田宅宫贪狼,田宅宫巨门,田宅宫天相,田宅宫天梁,田宅宫七杀,田宅宫破军,田宅宫左辅,田宅宫右弼,田宅宫文昌,田宅宫文曲,田宅宫天魁,田宅宫天钺,田宅宫禄存,田宅宫天马
tz_101,房产,,田宅宫见财星（武曲/太阴/天府）→ 置产置业能力强，名下房产丰,财星入田宅主置业（《紫微斗数全书》田宅宫论；0104 武曲破军田宅二间公寓）,《紫微斗数全书》田宅宫论,,,1,,,,,,,,,,,,,,,,,,,,,,,
tz_102,房产,,田宅宫化禄 → 房产丰盈、置产顺利，靠房产受益,田宅宫化禄主房产丰（《紫微斗数全书》田宅宫四化论）,《紫微斗数全书》田宅宫四化论）,1,,,,,,,,,,,,,,,,,,,,,,,,,
tz_103,房产,,田宅宫煞（无财星）→ 房产变动大、置产多波折（买卖频繁/搬动），非必然难守,"田宅宫煞主房产变动（《紫微斗数全书》）——煞主""动""非""败""：置产经变动波折而成功（用户 1981 男命田宅宫煞仍买 6 套房收租）；有财星者煞亦主置产多波折","《紫微斗数全书》）——煞主""动""非""败""：置产经变动波折而成功（用户 1981 男命田宅宫煞仍买 6 套房收租）",,1,0,,,,,,,,,,,,,,,,,,,,,,,
tz_104,房产,,田宅宫主星落陷（无财星）→ 置产难，房产运势弱,田宅宫陷主置产难（《紫微斗数全书》）,《紫微斗数全书》）,,,0,1,,,,,,,,,,,,,,,,,,,,,,
zt_301,房产,,家宅尊贵，房产有成,紫微帝星，坐田宅宫主房产有成,《紫微斗数全书》田宅宫论,,,,,1,,,,,,,,,,,,,,,,,,,,,
zt_302,房产,,家宅多变动，搬迁,天机多变，坐田宅宫主家宅变动,《紫微斗数全书》田宅宫论,,,,,,1,,,,,,,,,,,,,,,,,,,,
zt_303,房产,,家宅光明，房产有成,太阳光明，坐田宅宫主房产有成,《紫微斗数全书》田宅宫论,,,,,,,1,,,,,,,,,,,,,,,,,,,
zt_304,房产,,家宅财星，房产有成,武曲财星，坐田宅宫主房产有成,《紫微斗数全书》田宅宫论,,,,,,,,1,,,,,,,,,,,,,,,,,,
zt_305,房产,,家宅安逸，安土重迁,天同安逸，坐田宅宫主安土重迁,《紫微斗数全书》田宅宫论,,,,,,,,,1,,,,,,,,,,,,,,,,,
zt_306,房产,,家宅多是非，防宅争,廉贞是非，坐田宅宫主防宅争,《紫微斗数全书》田宅宫论,,,,,,,,,,1,,,,,,,,,,,,,,,,
zt_307,房产,,家宅库星，房产丰厚,天府库星，坐田宅宫主房产丰厚,《紫微斗数全书》田宅宫论,,,,,,,,,,,1,,,,,,,,,,,,,,,
zt_308,房产,,家宅田宅主，房产有成,太阴田宅主，坐田宅宫主房产有成,《紫微斗数全书》田宅宫论,,,,,,,,,,,,1,,,,,,,,,,,,,,
zt_309,房产,,家宅多花费，房产多变动,贪狼花费，坐田宅宫主房产多变动,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,1,,,,,,,,,,,,,
zt_310,房产,,家宅多口舌，防宅争,巨门口舌，坐田宅宫主防宅争,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,1,,,,,,,,,,,,
zt_311,房产,,家宅端正，家宅和睦,天相端正，坐田宅宫主家宅和睦,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,,1,,,,,,,,,,,
zt_312,房产,,家宅有荫庇，房产有靠,天梁荫星，坐田宅宫主房产有靠,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,,,1,,,,,,,,,,
zt_313,房产,,家宅变动大，搬迁,七杀变动，坐田宅宫主搬迁,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,,,,1,,,,,,,,,
zt_314,房产,,家宅多变，搬迁,破军变动，坐田宅宫主搬迁,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,,,,,1,,,,,,,,
zt_315,房产,,家宅有辅佐、得人助（左辅主助力）,左辅为贵人星坐田宅宫，主田宅有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,1,,,,,,,
zt_316,房产,,家宅有辅佐、得人助（右弼主辅弼）,右弼为贵人星坐田宅宫，主田宅有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,1,,,,,,
zt_317,房产,,家宅有才学、文雅,文昌主才学坐田宅宫，主田宅有才学、文雅,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,1,,,,,
zt_318,房产,,家宅有才艺、聪慧,文曲主才艺坐田宅宫，主田宅有才艺、聪慧,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,1,,,,
zt_319,房产,,家宅遇贵、逢凶化吉（天魁阳贵显助）,天魁为天乙贵人坐田宅宫，主田宅遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,1,,,
zt_320,房产,,家宅遇贵、逢凶化吉（天钺阴贵暗扶）,天钺为天乙贵人坐田宅宫，主田宅遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,1,,
zt_321,房产,,家宅有财、衣食丰足,禄存主财禄坐田宅宫，主田宅有财、衣食丰足,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,1,
zt_322,房产,,家宅好动、奔波,天马主动坐田宅宫，主田宅好动、奔波,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,1
