id,事件,结论,依据,经典原文,流年子女宫忌,流年父母宫忌,流年疾厄宫忌,流年福德宫忌,流年财帛宫忌,流年财帛宫禄,流年夫妻宫禄,流年官禄宫权,流年命宫科,流年官禄宫科,流年夫妻宫忌,流年官禄宫忌,流年命宫忌
ying_301,破财,破财年（紫微流年财帛宫化忌）,紫微财帛宫化忌主破财（0032 2003 破军忌入财帛，破产唯一命中；0023/0028 被骗）,《紫微斗数全书》财帛宫四化：流年财帛宫化忌主破财,,,,,1,,,,,,,,
ying_302,健康,健康凶年（紫微流年疾厄宫化忌）,疾厄宫化忌主健康受损（0001 1996 抑郁/0019 2016 身体）,《紫微斗数全书》疾厄宫四化：流年疾厄宫化忌主健康凶,,,1,,,,,,,,,,
ying_303,损子,损子年（紫微流年子女宫化忌）,子女宫化忌主损子/堕胎（0019 堕胎）,《紫微斗数全书》子女宫四化：流年子女宫化忌主损子,1,,,,,,,,,,,,
ying_304,六亲灾,六亲灾年（紫微流年父母宫化忌）,父母宫化忌主父母灾（0020 父逝/0024 父伤/0089 母逝）,《紫微斗数全书》父母宫四化：流年父母宫化忌主六亲灾,,1,,,,,,,,,,,
ying_305,健康,精神/心理年（紫微流年福德宫化忌）,福德宫主精神心理，化忌主精神困扰/健康（0005 2020 天同忌入福德）,《紫微斗数全书》福德宫四化：流年福德宫化忌主精神/心理年,,,,1,,,,,,,,,
ying_306,得财,得财年（紫微流年财帛宫化禄）,财帛宫化禄主进财,《紫微斗数全书》财帛宫四化：流年财帛宫化禄主进财,,,,,,1,,,,,,,
ying_307,姻缘,姻缘吉年（紫微流年夫妻宫化禄）,夫妻宫化禄主姻缘吉,《紫微斗数全书》夫妻宫四化：流年夫妻宫化禄主姻缘吉,,,,,,,1,,,,,,
ying_308,事业,升迁掌权年（紫微流年官禄宫化权）,官禄宫化权主升迁,《紫微斗数全书》官禄宫四化：流年官禄宫化权主升迁,,,,,,,,1,,,,,
ying_309,名声,名声学业吉年（紫微流年命宫化科）,命宫化科主名声考试吉,《紫微斗数全书》命宫四化：流年命宫化科主名声考试吉,,,,,,,,,1,,,,
ying_310,事业,事业名声年（紫微流年官禄宫化科）,官禄宫化科主事业名声,《紫微斗数全书》官禄宫四化：流年官禄宫化科主事业名声,,,,,,,,,,1,,,
ying_311,婚姻,婚姻凶年（紫微流年夫妻宫化忌）,夫妻宫化忌主婚姻凶,《紫微斗数全书》夫妻宫四化：流年夫妻宫化忌主婚姻凶,,,,,,,,,,,1,,
ying_312,事业,事业败年（紫微流年官禄宫化忌）,官禄宫化忌主事业败,《紫微斗数全书》官禄宫四化：流年官禄宫化忌主事业败,,,,,,,,,,,,1,
ying_313,自身,自身困顿年（紫微流年命宫化忌）,命宫化忌主自身困顿,《紫微斗数全书》命宫四化：流年命宫化忌主自身困顿,,,,,,,,,,,,,1
