id,事件,gender,结论,依据,经典原文,仆役宫煞,兄弟宫煞,子女宫空,官禄宫主星强,官禄宫化禄,官禄宫煞,父母宫化忌,父母宫煞,疾厄宫主星陷,疾厄宫化忌,财帛宫煞,福德宫紫微,福德宫天机,福德宫太阳,福德宫武曲,福德宫天同,福德宫廉贞,福德宫天府,福德宫太阴,福德宫贪狼,福德宫巨门,福德宫天相,福德宫天梁,福德宫七杀,福德宫破军,命宫化禄,命宫化权,命宫化科,福德宫左辅,福德宫右弼,福德宫文昌,福德宫文曲,福德宫天魁,福德宫天钺,福德宫禄存,福德宫天马
zw_101,健康,,疾厄宫化忌+陷：健康大凶（心脏/血光/慢性疾）,疾厄宫主星化忌且落陷 → 该脏腑疾病（0116 廉贞忌+破军陷→心脏）,《紫微斗数全书》疾厄宫四化：疾厄宫化忌而星陷主健康大凶,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_102,健康,,疾厄宫化忌：健康隐忧（对应主星脏腑）,疾厄宫化忌 → 健康受损（紫微斗数疾厄宫论）,《紫微斗数全书》疾厄宫四化：疾厄宫化忌主健康隐忧,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_103,财运,,财帛宫煞：财难守，先聚后散,财帛宫陀罗/地劫/擎羊 → 财来财去（紫微斗数财帛宫论）,《紫微斗数全书》财帛宫论：财帛宫煞主财难守先聚后散,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
zw_104,子女,,子女宫空：子女缘薄/迟得,子女宫无主星 → 子息缘分薄（紫微斗数子女宫论）,《紫微斗数全书》子女宫论：子女宫空主子女缘薄/迟得,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_201,事业,,官禄宫化禄 → 事业顺遂、名位有成,官禄宫化禄主事业得志（《紫微斗数全书》官禄宫四化论）,《紫微斗数全书》官禄宫四化论）,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_202,事业,,官禄宫煞 → 事业多波折，劳碌多变,官禄宫煞主事业阻（《紫微斗数全书》官禄宫论）,《紫微斗数全书》官禄宫论）,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_203,事业,,官禄宫强主星（紫微/太阳/武曲/天府）→ 事业有成、宜掌事,官禄宫强主星主事业显达（《紫微斗数全书》官禄宫论）,《紫微斗数全书》官禄宫论）,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_301,六亲,,父母宫煞 → 父母缘薄或父亲刑克,父母宫煞主父母不利（《紫微斗数全书》父母宫论）,《紫微斗数全书》父母宫论）,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_302,六亲,,父母宫化忌 → 为父母操心，父母健康/缘薄,父母宫化忌主父母忧（《紫微斗数全书》父母宫四化论）,《紫微斗数全书》父母宫四化论）,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_401,六亲,,兄弟宫煞 → 兄弟缘薄/不睦/助力少,兄弟宫煞主兄弟不利（《紫微斗数全书》兄弟宫论）,《紫微斗数全书》兄弟宫论）,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_501,人际,,仆役宫煞 → 朋友/下属助力少，防小人,仆役宫煞主交友不利（《紫微斗数全书》仆役宫论）,《紫微斗数全书》仆役宫论）,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw_601,寿元,,疾厄宫化忌 → 健康隐患重（对应主星脏腑），需关注大限/流年引动（寿关信号）,疾厄宫化忌主疾厄（《紫微斗数全书》）；寿元为大限流年引动——归 agent 考时，不作硬断,《紫微斗数全书》）,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
fd_301,精神,,精神尊贵，福气深厚,紫微尊贵，坐福德宫主福气深厚,《紫微斗数全书》福德宫论,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
fd_302,精神,,精神多思虑，劳心,天机多思，坐福德宫主劳心,《紫微斗数全书》福德宫论,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
fd_303,精神,,精神光明，乐观,太阳光明，坐福德宫主乐观,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
fd_304,精神,,精神刚强，劳碌,武曲刚强，坐福德宫主劳碌,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
fd_305,精神,,精神安逸，福气好,天同福星，坐福德宫主福气好,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
fd_306,精神,,精神多烦恼，防是非,廉贞是非，坐福德宫主烦恼,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
fd_307,精神,,精神稳重，福气厚,天府稳重，坐福德宫主福气厚,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
fd_308,精神,,精神内敛，宁静,太阴内敛，坐福德宫主宁静,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
fd_309,精神,,精神多欲，防耗神,贪狼多欲，坐福德宫主防耗神,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
fd_310,精神,,精神多虑，防郁,巨门多虑，坐福德宫主防郁,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
fd_311,精神,,精神平和，福气好,天相平和，坐福德宫主福气好,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
fd_312,精神,,精神有荫庇，逢凶化吉,天梁荫星，坐福德宫主逢凶化吉,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
fd_313,精神,,精神刚烈，劳碌,七杀刚烈，坐福德宫主劳碌,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
fd_314,精神,,精神多变，劳心,破军变动，坐福德宫主劳心,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
zw_610,财运,,化禄入命宫——福气财禄、一生顺遂,命宫化禄主福气财禄,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
zw_611,事业,,化权入命宫——自主权柄、掌权,命宫化权主自主掌权,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
zw_612,名声,,化科入命宫——名声才学、清贵,命宫化科主名声才学,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
fd_315,精神,,精神有辅佐、得人助,左辅为贵人星坐福德宫，主福德有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
fd_316,精神,,精神有辅佐、得人助,右弼为贵人星坐福德宫，主福德有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
fd_317,精神,,精神有才学、文雅,文昌主才学坐福德宫，主福德有才学、文雅,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
fd_318,精神,,精神有才艺、聪慧,文曲主才艺坐福德宫，主福德有才艺、聪慧,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
fd_319,精神,,精神遇贵、逢凶化吉,天魁为天乙贵人坐福德宫，主福德遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
fd_320,精神,,精神遇贵、逢凶化吉,天钺为天乙贵人坐福德宫，主福德遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
fd_321,精神,,精神有财、衣食丰足,禄存主财禄坐福德宫，主福德有财、衣食丰足,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
fd_322,精神,,精神好动、奔波,天马主动坐福德宫，主福德好动、奔波,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
