id,事件,结论,依据,经典原文,仆役宫紫微,仆役宫天机,仆役宫太阳,仆役宫武曲,仆役宫天同,仆役宫廉贞,仆役宫天府,仆役宫太阴,仆役宫贪狼,仆役宫巨门,仆役宫天相,仆役宫天梁,仆役宫七杀,仆役宫破军,仆役宫煞
py_301,人际,交友遇贵，朋友有助,紫微帝星，坐仆役宫主交友遇贵,《紫微斗数全书》仆役宫论,1,,,,,,,,,,,,,,
py_302,人际,朋友聚散多，变动,天机多变，坐仆役宫主朋友聚散,《紫微斗数全书》仆役宫论,,1,,,,,,,,,,,,,
py_303,人际,朋友开朗，朋友有助,太阳光明，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,1,,,,,,,,,,,,
py_304,人际,朋友刚强，朋友缘薄,武曲刚强，坐仆役宫主朋友缘薄,《紫微斗数全书》仆役宫论,,,,1,,,,,,,,,,,
py_305,人际,朋友和睦，朋友有助,天同温和，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,,,1,,,,,,,,,,
py_306,人际,朋友多是非，防损友,廉贞桃花是非，坐仆役宫主防损友,《紫微斗数全书》仆役宫论,,,,,,1,,,,,,,,,
py_307,人际,朋友稳重，朋友有靠,天府稳重，坐仆役宫主朋友有靠,《紫微斗数全书》仆役宫论,,,,,,,1,,,,,,,,
py_308,人际,朋友温和，朋友缘好,太阴温柔，坐仆役宫主朋友缘好,《紫微斗数全书》仆役宫论,,,,,,,,1,,,,,,,
py_309,人际,朋友多才，交际广,贪狼交际多才，坐仆役宫主交际广,《紫微斗数全书》仆役宫论,,,,,,,,,1,,,,,,
py_310,人际,朋友多口舌，防是非,巨门口舌，坐仆役宫主防是非,《紫微斗数全书》仆役宫论,,,,,,,,,,1,,,,,
py_311,人际,朋友端正，朋友有助,天相端正，坐仆役宫主朋友有助,《紫微斗数全书》仆役宫论,,,,,,,,,,,1,,,,
py_312,人际,朋友有担当，朋友有靠,天梁荫星，坐仆役宫主朋友有靠,《紫微斗数全书》仆役宫论,,,,,,,,,,,,1,,,
py_313,人际,朋友刚烈，朋友缘薄,七杀肃杀，坐仆役宫主朋友缘薄,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,1,,
py_314,人际,朋友多变，朋友缘薄,破军变动，坐仆役宫主朋友缘薄,《紫微斗数全书》仆役宫论,,,,,,,,,,,,,,1,
zw_501,人际,仆役宫煞 → 朋友/下属助力少，防小人,仆役宫煞主交友不利（《紫微斗数全书》仆役宫论）,《紫微斗数全书》仆役宫论）,,,,,,,,,,,,,,,1
