id,事件,结论,依据,经典原文,兄弟宫紫微,兄弟宫天机,兄弟宫太阳,兄弟宫武曲,兄弟宫天同,兄弟宫廉贞,兄弟宫天府,兄弟宫太阴,兄弟宫贪狼,兄弟宫巨门,兄弟宫天相,兄弟宫天梁,兄弟宫七杀,兄弟宫破军,兄弟宫煞
xd_301,兄弟,兄弟中有贵者，但紫微孤高，兄弟缘淡,紫微帝星孤高，坐兄弟宫主兄弟贵而缘淡,《紫微斗数全书》兄弟宫论,1,,,,,,,,,,,,,,
xd_302,兄弟,兄弟聚少离多，多变动,天机多变，坐兄弟宫主兄弟聚散,《紫微斗数全书》兄弟宫论,,1,,,,,,,,,,,,,
xd_303,兄弟,兄弟开朗，手足缘好,太阳光明，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,1,,,,,,,,,,,,
xd_304,兄弟,兄弟刚强，手足缘薄,武曲刚强孤克，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,1,,,,,,,,,,,
xd_305,兄弟,兄弟和睦，手足缘好,天同福星温和，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,,,1,,,,,,,,,,
xd_306,兄弟,兄弟缘复杂，多是非,廉贞桃花，坐兄弟宫主兄弟缘复杂,《紫微斗数全书》兄弟宫论,,,,,,1,,,,,,,,,
xd_307,兄弟,兄弟稳重，手足有靠,天府库星稳重，坐兄弟宫主手足有靠,《紫微斗数全书》兄弟宫论,,,,,,,1,,,,,,,,
xd_308,兄弟,兄弟温和，手足缘好,太阴温柔，坐兄弟宫主手足缘好,《紫微斗数全书》兄弟宫论,,,,,,,,1,,,,,,,
xd_309,兄弟,兄弟多才，手足缘复杂,贪狼多才桃花，坐兄弟宫主手足缘复杂,《紫微斗数全书》兄弟宫论,,,,,,,,,1,,,,,,
xd_310,兄弟,兄弟多口舌，手足缘薄,巨门口舌，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,1,,,,,
xd_311,兄弟,兄弟端正，手足和睦,天相端正，坐兄弟宫主手足和睦,《紫微斗数全书》兄弟宫论,,,,,,,,,,,1,,,,
xd_312,兄弟,兄弟有担当，手足有靠,天梁荫星，坐兄弟宫主手足有靠,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,1,,,
xd_313,兄弟,兄弟刚烈，手足缘薄,七杀肃杀，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,,1,,
xd_314,兄弟,兄弟多变，手足缘薄,破军变动，坐兄弟宫主手足缘薄,《紫微斗数全书》兄弟宫论,,,,,,,,,,,,,,1,
zw_401,六亲,兄弟宫煞 → 兄弟缘薄/不睦/助力少,兄弟宫煞主兄弟不利（《紫微斗数全书》兄弟宫论）,《紫微斗数全书》兄弟宫论）,,,,,,,,,,,,,,,1
