id,事件,结论,依据,经典原文,命宫紫微,命宫七杀,命宫天机,命宫太阳,命宫武曲,命宫天同,命宫廉贞,命宫天府,命宫太阴,命宫贪狼,命宫巨门,命宫天相,命宫天梁,命宫破军,命宫左辅,命宫右弼,命宫文昌,命宫文曲,命宫天魁,命宫天钺,命宫禄存,命宫天马,命宫文昌庙旺,命宫文昌陷,命宫文曲庙旺,命宫文曲陷,命宫化权,命宫化科,命宫化忌,命宫化禄
xf_301,性格,左辅坐命宫——得人助、有辅佐之力,左辅为左辅弼之吉星，坐命主得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
xf_302,性格,右弼坐命宫——得人助、有辅佐之力,右弼为左右贵人，坐命主得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
xf_303,性格,文昌坐命宫——才学聪明、文采,文昌主才学文采，坐命主聪明,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
xf_304,性格,文曲坐命宫——才艺聪明、多才,文曲主才艺，坐命主多才,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
xf_305,性格,天魁坐命宫——遇贵、逢凶化吉,天魁为天乙贵人，坐命主遇贵,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
xf_306,性格,天钺坐命宫——遇贵、逢凶化吉,天钺为天乙贵人，坐命主遇贵,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
xf_307,性格,禄存坐命宫——财禄、衣食丰足,禄存主财禄，坐命主衣食丰足,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
xf_308,性格,天马坐命宫——好动、奔波,天马主动，坐命主好动奔波,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
xf_330,性格,文昌庙旺坐命宫——文才显达、读书有成,文昌庙旺主文才显达（《紫微斗数全书》辅星亮度论）,《紫微斗数全书》辅星亮度论,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
xf_331,性格,文昌陷坐命宫——文书失误、才学受阻,文昌陷主文书失误（《紫微斗数全书》辅星亮度论）,《紫微斗数全书》辅星亮度论,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
xf_332,性格,文曲庙旺坐命宫——才艺显达、聪慧,文曲庙旺主才艺显达（《紫微斗数全书》辅星亮度论）,《紫微斗数全书》辅星亮度论,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
xf_333,性格,文曲陷坐命宫——才艺受阻、文书误,文曲陷主才艺受阻（《紫微斗数全书》辅星亮度论）,《紫微斗数全书》辅星亮度论,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
xg_七杀命,性格,命宫七杀：刚烈果断、行动力强、喜变动、宜武职——开创纪律之事业基调（杀破狼动格；命宫定基调不着职）,紫微斗数主星性格论（《紫微斗数全书》）；合并原 zs_324,《紫微斗数全书》）,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_天同命,性格,命宫天同：温和知足、乐天享福、好安逸、少进取,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
xg_天府命,性格,命宫天府：沉稳保守、善守成、宽厚稳重、有包容,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
xg_天机命,性格,命宫天机：聪明善谋、机变灵活、心思细腻、多思多变,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
