id,事件,结论,依据,经典原文,子女宫吉星,子女宫煞,子女宫空,子女宫化忌,子女宫紫微,子女宫天机,子女宫太阳,子女宫武曲,子女宫天同,子女宫廉贞,子女宫天府,子女宫太阴,子女宫贪狼,子女宫巨门,子女宫天相,子女宫天梁,子女宫七杀,子女宫破军
zn_301,子女,子女有出息，子女缘好,紫微尊贵，坐子女宫主子女有出息,《紫微斗数全书》子女宫论,,,,,1,,,,,,,,,,,,,
zn_302,子女,子女聪明，子女缘多变,天机聪明多变，坐子女宫主子女缘多变,《紫微斗数全书》子女宫论,,,,,,1,,,,,,,,,,,,
zn_303,子女,子女开朗，子女有出息,太阳光明，坐子女宫主子女有出息,《紫微斗数全书》子女宫论,,,,,,,1,,,,,,,,,,,
zn_304,子女,子女刚强，子女缘薄,武曲刚强，坐子女宫主子女缘薄,《紫微斗数全书》子女宫论,,,,,,,,1,,,,,,,,,,
zn_305,子女,子女温和，子女缘好,天同温和，坐子女宫主子女缘好,《紫微斗数全书》子女宫论,,,,,,,,,1,,,,,,,,,
zn_306,子女,子女貌美，子女缘复杂,廉贞貌美，坐子女宫主子女缘复杂,《紫微斗数全书》子女宫论,,,,,,,,,,1,,,,,,,,
zn_307,子女,子女稳重，子女有靠,天府稳重，坐子女宫主子女有靠,《紫微斗数全书》子女宫论,,,,,,,,,,,1,,,,,,,
zn_308,子女,子女温柔，子女缘好,太阴温柔，坐子女宫主子女缘好,《紫微斗数全书》子女宫论,,,,,,,,,,,,1,,,,,,
zn_309,子女,子女多才，子女缘复杂,贪狼多才，坐子女宫主子女缘复杂,《紫微斗数全书》子女宫论,,,,,,,,,,,,,1,,,,,
zn_310,子女,子女口才好，子女缘薄,巨门口舌，坐子女宫主子女缘薄,《紫微斗数全书》子女宫论,,,,,,,,,,,,,,1,,,,
zn_311,子女,子女端正，子女缘好,天相端正，坐子女宫主子女缘好,《紫微斗数全书》子女宫论,,,,,,,,,,,,,,,1,,,
zn_312,子女,子女有担当，子女有靠,天梁荫星，坐子女宫主子女有靠,《紫微斗数全书》子女宫论,,,,,,,,,,,,,,,,1,,
zn_313,子女,子女刚烈，子女缘薄,七杀肃杀，坐子女宫主子女缘薄,《紫微斗数全书》子女宫论,,,,,,,,,,,,,,,,,1,
zn_314,子女,子女多变，子女缘薄,破军变动，坐子女宫主子女缘薄,《紫微斗数全书》子女宫论,,,,,,,,,,,,,,,,,,1
zv_101,子女,子女宫煞（无吉星）→ 子女刑克，子息损（少子/流产/养子）,子女宫煞主损子（《紫微斗数全书》子女宫论；0084 太阴擎羊仅一子）,《紫微斗数全书》子女宫论,0,1,,,,,,,,,,,,,,,,
zv_102,子女,子女宫吉星（无煞）→ 子女多/有出息/子女得力,子女宫吉星主子女成器（《紫微斗数全书》子女宫论；0144 武曲天府禄存育3子）；吉煞并存者子女有但损（0084 太阴擎羊仅一子）,《紫微斗数全书》子女宫论,1,0,,,,,,,,,,,,,,,,
zv_104,子女,子女宫无主星（无吉星）→ 子女缘薄/迟得,子女宫空主缘薄（《紫微斗数全书》子女宫论）,《紫微斗数全书》子女宫论）,0,,1,,,,,,,,,,,,,,,
zv_105,子女,子女宫化忌 → 子女缘薄/为子女操心劳神,子女宫化忌主刑克操心（《紫微斗数全书》子女宫四化论）,《紫微斗数全书》子女宫四化论）,,,,1,,,,,,,,,,,,,,
zv_107,子女,子女宫吉煞并存 → 子女有但遭刑克损（子少/流产/养子）,吉星主有子、煞星主损子——吉煞并存则子女可得而多波折（《紫微斗数全书》子女宫论；0084 太阴擎羊仅一子、0144 育3子流产2）,《紫微斗数全书》子女宫论,1,1,,,,,,,,,,,,,,,,
zw_104,子女,子女宫空：子女缘薄/迟得,子女宫无主星 → 子息缘分薄（紫微斗数子女宫论）,《紫微斗数全书》子女宫论：子女宫空主子女缘薄/迟得,,,1,,,,,,,,,,,,,,,
