id,事件,结论,依据,经典原文,府相朝垣,机月同梁,辅弼拱主,金灿光辉,日月反背,禄马交驰,紫微朝垣,财荫夹印,巨火羊,刑忌夹印,杀破狼,日月并明,月朗天门,火贪格,铃贪格,阳梁昌禄,魁钺夹命,左右夹命,双禄朝垣,擎羊入庙,文星拱命,日丽中天,巨日同宫,巨机同宫,廉杀同宫,雄宿乾元
zg_301,格局,天府天相朝拱命宫三方——富贵稳健（财帛稳重、有权有财）,天府天相为财库印星朝拱，主富贵稳健,《紫微斗数全书》格局篇,1,,,,,,,,,,,,,,,,,,,,,,,,,
zg_302,格局,天机太阴天同天梁汇聚命宫三方——公职文职（吏人格局）,机月同梁为公门格局，主文职吏人,《紫微斗数全书》格局篇,,1,,,,,,,,,,,,,,,,,,,,,,,,
zg_303,格局,左辅右弼拱命宫——贵人辅佐、得人助,辅弼为左右贵人拱主，主得人助,《紫微斗数全书》格局篇,,,1,,,,,,,,,,,,,,,,,,,,,,,
zg_304,格局,太阳独坐午宫庙旺（金灿光辉）——光明磊落，贵人相助,太阳午宫庙旺为金灿光辉格，主光明磊落有贵人（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,1,,,,,,,,,,,,,,,,,,,,,,
zg_305,格局,太阳太阴双双落陷（日月失辉）——劳碌奔波，努力而难显达,日月反背失辉主劳碌,《紫微斗数全书》格局篇,,,,,1,,,,,,,,,,,,,,,,,,,,,
zg_306,格局,禄马交驰（禄存+天马同宫或对照）——财动，富贵奔波,禄马交驰主财动奔波（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,,,1,,,,,,,,,,,,,,,,,,,,
zg_307,格局,紫微坐命宫朝垣——帝星得位，尊贵,紫微朝垣主尊贵（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,,,,1,,,,,,,,,,,,,,,,,,,
zg_308,格局,财星荫星夹印（天府天梁夹印）——财帛有荫庇,财荫夹印主财帛有荫（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,,,,,1,,,,,,,,,,,,,,,,,,
zg_309,格局,巨门火星擎羊同宫——是非官非，刑伤难免,巨火羊凶格主是非官非（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,,,,,,1,,,,,,,,,,,,,,,,,
zg_310,格局,天相被化忌天刑夹制——受制受拖累，行事多阻,刑忌夹印凶格主受制拖累（《紫微斗数全书》格局篇）,《紫微斗数全书》格局篇,,,,,,,,,,1,,,,,,,,,,,,,,,,
zg_311,格局,七杀破军贪狼会聚命宫三方——变动大开大合，人生起伏剧烈,杀破狼格局主变动开创，一生多起伏大成,《紫微斗数全书》格局篇,,,,,,,,,,,1,,,,,,,,,,,,,,,
zg_312,格局,太阳太阴双双庙旺——阴阳调和，光明磊落，名利双收,日月并明主光明显达,《紫微斗数全书》格局篇,,,,,,,,,,,,1,,,,,,,,,,,,,,
zg_313,格局,太阴居亥庙旺——清贵文采，性格温文,月朗天门主清贵,《紫微斗数全书》格局篇,,,,,,,,,,,,,1,,,,,,,,,,,,,
zg_314,格局,火星贪狼同宫——横发之格，暴发有成,火贪格主横发暴发,《紫微斗数全书》格局篇,,,,,,,,,,,,,,1,,,,,,,,,,,,
zg_315,格局,铃星贪狼同宫——暗发之格，不显山露水而发,铃贪格主暗发,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,1,,,,,,,,,,,
zg_316,格局,太阳天梁文昌禄存会照——功名显达，考试科举有成,阳梁昌禄主功名考试,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,1,,,,,,,,,,
zg_317,格局,天魁天钺夹命宫——贵人扶持，逢凶化吉,魁钺夹命主贵人助,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,1,,,,,,,,,
zg_318,格局,左辅右弼夹命宫——助力环绕，得人多助,左右夹命主助力,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,1,,,,,,,,
zg_319,格局,两颗化禄在命宫三方——财禄丰厚，财运亨通,双禄朝垣主财禄,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,1,,,,,,,
zg_320,格局,擎羊入庙于辰戌丑未——刚毅有威，权柄在握,擎羊入庙主威权,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,1,,,,,,
zg_321,格局,文昌文曲三方会照——才华出众，文采风流,文星拱命主才华,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,1,,,,,
zg_322,格局,太阳居午宫——光明磊落，如日中天,日丽中天主光明,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,,1,,,,
zg_323,格局,巨门太阳同宫——照破暗昧，口才出众,巨日同宫主口才,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,,,1,,,
zg_324,格局,巨门天机同宫——心思缜密，思虑周详,巨机同宫主心思,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,,,,1,,
zg_325,格局,廉贞七杀同宫——将星得地，刚毅果敢,廉杀同宫主将星,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,,,,,1,
zg_326,格局,破军入庙——英雄独断，开创能力强,雄宿乾元主开创,《紫微斗数全书》格局篇,,,,,,,,,,,,,,,,,,,,,,,,,,1
