id,事件,结论,依据,经典原文,父母宫紫微,父母宫天机,父母宫太阳,父母宫武曲,父母宫天同,父母宫廉贞,父母宫天府,父母宫太阴,父母宫贪狼,父母宫巨门,父母宫天相,父母宫天梁,父母宫七杀,父母宫破军,父母宫左辅,父母宫右弼,父母宫文昌,父母宫文曲,父母宫天魁,父母宫天钺,父母宫禄存,父母宫天马,父母宫煞,父母宫化忌
fm_301,父母关系,父母尊贵，父母缘好,紫微帝星尊贵，坐父母宫主父母贵,《紫微斗数全书》父母宫论,1,,,,,,,,,,,,,,,,,,,,,,,
fm_302,父母关系,父母聚少离多，多变动,天机多变，坐父母宫主父母聚散,《紫微斗数全书》父母宫论,,1,,,,,,,,,,,,,,,,,,,,,,
fm_303,父母关系,父母开朗，父亲缘好,太阳光明，坐父母宫主父缘好,《紫微斗数全书》父母宫论,,,1,,,,,,,,,,,,,,,,,,,,,
fm_304,父母关系,父母刚强，父母缘薄,武曲刚强，坐父母宫主父母缘薄,《紫微斗数全书》父母宫论,,,,1,,,,,,,,,,,,,,,,,,,,
fm_305,父母关系,父母温和，父母缘好,天同温和，坐父母宫主父母缘好,《紫微斗数全书》父母宫论,,,,,1,,,,,,,,,,,,,,,,,,,
fm_306,父母关系,父母多是非，父母缘复杂,廉贞是非，坐父母宫主父母缘复杂,《紫微斗数全书》父母宫论,,,,,,1,,,,,,,,,,,,,,,,,,
fm_307,父母关系,父母稳重，父母有靠,天府稳重，坐父母宫主父母有靠,《紫微斗数全书》父母宫论,,,,,,,1,,,,,,,,,,,,,,,,,
fm_308,父母关系,父母温柔，母亲缘好,太阴温柔，坐父母宫主母缘好,《紫微斗数全书》父母宫论,,,,,,,,1,,,,,,,,,,,,,,,,
fm_309,父母关系,父母多才，父母缘复杂,贪狼多才，坐父母宫主父母缘复杂,《紫微斗数全书》父母宫论,,,,,,,,,1,,,,,,,,,,,,,,,
fm_310,父母关系,父母多口舌，父母缘薄,巨门口舌，坐父母宫主父母缘薄,《紫微斗数全书》父母宫论,,,,,,,,,,1,,,,,,,,,,,,,,
fm_311,父母关系,父母端正，父母缘好,天相端正，坐父母宫主父母缘好,《紫微斗数全书》父母宫论,,,,,,,,,,,1,,,,,,,,,,,,,
fm_312,父母关系,父母有荫庇，父母有靠,天梁荫星，坐父母宫主父母有靠,《紫微斗数全书》父母宫论,,,,,,,,,,,,1,,,,,,,,,,,,
fm_313,父母关系,父母刚烈，父母缘薄,七杀肃杀，坐父母宫主父母缘薄,《紫微斗数全书》父母宫论,,,,,,,,,,,,,1,,,,,,,,,,,
fm_314,父母关系,父母多变，父母缘薄,破军变动，坐父母宫主父母缘薄,《紫微斗数全书》父母宫论,,,,,,,,,,,,,,1,,,,,,,,,,
fm_315,父母关系,父母有辅佐、得人助（左辅主助力）,左辅为贵人星坐父母宫，主父母有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,1,,,,,,,,,
fm_316,父母关系,父母有辅佐、得人助（右弼主辅弼）,右弼为贵人星坐父母宫，主父母有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,1,,,,,,,,
fm_317,父母关系,父母有才学、文雅,文昌主才学坐父母宫，主父母有才学、文雅,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,1,,,,,,,
fm_318,父母关系,父母有才艺、聪慧,文曲主才艺坐父母宫，主父母有才艺、聪慧,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,1,,,,,,
fm_319,父母关系,父母遇贵、逢凶化吉（天魁阳贵显助）,天魁为天乙贵人坐父母宫，主父母遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,1,,,,,
fm_320,父母关系,父母遇贵、逢凶化吉（天钺阴贵暗扶）,天钺为天乙贵人坐父母宫，主父母遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,1,,,,
fm_321,父母关系,父母有财、衣食丰足,禄存主财禄坐父母宫，主父母有财、衣食丰足,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,1,,,
fm_322,父母关系,父母好动、奔波,天马主动坐父母宫，主父母好动、奔波,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,1,,
zw_301,六亲,父母宫煞 → 父母缘薄或父亲刑克,父母宫煞主父母不利（《紫微斗数全书》父母宫论）,《紫微斗数全书》父母宫论）,,,,,,,,,,,,,,,,,,,,,,,1,
zw_302,六亲,父母宫化忌 → 为父母操心，父母健康/缘薄,父母宫化忌主父母忧（《紫微斗数全书》父母宫四化论）,《紫微斗数全书》父母宫四化论）,,,,,,,,,,,,,,,,,,,,,,,,1
