id,事件,结论,依据,经典原文,福德宫紫微,福德宫天机,福德宫太阳,福德宫武曲,福德宫天同,福德宫廉贞,福德宫天府,福德宫太阴,福德宫贪狼,福德宫巨门,福德宫天相,福德宫天梁,福德宫七杀,福德宫破军,福德宫左辅,福德宫右弼,福德宫文昌,福德宫文曲,福德宫天魁,福德宫天钺,福德宫禄存,福德宫天马
fd_301,精神,精神尊贵，福气深厚,紫微尊贵，坐福德宫主福气深厚,《紫微斗数全书》福德宫论,1,,,,,,,,,,,,,,,,,,,,,
fd_302,精神,精神多思虑，劳心,天机多思，坐福德宫主劳心,《紫微斗数全书》福德宫论,,1,,,,,,,,,,,,,,,,,,,,
fd_303,精神,精神光明，乐观,太阳光明，坐福德宫主乐观,《紫微斗数全书》福德宫论,,,1,,,,,,,,,,,,,,,,,,,
fd_304,精神,精神刚强，劳碌,武曲刚强，坐福德宫主劳碌,《紫微斗数全书》福德宫论,,,,1,,,,,,,,,,,,,,,,,,
fd_305,精神,精神安逸，福气好,天同福星，坐福德宫主福气好,《紫微斗数全书》福德宫论,,,,,1,,,,,,,,,,,,,,,,,
fd_306,精神,精神多烦恼，防是非,廉贞是非，坐福德宫主烦恼,《紫微斗数全书》福德宫论,,,,,,1,,,,,,,,,,,,,,,,
fd_307,精神,精神稳重，福气厚,天府稳重，坐福德宫主福气厚,《紫微斗数全书》福德宫论,,,,,,,1,,,,,,,,,,,,,,,
fd_308,精神,精神内敛，宁静,太阴内敛，坐福德宫主宁静,《紫微斗数全书》福德宫论,,,,,,,,1,,,,,,,,,,,,,,
fd_309,精神,精神多欲，防耗神,贪狼多欲，坐福德宫主防耗神,《紫微斗数全书》福德宫论,,,,,,,,,1,,,,,,,,,,,,,
fd_310,精神,精神多虑，防郁,巨门多虑，坐福德宫主防郁,《紫微斗数全书》福德宫论,,,,,,,,,,1,,,,,,,,,,,,
fd_311,精神,精神平和，福气好,天相平和，坐福德宫主福气好,《紫微斗数全书》福德宫论,,,,,,,,,,,1,,,,,,,,,,,
fd_312,精神,精神有荫庇，逢凶化吉,天梁荫星，坐福德宫主逢凶化吉,《紫微斗数全书》福德宫论,,,,,,,,,,,,1,,,,,,,,,,
fd_313,精神,精神刚烈，劳碌,七杀刚烈，坐福德宫主劳碌,《紫微斗数全书》福德宫论,,,,,,,,,,,,,1,,,,,,,,,
fd_314,精神,精神多变，劳心,破军变动，坐福德宫主劳心,《紫微斗数全书》福德宫论,,,,,,,,,,,,,,1,,,,,,,,
fd_315,精神,精神有辅佐、得人助（左辅主助力）,左辅为贵人星坐福德宫，主福德有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,1,,,,,,,
fd_316,精神,精神有辅佐、得人助（右弼主辅弼）,右弼为贵人星坐福德宫，主福德有辅佐、得人助,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,1,,,,,,
fd_317,精神,精神有才学、文雅,文昌主才学坐福德宫，主福德有才学、文雅,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,1,,,,,
fd_318,精神,精神有才艺、聪慧,文曲主才艺坐福德宫，主福德有才艺、聪慧,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,1,,,,
fd_319,精神,精神遇贵、逢凶化吉（天魁阳贵显助）,天魁为天乙贵人坐福德宫，主福德遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,1,,,
fd_320,精神,精神遇贵、逢凶化吉（天钺阴贵暗扶）,天钺为天乙贵人坐福德宫，主福德遇贵、逢凶化吉,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,1,,
fd_321,精神,精神有财、衣食丰足,禄存主财禄坐福德宫，主福德有财、衣食丰足,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,1,
fd_322,精神,精神好动、奔波,天马主动坐福德宫，主福德好动、奔波,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,,,,,,,,1
