id,事件,结论,依据,经典原文,财帛宫紫微,财帛宫天机,财帛宫太阳,财帛宫武曲,财帛宫天同,财帛宫廉贞,财帛宫天府,财帛宫太阴,财帛宫贪狼,财帛宫巨门,财帛宫天相,财帛宫天梁,财帛宫七杀,财帛宫破军,财帛宫禄存,财帛宫化禄,财帛宫化忌,财帛宫煞
zc_301,财运,帝星坐财帛（紫微为贵）——财贵，善理财,紫微帝星坐财帛宫主财贵,《紫微斗数全书》财帛宫论,1,,,,,,,,,,,,,,,,,
zc_302,财运,天机坐财帛——智谋生财，财来财去,天机坐财帛宫主智谋生财,《紫微斗数全书》财帛宫论,,1,,,,,,,,,,,,,,,,
zc_303,财运,太阳坐财帛——散财好面子，财难聚,太阳坐财帛宫主散财,《紫微斗数全书》财帛宫论,,,1,,,,,,,,,,,,,,,
zc_304,财运,财星坐财帛（武曲为财星）——财运旺，理财得力,武曲为财星，坐财帛宫主财旺,《紫微斗数全书》财帛宫论,,,,1,,,,,,,,,,,,,,
zc_305,财运,天同坐财帛——安逸平稳，财不求多,天同坐财帛宫主财平稳,《紫微斗数全书》财帛宫论,,,,,1,,,,,,,,,,,,,
zc_306,财运,廉贞坐财帛——有财但多是非,廉贞坐财帛宫主财多是非,《紫微斗数全书》财帛宫论,,,,,,1,,,,,,,,,,,,
zc_307,财运,库星坐财帛（天府为库星）——财厚善蓄,天府为库星，坐财帛宫主财厚,《紫微斗数全书》财帛宫论,,,,,,,1,,,,,,,,,,,
zc_308,财运,田宅主坐财帛（太阴主财宅）——财稳有积蓄,太阴主财宅，坐财帛宫主财稳,《紫微斗数全书》财帛宫论,,,,,,,,1,,,,,,,,,,
zc_309,财运,贪狼坐财帛——主横财，财来财去多花费,贪狼坐财帛宫主横财多花,《紫微斗数全书》财帛宫论,,,,,,,,,1,,,,,,,,,
zc_310,财运,巨门坐财帛——口舌生财，多是非,巨门坐财帛宫主口舌生财,《紫微斗数全书》财帛宫论,,,,,,,,,,1,,,,,,,,
zc_311,财运,天相坐财帛——辅佐顺遂，财稳,天相坐财帛宫主财顺遂,《紫微斗数全书》财帛宫论,,,,,,,,,,,1,,,,,,,
zc_312,财运,天梁坐财帛——荫庇有靠，财有根基,天梁坐财帛宫主财有靠,《紫微斗数全书》财帛宫论,,,,,,,,,,,,1,,,,,,
zc_313,财运,七杀坐财帛——财来财去，波动大,七杀坐财帛宫主财波动,《紫微斗数全书》财帛宫论,,,,,,,,,,,,,1,,,,,
zc_314,财运,破军坐财帛——主破财，财难聚,破军坐财帛宫主破财,《紫微斗数全书》财帛宫论,,,,,,,,,,,,,,1,,,,
zc_320,财运,禄存坐财帛宫——财丰、财帛有积,禄存为财星坐财帛，主财丰,《紫微斗数全书》辅星论,,,,,,,,,,,,,,,1,,,
zc_321,财运,化禄入财帛宫——财丰、进财,财帛宫化禄主进财,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,1,,
zc_322,财运,财帛宫化忌 → 破财、进财波折、财来财去（财帛宫四化之忌）,财帛宫化忌主破财（《紫微斗数全书》财帛宫四化）；gong12 化忌所在宫为人生课题，财帛忌须防透支,《紫微斗数全书》财帛宫四化,,,,,,,,,,,,,,,,,1,
zw_103,财运,财帛宫煞：财难守，先聚后散,财帛宫陀罗/地劫/擎羊 → 财来财去（紫微斗数财帛宫论）,《紫微斗数全书》财帛宫论：财帛宫煞主财难守先聚后散,,,,,,,,,,,,,,,,,,1
