id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
aca_101,academic,考试,,旺,0,0,1,0,0,0,考试可期,父母旺相+动爻生用→学业有成,《增删卜易》,,,
aca_102,academic,考试,,旺,0,0,0,1,0,0,考试受阻,父母旺相但忌神动克→学业有阻碍,《增删卜易》,,,
aca_103,academic,考试,,旺,0,0,0,0,1,0,考试有助力,父母旺相+原神动→有贵人相助,《增删卜易》,,,
aca_104,academic,考试,,旺,0,0,0,0,0,1,考试有阻碍,父母旺相但忌神动→有阻碍,《增删卜易》,,,
aca_105,academic,考试,,休,0,0,1,0,0,0,考试困难,父母休囚+动爻生用→事可成但费力,《增删卜易》,,,
aca_106,academic,考试,,休,0,0,0,1,0,0,考试难成,父母休囚+忌神动克→事难成,《增删卜易》,,,
aca_107,academic,考试,,旺,1,0,0,0,0,0,考试先挫后成,父母旺相+月破→先挫后成,《增删卜易》,,,
aca_108,academic,考试,,旺,0,1,0,0,0,0,考试迟成,父母旺相+旬空→迟成而非不成,《增删卜易》,,,
aca_109,academic,科举,童试,旺,0,0,1,0,0,0,童试可期,官父旺相+动爻生用→童试可期,《增删卜易》,官持世得生合可首选,,
aca_110,academic,科举,童试,旺,0,0,0,1,0,0,童试受阻,官父旺相但忌神动克→童试有阻碍,《增删卜易》,子孙财爻旺动持世=伤官耗文,,
aca_111,academic,科举,乡试,旺,0,0,1,0,0,0,乡试可期,官父旺相+动爻生用→乡试可期,《增删卜易》,乡会试最忌子孙财爻旺动,,
aca_112,academic,科举,乡试,旺,0,0,0,1,0,0,乡试受阻,官父旺相但忌神动克→乡试有阻碍,《增删卜易》,六爻乱动世空世破=空赴科场,,
aca_113,academic,科举,会试,旺,0,0,1,0,0,0,会试可期,官父旺相+动爻生用→会试可期,《增删卜易》,官父双看+世位承受力,,
aca_114,academic,科举,会试,旺,0,0,0,1,0,0,会试受阻,官父旺相但忌神动克→会试有阻碍,《增删卜易》,兄弟发动通常不利夺标,,
