id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
car_101,career,升迁,,旺,0,0,1,0,0,0,升迁可期,官鬼旺相+动爻生用→官来就我,《增删卜易》,,,
car_102,career,升迁,,旺,0,0,0,1,0,0,升迁受阻,官鬼旺相但忌神动克→事可成但多波折,《增删卜易》,,,
car_103,career,升迁,,旺,0,0,0,0,1,0,升迁有助力,官鬼旺相+原神动→有贵人相助,《增删卜易》,,,
car_104,career,升迁,,旺,0,0,0,0,0,1,升迁有阻碍,官鬼旺相但忌神动→有阻碍,《增删卜易》,,,
car_105,career,升迁,,休,0,0,1,0,0,0,升迁困难,官鬼休囚+动爻生用→事可成但费力,《增删卜易》,,,
car_106,career,升迁,,休,0,0,0,1,0,0,升迁难成,官鬼休囚+忌神动克→事难成,《增删卜易》,,,
car_107,career,升迁,,旺,1,0,0,0,0,0,升迁先挫后成,官鬼旺相+月破→先挫后成,《增删卜易》,,,
car_108,career,升迁,,旺,0,1,0,0,0,0,升迁迟成,官鬼旺相+旬空→迟成而非不成,《增删卜易》,,,
car_109,career,升迁候补,,旺,0,0,1,0,0,0,候补可期,官鬼旺相+动爻生用→候补可期,《增删卜易》,,,
car_110,career,升迁候补,,旺,0,0,0,1,0,0,候补受阻,官鬼旺相但忌神动克→候补有阻碍,《增删卜易》,,,
car_111,career,在任吉凶,,旺,0,0,1,0,0,0,在任顺利,官鬼旺相+动爻生用→在任顺利,《增删卜易》,,,
car_112,career,在任吉凶,,旺,0,0,0,1,0,0,在任有阻碍,官鬼旺相但忌神动克→在任有阻碍,《增删卜易》,,,
car_113,career,武试从军,,旺,0,0,1,0,0,0,武试可期,官鬼旺相+动爻生用→武试可期,《增删卜易》,,,
car_114,career,武试从军,,旺,0,0,0,1,0,0,武试受阻,官鬼旺相但忌神动克→武试有阻碍,《增删卜易》,,,
car_115,career,功名品级,,旺,0,0,1,0,0,0,功名可期,官鬼旺相+动爻生用→功名可期,《增删卜易》,,,
car_116,career,功名品级,,旺,0,0,0,1,0,0,功名受阻,官鬼旺相但忌神动克→功名有阻碍,《增删卜易》,,,
