id,用神旺衰,月破,旬空,主要动爻关系,格局,结论,依据,经典原文
gen_001,旺,0,0,生用,,事可成,用神旺相+动爻生用→事可成,《增删卜易》
gen_002,旺,0,0,克用,,事可成但多波折,用神旺相但动爻克用→事可成但多波折,《增删卜易》
gen_003,相,0,0,生用,,事可成,用神得相+动爻生用→事可成,《增删卜易》
gen_004,相,0,0,克用,,事可成但费力,用神得相但动爻克用→事可成但费力,《增删卜易》
gen_005,休,0,0,生用,,事可成但费力,用神休囚+动爻生用→事可成但费力,《增删卜易》
gen_006,休,0,0,克用,,事难成,用神休囚+动爻克用→事难成,《增删卜易》
gen_007,囚,0,0,生用,,事可成但费力,用神受制+动爻生用→事可成但费力,《增删卜易》
gen_008,囚,0,0,克用,,事难成,用神受制+动爻克用→事难成,《增删卜易》
gen_009,死,0,0,生用,,事难成,用神衰败+动爻生用→事难成,《增删卜易》
gen_010,死,0,0,克用,,事难成,用神衰败+动爻克用→事难成,《增删卜易》
gen_011,旺,1,0,生用,,事可成但先挫后成,用神旺相月破假破+动爻生用→先挫后成,《增删卜易》
gen_012,旺,1,0,克用,,事难成,用神月破+动爻克用→事难成,《增删卜易》
gen_013,休,1,0,生用,,事难成,用神休囚真破+动爻生用→事难成,《增删卜易》
gen_014,休,1,0,克用,,事难成,用神休囚真破+动爻克用→事难成,《增删卜易》
gen_015,旺,0,1,生用,,事可成但迟成,用神旺相假空+动爻生用→迟成而非不成,《增删卜易》
gen_016,旺,0,1,克用,,事难成,用神旬空+动爻克用→事难成,《增删卜易》
gen_017,休,0,1,生用,,事不实,用神休囚真空+动爻生用→事不实,《增删卜易》
gen_018,休,0,1,克用,,事不实难成,用神休囚真空+动爻克用→事不实难成,《增删卜易》
gen_019,旺,0,0,生原神,,事可成有助力,用神旺相+动爻生原神→间接生用,《增删卜易》
gen_020,旺,0,0,克原神,,事可成但失助,用神旺相+动爻克原神→用神失助,《增删卜易》
gen_021,旺,0,0,克忌神,,事可成有救,用神旺相+动爻克忌神→忌神被制,《增删卜易》
gen_022,休,0,0,生忌神,,事难成加重,用神休囚+动爻生忌神→忌神增力,《增删卜易》
gen_023,旺,0,0,比和,,事可成顺遂,用神旺相+动爻比和→事顺遂,《增删卜易》
gen_024,休,0,0,比和,,事缓,用神休囚+动爻比和→事缓,《增删卜易》
gen_025,旺,0,0,冲用,,事可成但易散,用神旺相+动爻冲用→冲散之象,《增删卜易》
gen_026,旺,0,0,无动爻,,事可成顺势,用神旺相+无动爻→顺势而发,《增删卜易》
gen_027,休,0,0,无动爻,,事缓勉强,用神休囚+无动爻→事缓/勉强,《增删卜易》
gen_028,死,0,0,无动爻,,事难成,用神衰败+无动爻→事难成,《增删卜易》
gen_029,旺,0,0,生用,六冲,事可成但反复,用神旺相+生用+六冲→事可成但反复,《增删卜易》
gen_030,旺,0,0,生用,六合,事可成易成,用神旺相+生用+六合→事易成,《增删卜易》
gen_031,休,0,0,克用,六冲,事难成反复,用神休囚+克用+六冲→事难成反复,《增删卜易》
gen_032,休,0,0,克用,六合,事难成,用神休囚+克用+六合→事难成,《增删卜易》
