id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
hea_101,health,疾病,,旺,0,0,1,0,0,0,疾病可愈,世爻旺相+动爻生用→疾病可愈,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_102,health,疾病,,旺,0,0,0,1,0,0,疾病有阻碍,世爻旺相但忌神动克→疾病有阻碍,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_103,health,疾病,,旺,0,0,0,0,1,0,疾病有助力,世爻旺相+原神动→有贵人相助,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_104,health,疾病,,旺,0,0,0,0,0,1,疾病有阻碍,世爻旺相但忌神动→有阻碍,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_105,health,疾病,,休,0,0,1,0,0,0,疾病困难,世爻休囚+动爻生用→事可成但费力,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_106,health,疾病,,休,0,0,0,1,0,0,疾病难成,世爻休囚+忌神动克→事难成,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_107,health,疾病,,旺,1,0,0,0,0,0,疾病先挫后成,世爻旺相+月破→先挫后成,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_108,health,疾病,,旺,0,1,0,0,0,0,疾病迟成,世爻旺相+旬空→迟成而非不成,《增删卜易》,近病逢冲愈久病逢冲凶,,,
hea_109,health,疾病,双时态,旺,0,0,1,0,0,0,短期可愈+复发风险,用神当前得救但凶根未除→短期可愈但复发风险,《增删卜易》,当前态势+复发风险+关键转折月,,
hea_110,health,疾病,双时态,旺,0,0,0,1,0,0,短期受阻+复发风险,用神当前受阻但凶根未除→短期受阻且复发风险,《增删卜易》,当前态势+复发风险+关键转折月,,
