id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
rel_101,relationship,婚姻,,旺,0,0,1,0,0,0,婚恋可成,用神旺相+动爻生用→婚恋可成,《增删卜易》,,,
rel_102,relationship,婚姻,,旺,0,0,0,1,0,0,婚恋受阻,用神旺相但忌神动克→婚恋有阻碍,《增删卜易》,,,
rel_103,relationship,婚姻,,旺,0,0,0,0,1,0,婚恋有助力,用神旺相+原神动→有贵人相助,《增删卜易》,,,
rel_104,relationship,婚姻,,旺,0,0,0,0,0,1,婚恋有阻碍,用神旺相但忌神动→有阻碍,《增删卜易》,,,
rel_105,relationship,婚姻,,休,0,0,1,0,0,0,婚恋困难,用神休囚+动爻生用→事可成但费力,《增删卜易》,,,
rel_106,relationship,婚姻,,休,0,0,0,1,0,0,婚恋难成,用神休囚+忌神动克→事难成,《增删卜易》,,,
rel_107,relationship,婚姻,,旺,1,0,0,0,0,0,婚恋先挫后成,用神旺相+月破→先挫后成,《增删卜易》,,,
rel_108,relationship,婚姻,,旺,0,1,0,0,0,0,婚恋迟成,用神旺相+旬空→迟成而非不成,《增删卜易》,,,
rel_109,relationship,胎孕,,旺,0,0,1,0,0,0,胎孕可成,子孙旺相+动爻生用→胎孕可成,《增删卜易》,胎孕以子孙为用,,,
rel_110,relationship,胎孕,,旺,0,0,0,1,0,0,胎孕受阻,子孙旺相但忌神动克→胎孕有阻碍,《增删卜易》,胎孕以子孙为用,,,
rel_111,relationship,产期,,旺,0,0,1,0,0,0,产期顺利,子孙旺相+动爻生用→产期顺利,《增删卜易》,产期看子孙动变,,,
rel_112,relationship,产期,,旺,0,0,0,1,0,0,产期受阻,子孙旺相但忌神动克→产期有阻碍,《增删卜易》,产期看子孙动变,,,
