id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
tra_101,travel,出行,,旺,0,0,1,0,0,0,出行顺利,世爻旺相+动爻生用→出行顺利,《增删卜易》,,,
tra_102,travel,出行,,旺,0,0,0,1,0,0,出行受阻,世爻旺相但忌神动克→出行有阻碍,《增删卜易》,,,
tra_103,travel,出行,,旺,0,0,0,0,1,0,出行有助力,世爻旺相+原神动→有贵人相助,《增删卜易》,,,
tra_104,travel,出行,,旺,0,0,0,0,0,1,出行有阻碍,世爻旺相但忌神动→有阻碍,《增删卜易》,,,
tra_105,travel,出行,,休,0,0,1,0,0,0,出行困难,世爻休囚+动爻生用→事可成但费力,《增删卜易》,,,
tra_106,travel,出行,,休,0,0,0,1,0,0,出行难成,世爻休囚+忌神动克→事难成,《增删卜易》,,,
tra_107,travel,出行,,旺,1,0,0,0,0,0,出行先挫后成,世爻旺相+月破→先挫后成,《增删卜易》,,,
tra_108,travel,出行,,旺,0,1,0,0,0,0,出行迟成,世爻旺相+旬空→迟成而非不成,《增删卜易》,,,
tra_109,travel,行人,,旺,0,0,1,0,0,0,行人可归,世爻旺相+动爻生用→行人可归,《增删卜易》,,,
tra_110,travel,行人,,旺,0,0,0,1,0,0,行人受阻,世爻旺相但忌神动克→行人有阻碍,《增删卜易》,,,
