id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
wea_101,wealth,求财,,旺,0,0,1,0,0,0,财源广进,妻财旺相+动爻生用→财为我用,《增删卜易》,,,
wea_102,wealth,求财,,旺,0,0,0,1,0,0,破财风险,妻财旺相但忌神动克→财来财去,《增删卜易》,,,
wea_103,wealth,求财,,旺,0,0,0,0,1,0,财源有助力,妻财旺相+原神动→子孙生财,《增删卜易》,,,
wea_104,wealth,求财,,旺,0,0,0,0,0,1,财源有阻碍,妻财旺相但忌神动→兄弟克财,《增删卜易》,,,
wea_105,wealth,求财,,休,0,0,1,0,0,0,求财困难,妻财休囚+动爻生用→事可成但费力,《增删卜易》,,,
wea_106,wealth,求财,,休,0,0,0,1,0,0,求财难成,妻财休囚+忌神动克→事难成,《增删卜易》,,,
wea_107,wealth,求财,,旺,1,0,0,0,0,0,求财先挫后成,妻财旺相+月破→先挫后成,《增删卜易》,,,
wea_108,wealth,求财,,旺,0,1,0,0,0,0,求财迟成,妻财旺相+旬空→迟成而非不成,《增删卜易》,,,
wea_109,wealth,开店,,旺,0,0,1,0,0,0,开店可成,妻财旺相+动爻生用→开店可成,《增删卜易》,开店需看世爻承接,,,
wea_110,wealth,开店,,旺,0,0,0,1,0,0,开店受阻,妻财旺相但忌神动克→开店有阻碍,《增删卜易》,开店需看世爻承接,,,
wea_111,wealth,囤货,,旺,0,0,1,0,0,0,囤货可成,妻财旺相+动爻生用→囤货可成,《增删卜易》,囤货看财爻旺衰,,,
wea_112,wealth,囤货,,旺,0,0,0,1,0,0,囤货受阻,妻财旺相但忌神动克→囤货有阻碍,《增删卜易》,囤货看财爻旺衰,,,
wea_113,wealth,借贷,,旺,0,0,1,0,0,0,借贷可成,妻财旺相+动爻生用→借贷可成,《增删卜易》,借贷看应爻态度,,,
wea_114,wealth,借贷,,旺,0,0,0,1,0,0,借贷受阻,妻财旺相但忌神动克→借贷有阻碍,《增删卜易》,借贷看应爻态度,,,
wea_115,wealth,六畜,,旺,0,0,1,0,0,0,六畜可成,子孙旺相+动爻生用→六畜可成,《增删卜易》,六畜以子孙为用,,,
wea_116,wealth,六畜,,旺,0,0,0,1,0,0,六畜受阻,子孙旺相但忌神动克→六畜有阻碍,《增删卜易》,六畜以子孙为用,,,
wea_117,wealth,博戏,,旺,0,0,1,0,0,0,博戏可胜,世爻旺相+动爻生用→我方多胜,《增删卜易》,博戏看"时点"重于"静态强弱",,
wea_118,wealth,博戏,,旺,0,0,0,1,0,0,博戏有阻碍,世爻旺相但忌神动克→有阻碍,《增删卜易》,兄动+鬼克世=输钱并惹祸,,
wea_119,wealth,博戏,,旺,0,0,0,0,1,0,博戏有助力,世爻旺相+原神动→有贵人相助,《增删卜易》,子孙旺则胜,,
wea_120,wealth,博戏,,旺,0,0,0,0,0,1,博戏有阻碍,世爻旺相但忌神动→有阻碍,《增删卜易》,父爻得令克子孙=后场反败,,
