id,用神旺衰,月破,旬空,动爻,格局,结论,依据,经典原文
yq_001,旺,0,0,,,逢值或逢合之年月日,用神旺相→逢值或逢合应,《增删卜易》应期章：旺相逢值逢合应
yq_002,相,0,0,,,逢值或逢合之年月日,用神得相→逢值或逢合应,《增删卜易》应期章：旺相逢值逢合应
yq_003,休,0,0,,,待旺相之年月日,用神休囚→待旺相时应,《增删卜易》应期章：休囚待旺相应
yq_004,囚,0,0,,,待旺相之年月日,用神受制→待旺相时应,《增删卜易》应期章：休囚待旺相应
yq_005,死,0,0,,,待长生旺相之年月日,用神衰败→待长生旺相时应,《增删卜易》应期章：衰败待生旺应
yq_006,旺,1,0,,,逢合补破之年月日,用神旺相月破假破→逢合补破应,《增删卜易》应期章：月破逢合补破应
yq_007,休,1,0,,,出月逢合之年月日,用神休囚月破真破→出月逢合应,《增删卜易》应期章：月破出月逢合应
yq_008,旺,0,1,,,出空填实之年月日,用神旺相旬空假空→出空填实应,《增删卜易》应期章：旬空出空填实应
yq_009,休,0,1,,,冲空出旬之年月日,用神休囚旬空真空→冲空出旬应,《增删卜易》应期章：旬空冲空出旬应
yq_010,旺,0,0,动,冲合之年月日,用神旺相+动爻→逢冲逢合应,《增删卜易》应期章：动爻逢冲逢合应
yq_011,休,0,0,动,值日逢冲之年月日,用神休囚+动爻→逢值逢冲应,《增删卜易》应期章：动爻逢值逢冲应
yq_012,旺,0,0,,六冲,逢合可稳之年月日,用神旺相+六冲→逢合可稳应,《增删卜易》：六冲逢合可稳
yq_013,旺,0,0,,六合,逢冲之年月日,用神旺相+六合→逢冲应,《增删卜易》：六合逢冲应
yq_014,旺,0,0,,入墓,冲墓之年月日,用神旺相入墓→冲墓应,《增删卜易》应期章：入墓冲墓应
yq_015,旺,0,0,动,化进,逢长生旺相之年月日,用神旺相+化进→逢长生旺相应,《增删卜易》：化进逢长生应
yq_016,休,0,0,动,化退,逢值或逢合之年月日,用神休囚+化退→逢值逢合应,《增删卜易》：化退逢值逢合应
