因子,术数,组,原子,期望值
用神旺,liuyao,1,旺[用神],1
用神相,liuyao,1,相[用神],1
用神休,liuyao,1,休[用神],1
用神囚,liuyao,1,囚[用神],1
用神死,liuyao,1,死[用神],1
用神月破,liuyao,1,月破[用神],1
用神旬空,liuyao,1,旬空[用神],1
动爻生用,liuyao,1,动爻生[用神],1
动爻克用,liuyao,1,动爻克[用神],1
原神动,liuyao,1,动[原神],1
忌神动,liuyao,1,动[忌神],1
世爻旺,liuyao,1,旺[世爻],1
应爻旺,liuyao,1,旺[应爻],1
用神持世,liuyao,1,持世[用神],1
世应相生,liuyao,1,生[世应],1
世应相克,liuyao,1,克[世应],1
用神两现,liuyao,1,两现[用神],1
动爻化进,liuyao,1,化进[动爻],1
动爻化退,liuyao,1,化退[动爻],1
回头生,liuyao,1,回头生[动爻],1
回头克,liuyao,1,回头克[动爻],1
六冲,liuyao,1,六冲[卦],1
六合,liuyao,1,六合[卦],1
反吟,liuyao,1,反吟[卦],1
伏吟,liuyao,1,伏吟[卦],1
独发,liuyao,1,独发[卦],1
独静,liuyao,1,独静[卦],1
随鬼入墓,liuyao,1,入墓[用神],1
暗动,liuyao,1,暗动[爻],1
动散,liuyao,1,动散[爻],1
三刑,liuyao,1,三刑[卦],1
