id,事件,财为用,财透有根,财弱,比劫重重,财得令,比劫夺财,食伤生财,身弱,财旺,驿马,财透,财坏印,大运比劫,大运食伤,财库现,财星入墓,官杀为用,身强,正财透,偏财透,结论,依据,经典原文,印星旺
cai_101,财运,1,1,,,,,,,,,,,,,,,,,,,财运顺畅、有积蓄,财为用（用神体系）+ 财透有根 → 财为我用，收入稳增（《滴天髓》用神为枢；0053）,《滴天髓》用神为枢,
cai_102,财运,,,1,1,,,,,,,,,,,,,,,,,破财、无理财观念（财被劫）,财弱 + 比劫重重夺财 → 财来财去、难积蓄（0030，比劫夺财《滴天髓》）,《滴天髓》）,
cai_103,财运,,0,,,1,0,,,,,,,,,,,,,,,有房产/积蓄（财得地藏支）,财得令而藏 → 财星得地，有不动产/积蓄（0104 二间公寓）,《渊海子平》财星论：财得地藏支主有房产/积蓄,
cai_105,财运,,,,,,0,1,,,,,,,,,,,,,,财源广进（技艺/口才生财，偏财尤佳）,食伤生财 → 以才华技艺生财，财源不断（《滴天髓》食伤生财）；0103 高收入/0069 忽然赚大钱,《滴天髓》食伤生财）,
cai_106,财运,,,0,,1,1,,,,,,,,,,,,,,,财来财去，有财难守（比劫夺财但财得地）,比劫夺财 + 财得令（非弱）→ 财来财去、难积蓄（《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）；0128 财来财去,《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）,
cai_104,财运,,0,,,,,,1,1,,,,,,,,,,,,财多身弱，富屋贫人（财难存）,身弱财旺 → 财多身不任，家财难守（《三命通会》富屋贫人）,《三命通会》富屋贫人）,
cai_107,财运,,,,,,1,,,,1,,,,,,,,,,,驿马 + 比劫夺财 → 外出合伙破财（合作散财/异地财损）,驿马主动迁+比劫夺财 → 外出合作易散财（《滴天髓》比劫夺财、驿马迁移）；caiyun.md 破财细分,《滴天髓》比劫夺财、驿马迁移）,
cai_108,财运,,0,,,,1,,,,,,,,,,,,,,,比劫夺财 + 财无根 → 无蓄财观念（钱来钱去），理财/积蓄难,比劫夺财+财无根 → 财来财去无积蓄（《滴天髓》）；田宅吉星只论置产不论理财（caiyun.md 判据）,《滴天髓》）,
cai_109,财运,,,,,,,,1,,,1,1,,,,,,,,,身弱财透克印 → 得财即损根基（财为压力非财富，财坏印）,身弱不胜财，财透克印 → 得财损根基（《子平真诠》财坏印；caiyun.md 财印关系）,《子平真诠》财坏印,
cai_110,财运,,,,,,,,,,,,,1,,,,,,,,比劫大运 → 破财期（合伙/争斗/开销大）,比劫运夺财（《滴天髓》比劫运主破财；caiyun.md 大运方向）,《滴天髓》比劫运主破财,
cai_111,财运,,,,,,,,,,,,,,1,,,,,,,食伤大运 → 技术/投资得财（食伤生财）,食伤运生财（《滴天髓》食伤生财；caiyun.md 大运方向）,《滴天髓》食伤生财,
cai_201,财运,,,,,,,,,,,,,,,1,1,,,,,财库现且财星入墓 → 蓄财之象（财藏库中，善积蓄/家底实）,"财库论（《三命通会》""财库喜藏，藏则富""）——财星入库者善积蓄（参考 mingli-skills phase6）","《三命通会》""财库喜藏，藏则富""）——财星入库者善积蓄（参考 mingli-skills phase6）",
cai_202,财运,,,,,,,,,,,,,,,1,0,,,,,有财库但财未入库 → 财库虚设，蓄财力一般（财过手多）,财库需财星入方为实库（《三命通会》财库论；参考 mingli-skills phase6）,《三命通会》财库论,
cai_203,财运,1,,,,,,,,1,,,,,,,,1,,,,大富之象（财为用 + 财旺 + 官杀为用流通有情）,财富层次（参考 mingli-skills phase6：大富=身旺+财旺+官透流通——喜忌前提：财与官杀皆为用）,《滴天髓》财官论：财为用而财旺官杀为用主大富（流通有情）,
cai_204,财运,,,,,,,1,,,,,,,,,,,1,,,中上财富（食神生财 + 身财两停——才华变现）,财富层次（参考 mingli-skills phase6：中上=食神生财+身财两停）,《滴天髓》食伤生财：食神生财而身财两停主中上财富,
cai_205,财运,,,,,,1,,1,1,,,,,,,,,,,,过手财（财多身弱 + 比劫夺财——钱来钱去难留）,财富层次（参考 mingli-skills phase6：过手财=财多身弱+比劫夺财）——cai_108 无蓄财之细化,《三命通会》富屋贫人：财多身弱而比劫夺财主过手财,
cai_301,财运,,,,,,,,,,,,,,,,,,,1,,正财透干 → 稳定收入（工资/工薪/实业）,正财主稳定收入（《渊海子平》正财论；参考 mingli-skills phase6 6.2）,《渊海子平》正财论,
cai_302,财运,,,,,,,,,,,,,,,,,,,,1,偏财透干 → 投资/副业/投机收入（偏门财）,偏财主投机投资（《渊海子平》偏财论；参考 mingli-skills phase6）,《渊海子平》偏财论,
cai_303,财运,,,,,,,,,,,,,,,,,,,1,1,正偏财混杂 → 综合收入型（主业+副业并进）,财星混杂主多源收入（参考 mingli-skills phase6：正偏财混杂→综合收入型）,《渊海子平》正偏财论：正偏财混杂主综合收入型,
cy_301,财运,,0,,,,,,,,,,,,,,,,,,,印星旺而财藏不透——财为印夺，理财无观念/财由母（长辈）代管（《三命通会》印绶夺财；0030）,印绶夺财——财藏被印化，财不由己（《三命通会》）,《三命通会》印绶夺财,1
