id,事件,gender,配偶星透干,配偶星受克,大运配偶星,宫破,配偶星藏支,配偶星混杂,比劫重,配偶星得地,官杀取清,配偶星不现,桃花,伤官克官,配偶星得令,食伤克官,寡宿,夫妻宫被冲,夫妻宫被合,夫妻宫被刑,日支桃花,日支驿马,日支墓库,配偶星为用,夫妻宫安静,配偶星为忌,结论,依据,经典原文,食伤旺
hun_101,婚姻状态,male,1,0,0,,,,,,,,,,,,0,0,,,,,,,,,财星透干且不受克、大运无财星引动、夫妻宫无冲无寡宿——妻星得地，婚可成且稳定（宫冲/寡宿者婚可成但波折/晚——星宫同参，不判稳定）,男命财星透干且不受克 → 婚可成（《渊海子平》财星透干方为妻星得地）；夫妻宫逢冲/寡宿者婚姻过程波折或婚缘迟——星吉宫凶并存时星宫同参（《三命通会》星宫同参），不判稳定,"《渊海子平》""财星透干方为妻星得地""）",
hun_101b,婚姻状态,male,1,,,,,,,,,,,,,,,1,,,,,,,,,配偶星透干（星吉）但夫妻宫被冲（宫凶）——婚可成但过程波折/多变（星宫同参）,星宫同参：配偶星透干主婚能成（《渊海子平》财星透干），夫妻宫逢冲主婚姻过程波折（《三命通会》夫妻宫冲）——星吉宫凶并存，婚可成而波折,《三命通会》星宫同参,
hun_102,婚姻状态,male,1,1,,1,,,,,,,,,,,,,,,,,,,,,财透而比劫夺财、夫妻宫破——婚缘受损，婚而不久,财透但比劫夺财 + 夫妻宫破 → 婚变（《滴天髓》比劫夺财主婚缘受损）,《滴天髓》比劫夺财主婚缘受损）,
hun_103,婚姻状态,male,0,,1,,1,0,1,,,,,,,,,,,,,,,,,,财藏支不透、比劫旺夺财、大运得妻——婚可成但多摩擦,财藏支不透 + 比劫旺夺财 + 大运得妻 → 婚可成但多摩擦；财透干者妻星显被劫（走未婚）、财混杂者妻缘不专（0134/0139）,《滴天髓》比劫夺财：男命财星为妻，比劫旺夺财主婚可成而多摩擦,
hun_104,婚姻状态,male,0,,0,,1,,1,0,,,,,,,,,,,,,,,,,财藏支不透无根、比劫旺夺财、大运无财——婚缘受阻，婚难成,财藏支不透无根 + 比劫旺夺财 + 大运无财 → 婚缘受阻（M8：比劫夺财主婚缘难成）；财透干或得地者妻星显不在此列（0054/0087）,《滴天髓》比劫夺财 + 《渊海子平》财星论：财藏无根被劫主婚缘受阻,
hun_105,婚姻状态,male,,,1,,1,,0,,,,,,,,,,,,,,,,,,财藏支、比劫不旺、大运得妻——婚可成,财藏支 + 比劫不旺 + 大运得妻 → 婚可成（M8）,《渊海子平》财星论：男命财星藏支有根主婚可成,
hun_105b,婚姻状态,male,1,,1,,,,1,,,,,,,,,,,,,,,,,,财透干（妻星显）而比劫旺夺财、大运财至——妻星显而被劫，婚缘难成,财透干（妻星显）而比劫旺夺财 + 大运财至 → 妻星显而被劫，婚缘难成（《滴天髓》比劫夺财；0134/0139）,《滴天髓》比劫夺财,
hun_105c,婚姻状态,male,0,,0,,,0,,1,,,,,,,0,,,,,,,,,,财星藏支得地（妻星有根稳定）——婚可成,财星藏支得地（妻星有根稳定）→ 婚可成；紫微天机独坐夫妻宫者独身（由紫微铁断 hun_302 承担——双盘对照）,《渊海子平》财星论 + 《紫微斗数全书》夫妻宫：财藏得地婚成，天机独坐主独身,
hun_105d,婚姻状态,male,0,,0,,,1,,1,,,,,,,,,,,,,,,,,财星藏支得地而混杂（正偏财并见妻缘不专）——婚可成但多摩擦,财星藏支得地而混杂（正偏财并见妻缘不专）→ 已婚但多摩擦（0087 24-33 娶妻情绪化）；财透干者妻星显不判波折（0054 美满）,《渊海子平》正偏财混杂：妻缘不专主已婚而多摩擦,
hun_105e,婚姻状态,female,,,,,,1,,0,0,,,,,,,,,,,,,,,,婚姻复杂（女命官杀混杂难取清且夫星无根——感情多波折/婚恋反复）,女命官杀混杂无法取清（无合/冲解）**且夫星不得地** → 婚姻复杂多波折（《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条；男命财混杂不适用,《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条,
