id,事件,日主五行,伤官旺,劫财旺,正印旺,七杀旺,食神旺,偏财旺,华盖,身弱,印星旺,印透,七杀现,枭神夺食,比劫夺财,日主甲,日主乙,日主丙,日主丁,日主戊,日主己,日主庚,日主辛,日主壬,日主癸,月支长生,结论,依据,经典原文,日主长生,日主帝旺,日主墓,日主绝,月令本气正印,月令本气偏印,月令本气伤官,月令本气食神,月令本气正官,月令本气七杀,月令本气正财,月令本气偏财,月令本气比肩,月令本气劫财
xg_m01,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,温和仁厚、守规矩、重名声（印主内敛）,月令本气为正印 → 性格主面仁厚守礼（《子平真诠》月令提纲主性；印星主德主静）,《子平真诠》月令提纲,,,,,1,,,,,,,,,
xg_m02,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,内敛敏感、多思机巧、喜独处（枭神主偏）,月令本气为偏印 → 主面内敛敏感机巧（《渊海子平》枭神主偏门智慧、孤僻敏感；pan03/05/09/12/30 评测验证）,《渊海子平》枭神论,,,,,,1,,,,,,,,
xg_m03,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,聪明外露、爱表现、不拘小节（伤官主表达）,月令本气为伤官 → 主面聪明外露（《子平真诠》伤官主才艺表达）,《子平真诠》伤官,,,,,,,1,,,,,,,
xg_m04,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,温和知足、善享福、口福好（食神主享）,月令本气为食神 → 主面温和知足（《渊海子平》食神主福禄）,《渊海子平》食神,,,,,,,,1,,,,,,
xg_m05,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,端正守礼、重规则、负责任（官星主正）,月令本气为正官 → 主面端正守礼（《子平真诠》正官主贵气守正；pan06 评测验证）,《子平真诠》正官,,,,,,,,,1,,,,,
xg_m06,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,原则性强、有魄力威严（身强）；胆小压抑（身弱受制）,月令本气为七杀 → 主面看身强弱：身强主原则魄力、身弱主胆小压抑（《子平真诠》七杀主威；pan07 身弱胆小/pan32 身强有原则 评测验证）,《子平真诠》七杀,,,,,,,,,,1,,,,
xg_m07,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,务实可靠、重物质、勤俭（正财主实）,月令本气为正财 → 主面务实可靠（《渊海子平》正财主勤俭务实；pan29 评测验证）,《渊海子平》正财,,,,,,,,,,,1,,,
xg_m08,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,慷慨大方、善交际、豪爽（偏财主阔）,月令本气为偏财 → 主面慷慨善交际（《渊海子平》偏财主豪爽慷慨）,《渊海子平》偏财,,,,,,,,,,,,1,,
xg_m09,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,自立自强、重朋友、有主见（比肩主自立）,月令本气为比肩 → 主面自立有主见（《渊海子平》比肩主自立）,《渊海子平》比肩,,,,,,,,,,,,,1,
xg_m10,月令主面,,,,,,,,,,,,,,,,,,,,,,,,,,好胜强势、行动力强、仗义（劫财主争强）,月令本气为劫财 → 主面好胜强势（《渊海子平》劫财主争强好胜；pan18/27 评测验证）,《渊海子平》劫财,,,,,,,,,,,,,,1
