id,事件,流年目标星透,流年值宫,流年合会,流年冲,流年克目标星,换运首年,大运窗口,流年干忌神,流年支忌神,财坏印,本命婚凶,食伤克官,岁运并临,天克地冲日柱,伏吟流年,反吟流年,三刑流年,流年干合日干,流年父母宫忌,流年夫妻宫禄,流年夫妻宫忌,流年财帛宫禄,流年财帛宫忌,流年子女宫忌,结论,依据,经典原文,流年神煞红鸾,流年神煞天喜,流年神煞劫煞,流年神煞灾煞,流年神煞驿马,流年神煞羊刃,流年神煞桃花,流年神煞华盖,流年神煞天乙贵人
ycai_101,流年破财,,,,,1,,,,,,,,,,,,,,,,,,,,财星受克——破财候选,流年克财星 → 破财候选（《滴天髓》财星受克）,《滴天髓》财星受克,,,,,,,,,
ycai_102,流年破财,,,,,,,,1,,,,,,,,,,,,,,,,,忌神攻财——破财/投资失利候选,流年忌神透干 → 忌神攻身破财（《子平真诠》忌神攻身）,《子平真诠》忌神攻身,,,,,,,,,
ycai_103,流年得财,1,,,,,,,,,,,,,,,,,,,,,,,,财星透干——进财/得财机会,流年财星透干 → 财星显（进财机会；得财与否看身强任财）,《渊海子平》财星透干,,,,,,,,,
ycai_104,流年得财,,,1,,,,,,,,,,,,,,,,,,,,,,流年合会财星——得财/合作得财候选,流年地支合会财星 → 得财候选（合会引动财星）,《三命通会》合会,,,,,,,,,
ycai_105,流年破财,,,,,,,,,,1,,,,,,,,,,,,,,,财坏印——破财损名声,财坏印：财克印 → 破财损名（《子平真诠》财坏印）,《子平真诠》财坏印,,,,,,,,,
ycai_106,流年得财,,,,,,,,,,,,,,,,,,,,,,1,,,流年财帛宫化禄——进财吉应,紫微流年四化禄入财帛 → 进财吉应,紫微斗数四化,,,,,,,,,
ycai_107,流年破财,,,,,,,,,,,,,,,,,,,,,,,1,,流年财帛宫化忌——破财凶应,紫微流年四化忌入财帛 → 破财凶应,紫微斗数四化,,,,,,,,,
ycai_108,流年财变动,,,,,,,,,,,,,,1,,,,,,,,,,,天克地冲日柱——财运大变动年,流年天克地冲日柱 → 财运大变动（破财/得财按题指认）,《三命通会》天克地冲,,,,,,,,,
ycai_109,流年财变动,,,,,,,,,,,,,1,,,,,,,,,,,,岁运并临——财运大变动候选,岁运并临（流年=大运）→ 大变动之年（财运起伏）,《渊海子平》岁运并临,,,,,,,,,
ycai_110,流年破财,,,,,,,,,,,,,,,,,,,,,,,,,流年劫煞——破财/是非候选,服务端流年神煞（bazi.liunian）→ 《三命通会》劫煞主劫夺,《三命通会》劫煞主劫夺,,,1,,,,,,
