id,事件,流年目标星透,流年值宫,流年合会,流年冲,流年克目标星,换运首年,大运窗口,流年干忌神,流年支忌神,财坏印,本命婚凶,食伤克官,岁运并临,天克地冲日柱,伏吟流年,反吟流年,三刑流年,流年干合日干,空亡填实,流年支受克,食伤重,年柱干伏吟,流年父母宫忌,流年子女宫忌,流年财帛宫禄,流年财帛宫忌,流年夫妻宫禄,流年夫妻宫忌,流年官禄宫权,流年官禄宫科,流年官禄宫忌,流年命宫科,流年命宫忌,流年疾厄宫忌,流年福德宫忌,流年子女宫禄,结论,依据,经典原文,流年神煞红鸾,流年神煞天喜,流年神煞劫煞,流年神煞灾煞,流年神煞驿马,流年神煞羊刃,流年神煞桃花,流年神煞华盖,流年神煞天乙贵人,流年长生[长生],流年长生[帝旺],流年长生[墓],流年长生[绝],流年长生[病],流年日主墓,流年日主绝,流年日主病,流年神煞病符,流年神煞丧门,流年神煞吊客,流年神煞大耗
yj_101,流年健康凶,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,忌神透干——健康压力候选（病灾须紫微疾厄/福德宫化忌确认，忌神年可能仅是非/破财）,流年忌神透干 → 忌神攻身之年（健康/破财/是非混杂，《子平真诠》忌神攻身）；健康凶年须与紫微疾厄忌/福德忌同现才定（2026 根因：yj_101 过宽误报）,《子平真诠》忌神攻身（须疾厄/福德确认）,,,,,,,,,,,,,,,,,,,,,
yj_102,流年身体损,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,流年支受克——身体/脏腑受损,流年地支受克 → 地支主内腑，受克主病（yingqi ying_h21 同构）,《渊海子平》地支受克,,,,,,,,,,,,,,,,,,,,,
yj_103,流年精神损,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,财坏印——精神/心理受损（印主精神）,财坏印：印星（精神）被财克 → 心绪受损（《子平真诠》财坏印；0001 财坏印抑郁）,《子平真诠》财坏印,,,,,,,,,,,,,,,,,,,,,
yj_104,流年健康大凶,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,天克地冲日柱——健康大凶年,流年天克地冲日柱 → 本命大冲，健康凶应（《三命通会》天克地冲）,《三命通会》天克地冲,,,,,,,,,,,,,,,,,,,,,
yj_105,流年健康应,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,伏吟日柱——健康应期候选,流年伏吟日柱 → 本命伏吟应期（《渊海子平》伏吟）,《渊海子平》伏吟,,,,,,,,,,,,,,,,,,,,,
yj_201,流年病灾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,流年疾厄化忌——病灾/手术/健康凶年,紫微流年四化忌入疾厄宫 → 病灾（《紫微斗数全书》疾厄忌主病；考时补则6）,《紫微斗数全书》疾厄四化,,,,,,,,,,,,,,,,,,,,,
yj_202,流年精神扰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,流年福德化忌——精神/心理/情绪困扰,紫微流年四化忌入福德宫 → 精神心理年（ying_305 同构；《紫微斗数全书》福德主精神）,《紫微斗数全书》福德四化,,,,,,,,,,,,,,,,,,,,,
yj_203,流年灾劫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年劫煞——灾劫/血光/破财是非候选,服务端流年神煞（bazi.liunian）→ 《三命通会》劫煞主劫夺灾,《三命通会》劫煞主劫夺灾,,,1,,,,,,,,,,,,,,,,,,
yj_204,流年灾劫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年灾煞——灾祸/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》灾煞主灾,《三命通会》灾煞主灾,,,,1,,,,,,,,,,,,,,,,,
yj_205,流年羊刃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年羊刃——刚烈/血光/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》羊刃主刃伤,《三命通会》羊刃主刃伤,,,,,,1,,,,,,,,,,,,,,,
yj_206,流年日主弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年日主入墓——气收身弱年（健康/运势收敛）,本命 chang_sheng 表流年支落态 → 日主流年入墓 → 气收（《渊海子平》墓库论）,日主流年入墓 → 气收（《渊海子平》墓库论）,,,,,,,,,,,,,,,1,,,,,,
yj_207,流年日主弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年日主临绝——气衰年（体弱/运势低谷候选）,本命 chang_sheng 表流年支落态 → 日主流年临绝 → 气衰（《三命通会》绝主衰）,日主流年临绝 → 气衰（《三命通会》绝主衰）,,,,,,,,,,,,,,,,1,,,,,
yj_208,流年日主弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,流年日主临病——体弱/小恙候选,本命 chang_sheng 表流年支落态 → 日主流年临病 → 病态（十二长生病主弱）,日主流年临病 → 病态（十二长生病主弱）,,,,,,,,,,,,,,,,,1,,,,
yj_209,流年病灾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,值年病符临命——病灾候选（病符主病）,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》病符主病,《协纪辨方书》病符主病,,,,,,,,,,,,,,,,,,1,,,
yj_210,流年孝服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,值年丧门临命——孝服/丧事候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》丧门主孝服,《协纪辨方书》丧门主孝服,,,,,,,,,,,,,,,,,,,1,,
yj_211,流年孝服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,值年吊客临命——吊丧/孝服候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》吊客主吊丧,《协纪辨方书》吊客主吊丧,,,,,,,,,,,,,,,,,,,,1,
