id,事件,流年目标星透,流年值宫,流年合会,流年冲,流年克目标星,换运首年,大运窗口,流年干忌神,流年支忌神,财坏印,本命婚凶,食伤克官,岁运并临,天克地冲日柱,伏吟流年,反吟流年,三刑流年,流年干合日干,流年父母宫忌,流年夫妻宫禄,流年夫妻宫忌,流年财帛宫禄,流年财帛宫忌,流年子女宫忌,结论,依据,经典原文,流年神煞红鸾,流年神煞天喜,流年神煞劫煞,流年神煞灾煞,流年神煞驿马,流年神煞羊刃,流年神煞桃花,流年神煞华盖,流年神煞天乙贵人
ymar_101,流年婚动,1,1,,,,,,,,,,,,,,,,,,,,,,,流年婚动强——配偶星透干且值夫妻宫，成婚一级候选,流年配偶星透干 + 值夫妻宫（配偶星实至宫位）→ 成婚实据（《渊海子平》配偶星透干方为妻星得地；MingLi-Bench 应期题）,《渊海子平》配偶星透干,,,,,,,,,
ymar_102,流年婚动,1,,,,,1,,,,,,,,,,,,,,,,,,,换运首年 + 配偶星透干——一级成婚候选,大运交接首年主变 + 配偶星透干 → 成婚一级候选（《三命通会》换运主大变动；考时准则 3）,《三命通会》换运,,,,,,,,,
ymar_103,流年婚动,1,,,,,,1,,,,,,,,,,,,,,,,,,大运配偶星窗口内透干——成婚候选,大运为配偶星运且流年透配偶星 → 成婚候选（《渊海子平》大运财星引动婚）,《渊海子平》大运配偶星,,,,,,,,,
ymar_104,流年婚动,1,,1,,,,,,,,,,,,,,,,,,,,,,流年合会 + 配偶星透干——婚动/成婚候选,流年地支合会引动夫妻宫 + 配偶星透 → 婚缘聚合（《三命通会》合会主婚动；0063 合会+透）,《三命通会》合会,,,,,,,,,
ymar_105,流年婚动,,1,,,,,,,,,,,,,,,,,,,,,,,流年婚动强——配偶星值宫,流年配偶星值夫妻宫 → 婚动强信号（0068/0076 值宫）,《渊海子平》配偶星得地,,,,,,,,,
ymar_106,流年婚恋,,,1,,,,,,,,,,,,,,,,,,,,,,流年合会——婚恋/感情引动（恋爱≠成婚，须配偶星实引动）,流年地支合会主感情聚合（《三命通会》合会主婚动）——单纯合会为恋爱引动，成婚须配偶星透/值宫/换运等实据（考时准则 1）,《三命通会》合会,,,,,,,,,
ymar_107,流年婚动,,,,1,,,,,,,,,,,,,,,,,,,,,流年冲夫妻宫——婚动（手续/仪式/法律变动，签纸登记）,六冲夫妻宫主手续/仪式/法律变动（《三命通会》冲主变动；考时准则 2——选项含签纸/登记语义时指认）,《三命通会》冲,,,,,,,,,
ymar_108,流年婚变,,,,,1,,,,,,,,,,,,,,,,,,,,流年配偶星受克——婚变/感情受损候选,流年克配偶星 → 婚变候选（《滴天髓》配偶星受克主婚缘损）,《滴天髓》配偶星受克,,,,,,,,,
ymar_109,流年婚变,,,,1,1,,,,,,,,,,,,,,,,,,,,流年冲+克——婚变凶应期,流年冲夫妻宫且配偶星受克 → 婚变凶应（ying_107 同构；MingLi-Bench 离婚题）,《三命通会》冲克,,,,,,,,,
ymar_110,流年婚变,,,,,,,,1,,,1,,,,,,,,,,,,,,忌神年 + 本命婚凶——婚变候选,流年忌神透干 + 本命婚姻凶象 → 婚变候选（忌神攻身之年感情受损）,《子平真诠》忌神攻身,,,,,,,,,
ymar_111,流年婚变,,,,,,,,,,,,1,,,,,,,,,,,,,食伤克官——女命婚变候选,女命食伤克官（夫星受制）→ 婚变候选（《女命赋》食伤重者克夫）,《女命赋》,,,,,,,,,
ymar_112,流年大变,,,,,,,,,,,,,,1,,,,,,,,,,,天克地冲日柱——婚姻大变动年（成婚/婚变均按题目指认）,流年天克地冲日柱 → 本命大变动（《三命通会》天克地冲）——婚姻题按选项语义指认（0032/0077 天克地冲年应事）,《三命通会》天克地冲,,,,,,,,,
ymar_113,流年婚吉,,,,,,,,,,,,,,,,,,,,1,,,,,流年夫妻宫化禄——感情吉应,流年四化禄入夫妻宫 → 感情/婚姻吉应（紫微流年四化）,紫微斗数四化,,,,,,,,,
ymar_114,流年婚凶,,,,,,,,,,,,,,,,,,,,,1,,,,流年夫妻宫化忌——感情凶应,流年四化忌入夫妻宫 → 感情/婚姻凶应（紫微流年四化）,紫微斗数四化,,,,,,,,,
ymar_110b,流年婚动,1,,,1,,,,,,,,,,,,,,,,,,,,,流年冲 + 配偶星透——婚动（变动叠加）,流年冲夫妻宫 + 配偶星透 → 婚动（原 ying_110b）,《三命通会》论冲合：冲夫妻宫而配偶星透干主婚动（冲主变动）,,,,,,,,,
ymar_106b,流年婚动,1,0,0,,,,1,,,,,,,,,,,,,,,,,,大运窗口内星动（配偶星未透/未值宫）——婚动弱候选,大运窗口引动（无透无合会值宫）→ 婚动弱（原 ying_106）,《渊海子平》流年论：流年引动大运配偶星主婚动,,,,,,,,,
ymar_115,流年婚喜,,,,,,,,,,,,,,,,,,,,,,,,,流年红鸾——婚恋/姻缘喜庆（红鸾主婚喜）,服务端流年神煞（bazi.liunian）→ 《三命通会》红鸾主婚喜,《三命通会》红鸾主婚喜,1,,,,,,,,
ymar_116,流年婚喜,,,,,,,,,,,,,,,,,,,,,,,,,流年天喜——婚庆/添丁喜,服务端流年神煞（bazi.liunian）→ 《协纪辨方书》天喜,《协纪辨方书》天喜,,1,,,,,,,
