因子,术数,组,原子,期望值
食伤现,bazi,1,"现[食神,伤官]",1
食伤现,bazi,1,结论,1
食伤现,bazi,1,依据,食伤出现（事实）——子女星判断用
食伤旺,bazi,2,"得令[食神,伤官]",1
食伤旺,bazi,2,结论,1
食伤旺,bazi,2,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,3,"有根[食神,伤官]",1
食伤旺,bazi,3,"透[食神,伤官]",1
食伤旺,bazi,3,结论,1
食伤旺,bazi,3,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,4,"透[食神,伤官]",1
食伤旺,bazi,4,结论,1
食伤旺,bazi,4,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
伤官旺,bazi,5,得令[伤官],1
伤官旺,bazi,5,结论,1
伤官旺,bazi,5,依据,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,6,有根[伤官],1
伤官旺,bazi,6,透[伤官],1
伤官旺,bazi,6,结论,1
伤官旺,bazi,6,依据,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,7,透[伤官],1
伤官旺,bazi,7,结论,1
伤官旺,bazi,7,依据,伤官旺衰从五行月令（《子平真诠》）
食神旺,bazi,9,得令[食神],1
食神旺,bazi,9,结论,1
食神旺,bazi,9,依据,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,10,有根[食神],1
食神旺,bazi,10,透[食神],1
食神旺,bazi,10,结论,1
食神旺,bazi,10,依据,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,11,透[食神],1
食神旺,bazi,11,结论,1
食神旺,bazi,11,依据,食神旺衰从五行月令（《子平真诠》）
劫财旺,bazi,12,得令[劫财],1
劫财旺,bazi,12,结论,1
劫财旺,bazi,12,依据,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,13,有根[劫财],1
劫财旺,bazi,13,透[劫财],1
劫财旺,bazi,13,结论,1
劫财旺,bazi,13,依据,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,14,透[劫财],1
劫财旺,bazi,14,结论,1
劫财旺,bazi,14,依据,劫财旺衰从五行月令（《子平真诠》）
正印旺,bazi,15,得令[正印],1
正印旺,bazi,15,结论,1
正印旺,bazi,15,依据,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,16,有根[正印],1
正印旺,bazi,16,透[正印],1
正印旺,bazi,16,结论,1
正印旺,bazi,16,依据,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,17,透[正印],1
正印旺,bazi,17,结论,1
正印旺,bazi,17,依据,正印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,18,得令[偏印],1
偏印旺,bazi,18,结论,1
偏印旺,bazi,18,依据,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,19,有根[偏印],1
偏印旺,bazi,19,透[偏印],1
偏印旺,bazi,19,结论,1
偏印旺,bazi,19,依据,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,20,透[偏印],1
偏印旺,bazi,20,结论,1
偏印旺,bazi,20,依据,偏印旺衰从五行月令（《子平真诠》）
七杀旺,bazi,21,得令[七杀],1
七杀旺,bazi,21,结论,1
七杀旺,bazi,21,依据,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,22,有根[七杀],1
七杀旺,bazi,22,透[七杀],1
七杀旺,bazi,22,结论,1
七杀旺,bazi,22,依据,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,23,透[七杀],1
七杀旺,bazi,23,结论,1
七杀旺,bazi,23,依据,七杀旺衰从五行月令（《子平真诠》）
七杀现,bazi,24,现[七杀],1
七杀现,bazi,24,结论,1
七杀现,bazi,24,依据,七杀出现（事实）——制化判断用
正财旺,bazi,25,得令[正财],1
正财旺,bazi,25,结论,1
正财旺,bazi,25,依据,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,26,有根[正财],1
正财旺,bazi,26,透[正财],1
正财旺,bazi,26,结论,1
正财旺,bazi,26,依据,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,27,透[正财],1
正财旺,bazi,27,结论,1
正财旺,bazi,27,依据,正财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,28,得令[偏财],1
偏财旺,bazi,28,结论,1
偏财旺,bazi,28,依据,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,29,有根[偏财],1
偏财旺,bazi,29,透[偏财],1
偏财旺,bazi,29,结论,1
偏财旺,bazi,29,依据,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,30,透[偏财],1
偏财旺,bazi,30,结论,1
偏财旺,bazi,30,依据,偏财旺衰从五行月令（《子平真诠》）
比劫旺,bazi,31,"得令[比肩,劫财]",1
比劫旺,bazi,31,结论,1
比劫旺,bazi,31,依据,比劫旺衰从五行月令（《子平真诠》）
比劫旺,bazi,32,"有根[比肩,劫财]",1
比劫旺,bazi,32,"透[比肩,劫财]",1
比劫旺,bazi,32,结论,1
比劫旺,bazi,32,依据,比劫旺衰从五行月令（《子平真诠》）
兄弟星旺,bazi,33,"得令[比肩,劫财]",1
兄弟星旺,bazi,33,结论,1
兄弟星旺,bazi,33,依据,比劫为兄弟，旺衰从五行月令（命理通论）
兄弟星旺,bazi,34,"有根[比肩,劫财]",1
兄弟星旺,bazi,34,"透[比肩,劫财]",1
兄弟星旺,bazi,34,结论,1
兄弟星旺,bazi,34,依据,比劫为兄弟，旺衰从五行月令（命理通论）
比劫重,bazi,35,"得令[比肩,劫财]",1
比劫重,bazi,35,结论,1
比劫重,bazi,35,依据,比劫重=比劫得月令而旺（命理通论）
比劫重,bazi,36,"有根[比肩,劫财]",1
比劫重,bazi,36,"透[比肩,劫财]",1
比劫重,bazi,36,结论,1
比劫重,bazi,36,依据,比劫重=比劫得月令而旺（命理通论）
木旺,bazi,37,旺[木],1
木旺,bazi,37,结论,1
木旺,bazi,37,依据,五行旺衰看月令（《滴天髓》）
火旺,bazi,38,旺[火],1
火旺,bazi,38,结论,1
火旺,bazi,38,依据,五行旺衰看月令
土旺,bazi,39,旺[土],1
土旺,bazi,39,结论,1
土旺,bazi,39,依据,五行旺衰看月令
金旺,bazi,40,旺[金],1
金旺,bazi,40,结论,1
金旺,bazi,40,依据,五行旺衰看月令
水旺,bazi,41,旺[水],1
水旺,bazi,41,结论,1
水旺,bazi,41,依据,五行旺衰看月令
木弱,bazi,42,弱[木],1
木弱,bazi,42,结论,1
木弱,bazi,42,依据,五行休囚为弱
火弱,bazi,43,弱[火],1
火弱,bazi,43,结论,1
火弱,bazi,43,依据,五行休囚为弱
土弱,bazi,44,弱[土],1
土弱,bazi,44,结论,1
土弱,bazi,44,依据,五行休囚为弱
金弱,bazi,45,弱[金],1
金弱,bazi,45,结论,1
金弱,bazi,45,依据,五行休囚为弱
水弱,bazi,46,弱[水],1
水弱,bazi,46,结论,1
水弱,bazi,46,依据,五行休囚为弱
缺木,bazi,47,缺[木],1
缺木,bazi,47,结论,1
缺木,bazi,47,依据,五行缺失
缺火,bazi,48,缺[火],1
缺火,bazi,48,结论,1
缺火,bazi,48,依据,五行缺失
缺土,bazi,49,缺[土],1
缺土,bazi,49,结论,1
缺土,bazi,49,依据,五行缺失
缺金,bazi,50,缺[金],1
缺金,bazi,50,结论,1
缺金,bazi,50,依据,五行缺失
缺水,bazi,51,缺[水],1
缺水,bazi,51,结论,1
缺水,bazi,51,依据,五行缺失
土多,bazi,52,旺[土],1
土多,bazi,52,结论,1
土多,bazi,52,依据,土多=土得月令而旺（《滴天髓》土多类象）
木受克,bazi,53,旺[金],1
木受克,bazi,53,"直读[ri_gan_wx,木]",1
木受克,bazi,53,结论,1
木受克,bazi,53,依据,日主为木，金旺克木（五行相克）
木旺或中和,bazi,54,旺[木],1
木旺或中和,bazi,54,结论,1
木旺或中和,bazi,54,依据,木旺或中和，皆木气舒展（《滴天髓》）
木旺或中和,bazi,55,"直读[yongshen.fu_yi.qiangruo,中和]",1
木旺或中和,bazi,55,结论,1
木旺或中和,bazi,55,依据,木旺或中和，皆木气舒展（《滴天髓》）
印星现,bazi,56,"现[正印,偏印]",1
印星现,bazi,56,结论,1
印星现,bazi,56,依据,印星存在（事实）
印多,bazi,57,"得令[正印,偏印]",1
印多,bazi,57,结论,1
印多,bazi,57,依据,印多=印星得月令而旺（《子平真诠》）
印多,bazi,58,"有根[正印,偏印]",1
印多,bazi,58,"透[正印,偏印]",1
印多,bazi,58,结论,1
印多,bazi,58,依据,印多=印星得月令而旺（《子平真诠》）
印重,bazi,60,"得令[正印,偏印]",1
印重,bazi,60,结论,1
印重,bazi,60,依据,印重=印旺（《子平真诠》）
印重,bazi,61,"有根[正印,偏印]",1
印重,bazi,61,"透[正印,偏印]",1
印重,bazi,61,结论,1
印重,bazi,61,依据,印重=印旺（《子平真诠》）
印星旺,bazi,62,"得令[正印,偏印]",1
印星旺,bazi,62,结论,1
印星旺,bazi,62,依据,印旺衰从五行月令
印星旺,bazi,63,"有根[正印,偏印]",1
印星旺,bazi,63,"透[正印,偏印]",1
