id,事件,gender,结论,依据,经典原文,迁移宫主星强,迁移宫化禄,迁移宫空,迁移宫紫微,迁移宫天机,迁移宫太阳,迁移宫武曲,迁移宫天同,迁移宫廉贞,迁移宫天府,迁移宫太阴,迁移宫贪狼,迁移宫巨门,迁移宫天相,迁移宫天梁,迁移宫七杀,迁移宫破军
qy_102,迁移,,迁移宫主星得地（紫微/七杀/太阳/天马）→ 外出发展有利，异地可成,迁移宫主星强主外出显达（《紫微斗数全书》迁移宫论；0158 迁移宫紫微七杀搬迁成功）,《紫微斗数全书》迁移宫论,1,,,,,,,,,,,,,,,,
qy_103,迁移,,迁移宫无主星 → 外出无靠，宜守本乡（出外波折）,迁移宫空主外出不利（《紫微斗数全书》迁移宫论）,《紫微斗数全书》迁移宫论）,,,1,,,,,,,,,,,,,,
qy_105,迁移,,迁移宫化禄 → 外出得利，异乡发展有助益,迁移宫化禄主外出有利（《紫微斗数全书》迁移宫四化论）,《紫微斗数全书》迁移宫四化论）,,1,,,,,,,,,,,,,,,
zq_301,迁移,,外出遇贵人，出外显贵,紫微帝星出外主贵，坐迁移宫主外出遇贵,《紫微斗数全书》迁移宫论,,,,1,,,,,,,,,,,,,
zq_302,迁移,,外出多变动奔波，劳碌,天机多变，坐迁移宫主外出奔波劳碌,《紫微斗数全书》迁移宫论,,,,,1,,,,,,,,,,,,
zq_303,迁移,,外出光明主名声，出外扬名,太阳光明，坐迁移宫主出外扬名,《紫微斗数全书》迁移宫论,,,,,,1,,,,,,,,,,,
zq_304,迁移,,外出求财，奔波劳碌,武曲财星奔波，坐迁移宫主外出求财,《紫微斗数全书》迁移宫论,,,,,,,1,,,,,,,,,,
zq_305,迁移,,外出安逸，随遇而安,天同福星安逸，坐迁移宫主外出随遇而安,《紫微斗数全书》迁移宫论,,,,,,,,1,,,,,,,,,
zq_306,迁移,,外出多交际，防是非,廉贞交际，坐迁移宫主外出多是非,《紫微斗数全书》迁移宫论,,,,,,,,,1,,,,,,,,
zq_307,迁移,,外出稳重有靠，出外得助,天府稳重，坐迁移宫主外出得助,《紫微斗数全书》迁移宫论,,,,,,,,,,1,,,,,,,
zq_308,迁移,,外出内敛平稳，宜静,太阴内敛，坐迁移宫主外出宜静,《紫微斗数全书》迁移宫论,,,,,,,,,,,1,,,,,,
zq_309,迁移,,外出多机遇，交际广,贪狼机遇多，坐迁移宫主外出交际广,《紫微斗数全书》迁移宫论,,,,,,,,,,,,1,,,,,
zq_310,迁移,,外出多口舌，防是非,巨门口舌，坐迁移宫主外出多是非,《紫微斗数全书》迁移宫论,,,,,,,,,,,,,1,,,,
zq_311,迁移,,外出平顺，遇贵人,天相平顺，坐迁移宫主外出遇贵人,《紫微斗数全书》迁移宫论,,,,,,,,,,,,,,1,,,
zq_312,迁移,,外出有荫庇，逢凶化吉,天梁荫庇，坐迁移宫主外出逢凶化吉,《紫微斗数全书》迁移宫论,,,,,,,,,,,,,,,1,,
zq_313,迁移,,外出变动大，奔波闯荡,七杀变动，坐迁移宫主外出奔波闯荡,《紫微斗数全书》迁移宫论,,,,,,,,,,,,,,,,1,
zq_314,迁移,,外出多变，奔波劳碌,破军变动，坐迁移宫主外出奔波劳碌,《紫微斗数全书》迁移宫论,,,,,,,,,,,,,,,,,1
