id,事件,gender,结论,依据,经典原文,官禄宫紫微,官禄宫天机,官禄宫太阳,官禄宫武曲,官禄宫天同,官禄宫廉贞,官禄宫天府,官禄宫太阴,官禄宫贪狼,官禄宫巨门,官禄宫天相,官禄宫天梁,官禄宫七杀,官禄宫破军,官禄宫化权,官禄宫化科
zs_301,事业档,,帝星坐官禄（紫微为贵）——事业掌权显贵,紫微帝星坐官禄宫主贵掌权,《紫微斗数全书》官禄宫论,1,,,,,,,,,,,,,,,
zs_302,事业档,,天机坐官禄——智谋，事业多变,天机坐官禄宫主智谋多变,《紫微斗数全书》官禄宫论,,1,,,,,,,,,,,,,,
zs_303,事业档,,太阳坐官禄——光明，事业显达,太阳坐官禄宫主事业显达,《紫微斗数全书》官禄宫论,,,1,,,,,,,,,,,,,
zs_304,事业档,,武曲坐官禄——财官，事业有成,武曲坐官禄宫主事业有成,《紫微斗数全书》官禄宫论,,,,1,,,,,,,,,,,,
zs_305,事业档,,天同坐官禄——安逸，事业平稳,天同坐官禄宫主事业平稳,《紫微斗数全书》官禄宫论,,,,,1,,,,,,,,,,,
zs_306,事业档,,廉贞坐官禄——有成但多是非,廉贞坐官禄宫主有成多是非,《紫微斗数全书》官禄宫论,,,,,,1,,,,,,,,,,
zs_307,事业档,,天府坐官禄——稳重，事业稳,天府坐官禄宫主事业稳,《紫微斗数全书》官禄宫论,,,,,,,1,,,,,,,,,
zs_308,事业档,,太阴坐官禄——内敛，事业稳,太阴坐官禄宫主事业内敛稳,《紫微斗数全书》官禄宫论,,,,,,,,1,,,,,,,,
zs_309,事业档,,贪狼坐官禄——交际，事业多变,贪狼坐官禄宫主交际多变,《紫微斗数全书》官禄宫论,,,,,,,,,1,,,,,,,
zs_310,事业档,,巨门坐官禄——口舌，事业多是非,巨门坐官禄宫主口舌是非,《紫微斗数全书》官禄宫论,,,,,,,,,,1,,,,,,
zs_311,事业档,,天相坐官禄——辅佐，事业顺遂,天相坐官禄宫主事业顺,《紫微斗数全书》官禄宫论,,,,,,,,,,,1,,,,,
zs_312,事业档,,天梁坐官禄——荫庇，事业有靠,天梁坐官禄宫主事业有靠,《紫微斗数全书》官禄宫论,,,,,,,,,,,,1,,,,
zs_313,事业档,,七杀坐官禄——开创，事业变动大,七杀坐官禄宫主开创变动,《紫微斗数全书》官禄宫论,,,,,,,,,,,,,1,,,
zs_314,事业档,,破军坐官禄——变动，事业多变,破军坐官禄宫主事业多变,《紫微斗数全书》官禄宫论,,,,,,,,,,,,,,1,,
zs_320,事业档,,化权入官禄宫——事业掌权、升迁,官禄宫化权主升迁掌权,《紫微斗数全书》四化论,,,,,,,,,,,,,,,1,
zs_321,事业档,,化科入官禄宫——事业名声、清誉,官禄宫化科主事业名声,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,1
