id,事件,gender,结论,依据,经典原文,七杀旺,命宫七杀,命宫天同,命宫天府,命宫天机,命宫天梁,命宫天相,命宫太阳,命宫太阴,命宫巨门,命宫廉贞,命宫武曲,命宫破军,命宫紫微,命宫贪狼
xg_紫微命,性格,,命宫紫微：稳重、有领导气度、自尊心强、好面子（帝星坐命）,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,,,1,
xg_天机命,性格,,命宫天机：聪明善谋、机变灵活、心思细腻、多思多变,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,1,,,,,,,,,,
xg_太阳命,性格,,命宫太阳：光明磊落、热情大方、爱助人、喜名不重利,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,1,,,,,,,
xg_武曲命,性格,,命宫武曲：刚毅果断、务实勤奋、劳碌命、重钱财,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,1,,,
xg_天同命,性格,,命宫天同：温和知足、乐天享福、好安逸、少进取,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,1,,,,,,,,,,,,
xg_廉贞命,性格,,命宫廉贞：多才多艺、急躁刚强、是非多、情绪起伏,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,1,,,,
xg_天府命,性格,,命宫天府：沉稳保守、善守成、宽厚稳重、有包容,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,1,,,,,,,,,,,
xg_太阴命,性格,,命宫太阴：细腻温和、内向敏感、重感情、喜静,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,1,,,,,,
xg_贪狼命,性格,,命宫贪狼：多才多欲、交际广、桃花旺、善投机,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,,,,1
xg_巨门命,性格,,命宫巨门：口才佳、善辩、是非多、多思多虑（暗星）,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,1,,,,,
xg_天相命,性格,,命宫天相：正直温和、辅佐之才、重仪表、善协调,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,1,,,,,,,,
xg_天梁命,性格,,命宫天梁：正直慈悲、荫庇他人、有长者风、逢凶化吉,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,1,,,,,,,,,
xg_七杀命,性格,,命宫七杀：刚烈果断、行动力强、喜变动、宜武职,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,1,,,,,,,,,,,,,
xg_破军命,性格,,命宫破军：破旧立新、开创性强、变动大、有魄力,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,,1,,
