id,事件,gender,结论,依据,经典原文,仆役宫煞,兄弟宫煞,子女宫空,官禄宫主星强,官禄宫化禄,官禄宫煞,父母宫化忌,父母宫煞,疾厄宫主星陷,疾厄宫化忌,财帛宫煞
zw_101,健康,,疾厄宫化忌+陷：健康大凶（心脏/血光/慢性疾）,疾厄宫主星化忌且落陷 → 该脏腑疾病（0116 廉贞忌+破军陷→心脏）,《紫微斗数全书》疾厄宫四化：疾厄宫化忌而星陷主健康大凶,,,,,,,,,1,1,
zw_102,健康,,疾厄宫化忌：健康隐忧（对应主星脏腑）,疾厄宫化忌 → 健康受损（紫微斗数疾厄宫论）,《紫微斗数全书》疾厄宫四化：疾厄宫化忌主健康隐忧,,,,,,,,,,1,
zw_103,财运,,财帛宫煞：财难守，先聚后散,财帛宫陀罗/地劫/擎羊 → 财来财去（紫微斗数财帛宫论）,《紫微斗数全书》财帛宫论：财帛宫煞主财难守先聚后散,,,,,,,,,,,1
zw_104,子女,,子女宫空：子女缘薄/迟得,子女宫无主星 → 子息缘分薄（紫微斗数子女宫论）,《紫微斗数全书》子女宫论：子女宫空主子女缘薄/迟得,,,1,,,,,,,,
zw_201,事业,,官禄宫化禄 → 事业顺遂、名位有成,官禄宫化禄主事业得志（《紫微斗数全书》官禄宫四化论）,《紫微斗数全书》官禄宫四化论）,,,,,1,,,,,,
zw_202,事业,,官禄宫煞 → 事业多波折，劳碌多变,官禄宫煞主事业阻（《紫微斗数全书》官禄宫论）,《紫微斗数全书》官禄宫论）,,,,,0,1,,,,,
zw_203,事业,,官禄宫强主星（紫微/太阳/武曲/天府）→ 事业有成、宜掌事,官禄宫强主星主事业显达（《紫微斗数全书》官禄宫论）,《紫微斗数全书》官禄宫论）,,,,1,,,,,,,
zw_301,六亲,,父母宫煞 → 父母缘薄或父亲刑克,父母宫煞主父母不利（《紫微斗数全书》父母宫论）,《紫微斗数全书》父母宫论）,,,,,,,,1,,,
zw_302,六亲,,父母宫化忌 → 为父母操心，父母健康/缘薄,父母宫化忌主父母忧（《紫微斗数全书》父母宫四化论）,《紫微斗数全书》父母宫四化论）,,,,,,,1,,,,
zw_401,六亲,,兄弟宫煞 → 兄弟缘薄/不睦/助力少,兄弟宫煞主兄弟不利（《紫微斗数全书》兄弟宫论）,《紫微斗数全书》兄弟宫论）,,1,,,,,,,,,
zw_501,人际,,仆役宫煞 → 朋友/下属助力少，防小人,仆役宫煞主交友不利（《紫微斗数全书》仆役宫论）,《紫微斗数全书》仆役宫论）,1,,,,,,,,,,
zw_601,寿元,,疾厄宫化忌 → 健康隐患重（对应主星脏腑），需关注大限/流年引动（寿关信号）,疾厄宫化忌主疾厄（《紫微斗数全书》）；寿元为大限流年引动——归 agent 考时，不作硬断,《紫微斗数全书》）,,,,,,,,,,1,
